Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
3.113113e-01,2.173639e-07,2.855577e-01,1.563788e-07,2.911740e-01,6.213515e+01,2.911740e-01,1.563788e-07,2.855577e-01,2.173639e-07,2.440942e-08,9.944237e-03,6.197552e-07,2.693385e-03,1.201314e-24,2.693385e-03,6.197552e-07,9.944237e-03,2.440942e-08,
3.118118e-01,2.173592e-07,2.846382e-01,1.562241e-07,2.908677e-01,6.213515e+01,2.908677e-01,1.562241e-07,2.846382e-01,2.173592e-07,2.449063e-08,9.944994e-03,6.217690e-07,2.699227e-03,1.201314e-24,2.699227e-03,6.217690e-07,9.944994e-03,2.449063e-08,
3.123123e-01,2.173545e-07,2.837203e-01,1.560694e-07,2.905612e-01,6.213515e+01,2.905612e-01,1.560694e-07,2.837203e-01,2.173545e-07,2.457198e-08,9.945652e-03,6.237862e-07,2.705065e-03,1.201314e-24,2.705065e-03,6.237862e-07,9.945652e-03,2.457198e-08,
3.128128e-01,2.173499e-07,2.828040e-01,1.559149e-07,2.902547e-01,6.213515e+01,2.902547e-01,1.559149e-07,2.828040e-01,2.173499e-07,2.465349e-08,9.946212e-03,6.258068e-07,2.710897e-03,1.201314e-24,2.710897e-03,6.258068e-07,9.946212e-03,2.465349e-08,
3.133133e-01,2.173452e-07,2.818892e-01,1.557604e-07,2.899481e-01,6.213515e+01,2.899481e-01,1.557604e-07,2.818892e-01,2.173452e-07,2.473514e-08,9.946674e-03,6.278307e-07,2.716724e-03,1.201314e-24,2.716724e-03,6.278307e-07,9.946674e-03,2.473514e-08,
3.138138e-01,2.173405e-07,2.809761e-01,1.556060e-07,2.896413e-01,6.213515e+01,2.896413e-01,1.556060e-07,2.809761e-01,2.173405e-07,2.481693e-08,9.947038e-03,6.298579e-07,2.722545e-03,1.201314e-24,2.722545e-03,6.298579e-07,9.947038e-03,2.481693e-08,
3.143143e-01,2.173359e-07,2.800646e-01,1.554517e-07,2.893345e-01,6.213515e+01,2.893345e-01,1.554517e-07,2.800646e-01,2.173359e-07,2.489888e-08,9.947305e-03,6.318886e-07,2.728361e-03,1.201314e-24,2.728361e-03,6.318886e-07,9.947305e-03,2.489888e-08,
3.148148e-01,2.173313e-07,2.791546e-01,1.552974e-07,2.890276e-01,6.213515e+01,2.890276e-01,1.552974e-07,2.791546e-01,2.173313e-07,2.498097e-08,9.947475e-03,6.339226e-07,2.734172e-03,1.201314e-24,2.734172e-03,6.339226e-07,9.947475e-03,2.498097e-08,
3.153153e-01,2.173266e-07,2.782463e-01,1.551432e-07,2.887206e-01,6.213515e+01,2.887206e-01,1.551432e-07,2.782463e-01,2.173266e-07,2.506322e-08,9.947549e-03,6.359599e-07,2.739977e-03,1.201314e-24,2.739977e-03,6.359599e-07,9.947549e-03,2.506322e-08,
3.158158e-01,2.173220e-07,2.773397e-01,1.549892e-07,2.884135e-01,6.213515e+01,2.884135e-01,1.549892e-07,2.773397e-01,2.173220e-07,2.514561e-08,9.947527e-03,6.380006e-07,2.745777e-03,1.201314e-24,2.745777e-03,6.380006e-07,9.947527e-03,2.514561e-08,
3.163163e-01,2.173174e-07,2.764347e-01,1.548352e-07,2.881063e-01,6.213515e+01,2.881063e-01,1.548352e-07,2.764347e-01,2.173174e-07,2.522815e-08,9.947409e-03,6.400447e-07,2.751572e-03,1.201314e-24,2.751572e-03,6.400447e-07,9.947409e-03,2.522815e-08,
