Frequency [Hz],AA transfer function,AI transfer function,
2.808332e+03,0.8078890823943746-0.5813602548710661j,0.8078890823943746-0.5813602548710661j,
2.840884e+03,0.8034954781480417-0.5872420654782373j,0.8034954781480417-0.5872420654782373j,
2.873813e+03,0.7990029927853273-0.5931622249432844j,0.7990029927853273-0.5931622249432844j,
2.907123e+03,0.7944094609909941-0.5991201273805100j,0.7944094609909941-0.5991201273805100j,
2.940820e+03,0.7897126722153902-0.6051151213378448j,0.7897126722153902-0.6051151213378448j,
2.974908e+03,0.7849103698294280-0.6111465077035020j,0.7849103698294280-0.6111465077035020j,
3.009390e+03,0.7800002502726331-0.6172135375127197j,0.7800002502726331-0.6172135375127197j,
3.044272e+03,0.7749799621954457-0.6233154096490434j,0.7749799621954457-0.6233154096490434j,
3.079559e+03,0.7698471055971399-0.6294512684342326j,0.7698471055971399-0.6294512684342326j,
3.115254e+03,0.7645992309609509-0.6356202011005172j,0.7645992309609509-0.6356202011005172j,
3.151363e+03,0.7592338383882343-0.6418212351385379j,0.7592338383882343-0.6418212351385379j,
3.187891e+03,0.7537483767337714-0.6480533355138837j,0.7537483767337714-0.6480533355138837j,
3.224842e+03,0.7481402427446232-0.6543154017447123j,0.7481402427446232-0.6543154017447123j,
3.262222e+03,0.7424067802052986-0.6606062648324587j,0.7424067802052986-0.6606062648324587j,
3.300035e+03,0.7365452790923704-0.6669246840371637j,0.7365452790923704-0.6669246840371637j,
3.338286e+03,0.7305529747421222-0.6732693434884260j,0.7305529747421222-0.6732693434884260j,
3.376980e+03,0.7244270470352769-0.6796388486224350j,0.7244270470352769-0.6796388486224350j,
3.416123e+03,0.7181646196034082-0.6860317224349766j,0.7181646196034082-0.6860317224349766j,
3.455720e+03,0.7117627590622269-0.6924464015397013j,0.7117627590622269-0.6924464015397013j,
3.495776e+03,0.7052184742776145-0.6988812320202996j,0.7052184742776145-0.6988812320202996j,
3.536296e+03,0.6985287156710166-0.7053344650645930j,0.6985287156710166-0.7053344650645930j,
3.577285e+03,0.6916903745716443-0.7118042523678433j,0.6916903745716443-0.7118042523678433j,
3.618750e+03,0.6847002826238513-0.7182886412918791j,0.6847002826238513-0.7182886412918791j,
3.660695e+03,0.6775552112590882-0.7247855697659001j,0.6775552112590882-0.7247855697659001j,
3.703127e+03,0.6702518712429737-0.7312928609140490j,0.6702518712429737-0.7312928609140490j,
3.746050e+03,0.6627869123092816-0.7378082173940602j,0.6627869123092816-0.7378082173940602j,
3.789471e+03,0.6551569228940651-0.7443292154305093j,0.6551569228940651-0.7443292154305093j,
