Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
2.961225e+00,1.0004627894657325+0.0937698548297238j,1.0097421896280139+9.8697547685408686j,
2.995549e+00,1.0004735798636020+0.0948566978683188j,1.0099693439315161+9.9841559768673989j,
3.030271e+00,1.0004846218439312+0.0959561367315029j,1.0102017946828710+10.0998832144592274j,
3.065395e+00,1.0004959212721829+0.0970683173522326j,1.0104396653787262+10.2169518511896928j,
3.100927e+00,1.0005074841505248+0.0981933873526449j,1.0106830823933706+10.3353774350761949j,
3.136870e+00,1.0005193166210518+0.0993314960635545j,1.0109321750496747+10.4551756943447227j,
3.173230e+00,1.0005314249690471+0.1004827945441735j,1.0111870756809367+10.5763625395183176j,
3.210011e+00,1.0005438156263118+0.1016474356020577j,1.0114479197072797+10.6989540655297279j,
3.247218e+00,1.0005564951745747+0.1028255738132797j,1.0117148457120493+10.8229665538585298j,
3.284857e+00,1.0005694703489958+0.1040173655428337j,1.0119879955018405+10.9484164746930279j,
3.322933e+00,1.0005827480417473+0.1052229689652728j,1.0122675141938089+11.0753204891171677j,
3.361449e+00,1.0005963353056408+0.1064425440855827j,1.0125535502902494+11.2036954513228206j,
3.400412e+00,1.0006102393579255+0.1076762527602932j,1.0128462557549938+11.3335584108476688j,
3.439826e+00,1.0006244675840641+0.1089242587188306j,1.0131457860879891+11.4649266148390065j,
3.479698e+00,1.0006390275416877+0.1101867275851147j,1.0134523004253424+11.5978175103438108j,
3.520031e+00,1.0006539269646062+0.1114638268994010j,1.0137659616120800+11.7322487466252898j,
3.560833e+00,1.0006691737668909+0.1127557261403729j,1.0140869362821832+11.8682381775062904j,
3.602107e+00,1.0006847760471054+0.1140625967474855j,1.0144153949622705+12.0058038637398532j,
3.643859e+00,1.0007007420925795+0.1153846121435633j,1.0147515121516335+12.1449640754072004j,
3.686095e+00,1.0007170803838221+0.1167219477576565j,1.0150954664204619+12.2857372943435550j,
3.728821e+00,1.0007337995990220+0.1180747810481564j,1.0154474405026122+12.4281422165919615j,
3.772042e+00,1.0007509086186488+0.1194432915261746j,1.0158076213901950+12.5721977548856589j,
3.815765e+00,1.0007684165301747+0.1208276607791880j,1.0161762004354387+12.7179230411590858j,
3.859994e+00,1.0007863326328845+0.1222280724949522j,1.0165533734561905+12.8653374290880400j,
3.904735e+00,1.0008046664428285+0.1236447124856874j,1.0169393408305041+13.0144604966592343j,
3.949995e+00,1.0008234276978563+0.1250777687125385j,1.0173343076130550+13.1653120487696107j,
3.995780e+00,1.0008426263628003+0.1265274313103130j,1.0177384836370038+13.3179121198557731j,
4.042096e+00,1.0008622726347447+0.1279938926125003j,1.0181520836304117+13.4722809765538525j,
4.088948e+00,1.0008823769484714+0.1294773471765734j,1.0185753273235605+13.6284391203902047j,
4.136344e+00,1.0009029499819526+0.1309779918095789j,1.0190084395744634+13.7864072905032380j,
4.184289e+00,1.0009240026620567+0.1324960255940166j,1.0194516504816420+13.9462064663967826j,
4.232789e+00,1.0009455461703283+0.1340316499140112j,1.0199051955114555+14.1078578707253399j,
4.281852e+00,1.0009675919489140+0.1355850684817817j,1.0203693156163354+14.2713829721115903j,
4.331483e+00,1.0009901517066595+0.1371564873644094j,1.0208442573675711+14.4368034879965101j,
4.381690e+00,1.0010132374253011+0.1387461150109083j,1.0213302730917349+14.6041413875225246j,
4.432479e+00,1.0010368613658294+0.1403541622796024j,1.0218276209907344+14.7734188944500016j,
4.483856e+00,1.0010610360749901+0.1419808424658111j,1.0223365652873326+14.9446584901075816j,
4.535829e+00,1.0010857743919708+0.1436263713298475j,1.0228573763706663+15.1178829163765851j,
4.588404e+00,1.0011110894551578+0.1452909671253325j,1.0233903309308516+15.2931151787100603j,
4.641589e+00,1.0011369947091602+0.1469748506278281j,1.0239357121099601+15.4703785491867105j,
4.695390e+00,1.0011635039119149+0.1486782451637929j,1.0244938096475380+15.6496965696002590j,
4.749815e+00,1.0011906311419807+0.1504013766398636j,1.0250649200479529+15.8310930545845050j,
4.804870e+00,1.0012183908060379+0.1521444735724660j,1.0256493467204564+16.0145920947746028j,
4.860564e+00,1.0012467976465018+0.1539077671177588j,1.0262474001501687+16.2002180600049535j,
4.916904e+00,1.0012758667493422+0.1556914911019135j,1.0268593980690639+16.3879956025440663j,
4.973896e+00,1.0013056135521019+0.1574958820517345j,1.0274856656051270+16.5779496603669259j,
5.031549e+00,1.0013360538520928+0.1593211792256217j,1.0281265354788047+16.7701054604651958j,
5.089870e+00,1.0013672038147341+0.1611676246448815j,1.0287823481594387+16.9644885221957686j,
5.148867e+00,1.0013990799821713+0.1630354631253867j,1.0294534520580783+17.1611246606680687j,
5.208549e+00,1.0014316992820333+0.1649249423095921j,1.0301402037093794+17.3600399901705664j,
5.268921e+00,1.0014650790363966+0.1668363126989066j,1.0308429679625988+17.5612609276369334j,
5.329994e+00,1.0014992369709930+0.1687698276864276j,1.0315621181725874+17.7648141961523436j,
5.391775e+00,1.0015341912245823+0.1707257435900406j,1.0322980363944225+17.9707268285003607j,
5.454271e+00,1.0015699603586157+0.1727043196858873j,1.0330511136016867+18.1790261707508307j,
5.517492e+00,1.0016065633670266+0.1747058182422067j,1.0338217498738231+18.3897398858893482j,
5.581446e+00,1.0016440196863421+0.1767305045535532j,1.0346103546235099+18.6028959574887232j,
5.646141e+00,1.0016823492059608+0.1787786469753937j,1.0354173468113004+18.8185226934228673j,
5.711586e+00,1.0017215722787114+0.1808505169590900j,1.0362431551584450+19.0366487296237530j,
5.777790e+00,1.0017617097316460+0.1829463890872689j,1.0370882183906360+19.2573030338817865j,
5.844761e+00,1.0018027828770748+0.1850665411095840j,1.0379529854562861+19.4805149096901680j,
5.912508e+00,1.0018448135238565+0.1872112539788732j,1.0388379157775489+19.7063140001337160j,
5.981041e+00,1.0018878239889837+0.1893808118877167j,1.0397434794849687+19.9347302918227527j,
6.050368e+00,1.0019318371093782+0.1915755023053974j,1.0406701576666819+20.1657941188724088j,
6.120498e+00,1.0019768762540231+0.1937956160152700j,1.0416184426376276+20.3995361669280335j,
6.191442e+00,1.0020229653363373+0.1960414471525413j,1.0425888381796540+20.6359874772371406j,
6.263207e+00,1.0020701288268441+0.1983132932424663j,1.0435818598343758+20.8751794507684636j,
6.335805e+00,1.0021183917661460+0.2006114552389640j,1.0445980351523758+21.1171438523786925j,
6.409244e+00,1.0021677797781940+0.2029362375636566j,1.0456379039842432+21.3619128150273383j,
6.483534e+00,1.0022183190838554+0.2052879481453369j,1.0467020187770686+21.6095188440404051j,
6.558686e+00,1.0022700365148296+0.2076668984598678j,1.0477909448509308+21.8599948214233635j,
6.634708e+00,1.0023229595278238+0.2100734035705173j,1.0489052607099438+22.1133740102239926j,
6.711612e+00,1.0023771162191508+0.2125077821687337j,1.0500455583442090+22.3696900589456789j,
6.789407e+00,1.0024325353395547+0.2149703566153660j,1.0512124435499572+22.6289770060117554j,
6.868104e+00,1.0024892463094943+0.2174614529823311j,1.0524065362442343+22.8912692842814600j,
6.947713e+00,1.0025472792346903+0.2199814010947354j,1.0536284707959567+23.1566017256181311j,
7.028244e+00,1.0026066649220837+0.2225305345734517j,1.0548788963733386+23.4250095655101731j,
7.109709e+00,1.0026674348961464+0.2251091908781584j,1.0561584772731294+23.6965284477454858j,
7.192119e+00,1.0027296214155754+0.2277177113508427j,1.0574678932807728+23.9711944291399490j,
7.275484e+00,1.0027932574903815+0.2303564412597738j,1.0588078400342056+24.2490439843205081j,
7.359814e+00,1.0028583768993578+0.2330257298439498j,1.0601790293912927+24.5301140105635902j,
7.445123e+00,1.0029250142079604+0.2357259303580226j,1.0615821898027207+24.8144418326894609j,
7.531420e+00,1.0029932047866232+0.2384574001177037j,1.0630180667067179+25.1020652080131121j,
7.618718e+00,1.0030629848294517+0.2412205005456581j,1.0644874229183188+25.3930223313523591j,
7.707027e+00,1.0031343913734148+0.2440155972178870j,1.0659910390422738+25.6873518400938607j,
7.796360e+00,1.0032074623179241+0.2468430599106070j,1.0675297138805036+25.9850928193176713j,
7.886729e+00,1.0032822364448926+0.2497032626476263j,1.0691042648631992+26.2862848069809196j,
7.978145e+00,1.0033587534392581+0.2525965837482258j,1.0707155284708278+26.5909677991615112j,
8.070620e+00,1.0034370539099946+0.2555234058755473j,1.0723643606979749+26.8991822553623123j,
8.164168e+00,1.0035171794115492+0.2584841160854924j,1.0740516374844447+27.2109691038766393j,
8.258799e+00,1.0035991724659077+0.2614791058761382j,1.0757782552063873+27.5263697472157141j,
8.354528e+00,1.0036830765849878+0.2645087712376733j,1.0775451311274082+27.8454260675988330j,
8.451366e+00,1.0037689362937350+0.2675735127028571j,1.0793532039006095+28.1681804325069365j,
8.549327e+00,1.0038567971536096+0.2706737353980079j,1.0812034340706305+28.4946757003002595j,
8.648423e+00,1.0039467057867242+0.2738098490945239j,1.0830968045647751+28.8249552259009185j,
8.748668e+00,1.0040387099004562+0.2769822682609405j,1.0850343212423468+29.1590628665410740j,
8.850075e+00,1.0041328583126869+0.2801914121155284j,1.0870170133985084+29.4970429875774869j,
8.952657e+00,1.0042292009776261+0.2834377046794365j,1.0890459343390830+29.8389404683731208j,
9.056428e+00,1.0043277890121551+0.2867215748303844j,1.0911221619207936+30.1848007082467475j,
9.161402e+00,1.0044286747229059+0.2900434563569058j,1.0932467991351587+30.5346696324911022j,
9.267593e+00,1.0045319116338689+0.2934037880131521j,1.0954209746796550+30.8885936984606353j,
9.375015e+00,1.0046375545146660+0.2968030135742531j,1.0976458435834502+31.2466199017293178j,
9.483682e+00,1.0047456594094939+0.3002415818922453j,1.0999225877931167+31.6087957823196923j,
9.593608e+00,1.0048562836667330+0.3037199469525668j,1.1022524168110976+31.9751694310036783j,
9.704809e+00,1.0049694859692195+0.3072385679311261j,1.1046365683487238+32.3457894956760725j,
9.817298e+00,1.0050853263652471+0.3107979092519457j,1.1070763089646789+32.7207051878016202j,
9.931092e+00,1.0052038663002492+0.3143984406453865j,1.1095729347489396+33.0999662889363009j,
1.004620e+01,1.0053251686492715+0.3180406372069546j,1.1121277720158105+33.4836231573240610j,
1.016265e+01,1.0054492977501219+0.3217249794566959j,1.1147421779933211+33.8717267345692790j,
1.028045e+01,1.0055763194373597+0.3254519533991806j,1.1174175415562786+34.2643285523865018j,
1.039961e+01,1.0057063010769873+0.3292220505840828j,1.1201552839629585+34.6614807394277449j,
1.052015e+01,1.0058393116020454+0.3330357681673546j,1.1229568596027093+35.0632360281885482j,
1.064209e+01,1.0059754215489214+0.3368936089730037j,1.1258237567726610+35.4696477619936701j,
1.076545e+01,1.0061147030946032+0.3407960815554729j,1.1287574984762614+35.8807699020632285j,
1.089023e+01,1.0062572300946968+0.3447437002626264j,1.1317596432145365+36.2966570346602708j,
1.101646e+01,1.0064030781223785+0.3487369852993463j,1.1348317858301016+36.7173643783206458j,
1.114415e+01,1.0065523245082275+0.3527764627917408j,1.1379755583420774+37.1429477911662289j,
1.127333e+01,1.0067050483810043+0.3568626648519683j,1.1411926308283000+37.5734637783022336j,
1.140400e+01,1.0068613307093059+0.3609961296436792j,1.1444847122929787+38.0089694992998943j,
1.153618e+01,1.0070212543442558+0.3651774014480776j,1.1478535515907424+38.4495227757650966j,
1.166990e+01,1.0071849040631342+0.3694070307306064j,1.1513009383434110+38.8951820989942121j,
1.180517e+01,1.0073523666140112+0.3736855742082561j,1.1548287038967828+39.3460066377181334j,
1.194200e+01,1.0075237307614238+0.3780135949175026j,1.1584387222974328+39.8020562459352263j,
1.208042e+01,1.0076990873331191+0.3823916622828714j,1.1621329112731473+40.2633914708345912j,
1.222045e+01,1.0078785292678347+0.3868203521861343j,1.1659132332697482+40.7300735608103182j,
1.236210e+01,1.0080621516642090+0.3913002470361377j,1.1697816964842787+41.2021644735680255j,
1.250539e+01,1.0082500518308173+0.3958319358392642j,1.1737403559236554+41.6797268843245732j,
1.265034e+01,1.0084423293373135+0.4004160142705298j,1.1777913145087950+42.1628241941019866j,
1.279697e+01,1.0086390860668288+0.4050530847453153j,1.1819367241914733+42.6515205381167988j,
1.294530e+01,1.0088404262695043+0.4097437564917370j,1.1861787870857370+43.1458807942658069j,
1.309535e+01,1.0090464566172770+0.4144886456236514j,1.1905197566429706+43.6459705917092506j,
1.324714e+01,1.0092572862599347+0.4192883752143003j,1.1949619388560677+44.1518563195526852j,
1.340069e+01,1.0094730268824463+0.4241435753705913j,1.1995076934726967+44.6636051356284511j,
1.355602e+01,1.0096937927636098+0.4290548833080174j,1.2041594352540415+45.1812849753781265j,
1.371315e+01,1.0099197008360541+0.4340229434262128j,1.2089196352553699+45.7049645608368280j,
1.387210e+01,1.0101508707475979+0.4390484073851453j,1.2137908221429825+46.2347134097206762j,
1.403289e+01,1.0103874249240370+0.4441319341819442j,1.2187755835257121+46.7706018446185610j,
1.419555e+01,1.0106294886333664+0.4492741902283627j,1.2238765673428134+47.3127010022892875j,
1.436009e+01,1.0108771900514490+0.4544758494288719j,1.2290964832591271+47.8610828430654749j,
1.452654e+01,1.0111306603292292+0.4597375932593868j,1.2344381041148154+48.4158201603651008j,
1.469492e+01,1.0113900336614456+0.4650601108466199j,1.2399042673805525+48.9769865903123289j,
1.486525e+01,1.0116554473569579+0.4704440990480600j,1.2454978766818385+49.5446566214683060j,
1.503755e+01,1.0119270419106350+0.4758902625325758j,1.2512219033360452+50.1189056046737136j,
1.521186e+01,1.0122049610769146+0.4813993138616368j,1.2570793879203848+50.6998097630039481j,
1.538818e+01,1.0124893519450424+0.4869719735711512j,1.2630734418980865+51.2874462018382289j,
1.556654e+01,1.0127803650160274+0.4926089702539150j,1.2692072492664010+51.8818929190440983j,
1.574698e+01,1.0130781542813558+0.4983110406426675j,1.2754840682409849+52.4832288152784798j,
1.592950e+01,1.0133828773034814+0.5040789296937489j,1.2819072330003110+53.0915337044064159j,
1.611414e+01,1.0136946952981738+0.5099133906713545j,1.2884801554409933+53.7068883240392054j,
1.630092e+01,1.0140137732187462+0.5158151852323785j,1.2952063269949576+54.3293743461929424j,
1.648987e+01,1.0143402798421768+0.5217850835118404j,1.3020893204866297+54.9590743880687640j,
1.668101e+01,1.0146743878572302+0.5278238642088899j,1.3091327920265030+55.5960720229564842j,
1.687436e+01,1.0150162739545259+0.5339323146733791j,1.3163404829465435+56.2404517912626574j,
1.706995e+01,1.0153661189187062+0.5401112309929949j,1.3237162218010781+56.8922992116645361j,
1.726781e+01,1.0157241077226900+0.5463614180809433j,1.3312639263822348+57.5517007923915145j,
1.746796e+01,1.0160904296240432+0.5526836897641769j,1.3389876058099617+58.2187440426350804j,
1.767044e+01,1.0164652782635599+0.5590788688721517j,1.3468913626638823+58.8935174840890951j,
1.787526e+01,1.0168488517660705+0.5655477873261074j,1.3549793951442552+59.5761106626215380j,
1.808245e+01,1.0172413528435200+0.5720912862288557j,1.3632559993238829+60.2666141600793352j,
1.829205e+01,1.0176429889004268+0.5787102159550662j,1.3717255714091152+60.9651196062276881j,
1.850407e+01,1.0180539721416757+0.5854054362420362j,1.3803926100772514+61.6717196908253769j,
1.871855e+01,1.0184745196827798+0.5921778162809309j,1.3892617188776057+62.3865081758373847j,
1.893552e+01,1.0189048536626188+0.5990282348084797j,1.3983376086598582+63.1095799077867952j,
1.915501e+01,1.0193452013587567+0.6059575801991108j,1.4076251000788034+63.8410308302467939j,
1.937703e+01,1.0197957953053063+0.6129667505575110j,1.4171291261573060+64.5809579964749787j,
1.960163e+01,1.0202568734135014+0.6200566538115913j,1.4268547349020082+65.3294595821911344j,
1.982884e+01,1.0207286790949617+0.6272282078058390j,1.4368070919736056+66.0866348985001508j,
2.005868e+01,1.0212114613877539+0.6344823403950409j,1.4469914834498923+66.8525844049615472j,
2.029118e+01,1.0217054750852448+0.6418199895383524j,1.4574133186088147+67.6274097228075135j,
2.052638e+01,1.0222109808679036+0.6492421033936938j,1.4680781328115700+68.4112136483106212j,
2.076430e+01,1.0227282454380315+0.6567496404124518j,1.4789915904384543+69.2041001663033057j,
2.100498e+01,1.0232575416575180+0.6643435694344597j,1.4901594878883770+70.0061744638502006j,
2.124845e+01,1.0237991486887097+0.6720248697832357j,1.5015877566675044+70.8175429440756830j,
2.149475e+01,1.0243533521383839+0.6797945313614476j,1.5132824665270164+71.6383132401474967j,
2.174389e+01,1.0249204442049979+0.6876535547465816j,1.5252498286808986+72.4685942294188408j,
2.199593e+01,1.0255007238291931+0.6956029512867830j,1.5374961991146847+73.3084960477301735j,
2.225089e+01,1.0260944968476728+0.7036437431968412j,1.5500280819487671+74.1581301038725513j,
2.250880e+01,1.0267020761505101+0.7117769636542843j,1.5628521328872012+75.0176090942144072j,
2.276970e+01,1.0273237818419538+0.7200036568955541j,1.5759751627592777+75.8870470174932450j,
2.303363e+01,1.0279599414048342+0.7283248783122227j,1.5894041411211219+76.7665591897741137j,
2.330061e+01,1.0286108898685988+0.7367416945472175j,1.6031461999664316+77.6562622595766641j,
2.357069e+01,1.0292769699810833+0.7452551835910154j,1.6172086374972423+78.5562742231726219j,
2.384390e+01,1.0299585323841001+0.7538664348777674j,1.6315989220020128+79.4667144400552274j,
2.412028e+01,1.0306559357929288+0.7625765493813109j,1.6463246958192030+80.3877036485828427j,
2.439986e+01,1.0313695471797324+0.7713866397110278j,1.6613937793918012+81.3193639817981193j,
2.468268e+01,1.0320997419610798+0.7802978302075014j,1.6768141754073440+82.2618189834249307j,
2.496878e+01,1.0328469041895580+0.7893112570379278j,1.6925940730507136+83.2151936240447014j,
2.525820e+01,1.0336114267496512+0.7984280682912307j,1.7087418523497035+84.1796143174542237j,
2.555097e+01,1.0343937115578896+0.8076494240728276j,1.7252660886133526+85.1552089372065666j,
2.584714e+01,1.0351941697674079+0.8169764965989952j,1.7421755569812376+86.1421068333370812j,
2.614673e+01,1.0360132219770186+0.8264104702907799j,1.7594792370782670+87.1404388492767055j,
2.644980e+01,1.0368512984448195+0.8359525418673899j,1.7771863177858904+88.1503373389539036j,
2.675638e+01,1.0377088393065073+0.8456039204390156j,1.7953062020988000+89.1719361840879117j,
2.706652e+01,1.0385862947984421+0.8553658275990077j,1.8138485121180565+90.2053708116745270j,
2.738025e+01,1.0394841254855791+0.8652394975153553j,1.8328230941642687+91.2507782116668977j,
2.769762e+01,1.0404028024943628+0.8752261770213873j,1.8522400239780836+92.3082969548531338j,
2.801867e+01,1.0413428077506808+0.8853271257056327j,1.8721096120843868+93.3780672109327696j,
2.834343e+01,1.0423046342229725+0.8955436160007636j,1.8924424092383560+94.4602307667939840j,
2.867196e+01,1.0432887861706099+0.9058769332715416j,1.9132492120352254+95.5549310449937366j,
2.900430e+01,1.0442957793976362+0.9163283759016912j,1.9345410686273681+96.6623131224428107j,
2.934050e+01,1.0453261415119819+0.9268992553796142j,1.9563292845759861+97.7825237492977521j,
2.968059e+01,1.0463804121902598+0.9375908963828613j,1.9786254288610508+98.9157113680618920j,
3.002462e+01,1.0474591434482505+0.9484046368612679j,2.0014413399912883+100.0620261328973015j,
3.037264e+01,1.0485628999171830+0.9593418281186615j,2.0247891322978830+101.2216199291500374j,
3.072469e+01,1.0496922591259050+0.9704038348930485j,2.0486812023427774+102.3946463930906532j,
3.108082e+01,1.0508478117891329+0.9815920354351694j,2.0731302354979562+103.5812609318719240j,
3.144108e+01,1.0520301621017722+0.9929078215853291j,2.0981492126575176+104.7816207437062843j,
3.180552e+01,1.0532399280395346+1.0043525988483859j,2.1237514171316434+105.9958848382645868j,
3.217418e+01,1.0544777416659130+1.0159277864667884j,2.1499504416678974+107.2242140572988234j,
3.254712e+01,1.0557442494456417+1.0276348174915455j,2.1767601956635190+108.4667710954906568j,
3.292437e+01,1.0570401125647777+1.0394751388510062j,2.2041949125396059+109.7237205215280653j,
3.330600e+01,1.0583660072575114+1.0514502114173221j,2.2322691572680924+110.9952287994121036j,
3.369206e+01,1.0597226251398411+1.0635615100704636j,2.2609978340969974+112.2814643099960676j,
3.408259e+01,1.0611106735501998+1.0758105237596554j,2.2903961944484763+113.5825973727593521j,
3.447764e+01,1.0625308758972309+1.0881987555620882j,2.3204798449842201+114.8988002678178759j,
3.487727e+01,1.0639839720147570+1.1007277227387626j,2.3512647558891331+116.2302472581736481j,
3.528154e+01,1.0654707185241641+1.1133989567873135j,2.3827672693114437+117.5771146122053779j,
3.569049e+01,1.0669918892042034+1.1262140034916592j,2.4150041080320079+118.9395806264024031j,
3.610419e+01,1.0685482753684852+1.1391744229683145j,2.4479923843082361+120.3178256483444386j,
3.652267e+01,1.0701406862506921+1.1522817897091957j,2.4817496089417546+121.7120320999287770j,
3.694601e+01,1.0717699493976980+1.1655376926207488j,2.5162937005479762+123.1223845008478435j,
3.737426e+01,1.0734369110706830+1.1789437350592160j,2.5516429950384918+124.5490694923186510j,
3.780747e+01,1.0751424366544349+1.1925015348618611j,2.5878162553381117+125.9922758610670712j,
3.824570e+01,1.0768874110749174+1.2062127243739498j,2.6248326812983578+127.4521945635685114j,
3.868901e+01,1.0786727392252828+1.2200789504712979j,2.6627119198838045+128.9290187505476695j,
3.913746e+01,1.0804993464004333+1.2341018745781716j,2.7014740755421371+130.4229437917394137j,
3.959110e+01,1.0823681787403103+1.2482831726803274j,2.7411397208634298+131.9341673009129465j,
4.005001e+01,1.0842802036819741+1.2626245353329761j,2.7817299074613402+133.4628891611617689j,
4.051423e+01,1.0862364104207174+1.2771276676634340j,2.8232661771071434+135.0093115504610637j,
4.098384e+01,1.0882378103802672+1.2917942893682308j,2.8657705731220631+136.5736389674957252j,
4.145888e+01,1.0902854376922022+1.3066261347044283j,2.9092656520551827+138.1560782577601003j,
4.193944e+01,1.0923803496848521+1.3216249524748891j,2.9537744955905509+139.7568386399322549j,
4.242556e+01,1.0945236273816086+1.3367925060072527j,2.9993207227726089+141.3761317325252946j,
4.291732e+01,1.0967163760090131+1.3521305731263245j,3.0459285024899145+143.0141715808169351j,
4.341478e+01,1.0989597255145718+1.3676409461196173j,3.0936225662480865+144.6711746840606168j,
4.391801e+01,1.1012548310945398+1.3833254316957495j,3.1424282212610706+146.3473600229793590j,
4.442707e+01,1.1036028737317523+1.3991858509354009j,3.1923713638097979+148.0429490875452530j,
4.494203e+01,1.1060050607437155+1.4152240392345199j,3.2434784929482703+149.7581659050462690j,
4.546295e+01,1.1084626263409625+1.4314418462394685j,3.2957767244988645+151.4932370684427383j,
4.598992e+01,1.1109768321959415+1.4478411357737659j,3.3492938053768739+153.2483917650153842j,
4.652300e+01,1.1135489680224850+1.4644237857561071j,3.4040581282661151+155.0238618053074902j,
4.706225e+01,1.1161803521659692+1.4811916881092921j,3.4600987466055813+156.8198816523621133j,
4.760775e+01,1.1188723322043899+1.4981467486597184j,3.5174453899471700+158.6366884512585216j,
4.815958e+01,1.1216262855603389+1.5152908870270507j,3.5761284796481050+160.4745220589469739j,
4.871780e+01,1.1244436201241399+1.5326260365037006j,3.6361791449417069+162.3336250743866458j,
4.928250e+01,1.1273257748881420+1.5501541439237034j,3.6976292393792392+164.2142428689866733j,
4.985373e+01,1.1302742205923622+1.5678771695205995j,3.7605113576337317+166.1166236173532980j,
5.043159e+01,1.1332904603815415+1.5857970867738869j,3.8248588527221727+168.0410183283446486j,
5.101615e+01,1.1363760304737411+1.6039158822436204j,3.8907058535933174+169.9876808764348652j,
5.160749e+01,1.1395325008405841+1.6222355553927046j,3.9580872831502347+171.9568680333898669j,
5.220568e+01,1.1427614758991922+1.6407581183964284j,4.0270388766712131+173.9488395002560708j,
5.281080e+01,1.1460645952159894+1.6594855959387533j,4.0975972006635857+175.9638579396639955j,
5.342293e+01,1.1494435342223532+1.6784200249948882j,4.1697996721431991+178.0021890084487097j,
5.404216e+01,1.1529000049422926+1.6975634545996208j,4.2436845783813624+180.0641013905878651j,
5.466857e+01,1.1564357567321473+1.7169179456009174j,4.3192910970847151+182.1498668304603257j,
5.530224e+01,1.1600525770324204+1.7364855703982374j,4.3966593170443957+184.2597601664256217j,
5.594326e+01,1.1637522921317576+1.7562684126650221j,4.4758302592726977+186.3940593647262176j,
5.659170e+01,1.1675367679431439+1.7762685670548009j,4.5568458986235783+188.5530455537147532j,
5.724766e+01,1.1714079107924107+1.7964881388903187j,4.6397491859024740+190.7370030584054632j,
5.791123e+01,1.1753676682189322+1.8169292438351101j,4.7245840704981674+192.9462194353541236j,
5.858248e+01,1.1794180297887102+1.8375940075468926j,4.8113955235185131+195.1809855078649605j,
5.926152e+01,1.1835610279197084+1.8584845653121540j,4.9002295614900504+197.4415954015271666j,
5.994843e+01,1.1877987387195326+1.8796030616612924j,4.9911332705669338+199.7283465800820466j,
6.064329e+01,1.1921332828353961+1.9009516499636367j,5.0841548313255771+202.0415398816206789j,
6.134622e+01,1.1965668263163280+1.9225324920016769j,5.1793435441140900+204.3814795551146233j,
6.205729e+01,1.2011015814876131+1.9443477575237920j,5.2767498549928860+206.7484732972790482j,
6.277660e+01,1.2057398078373964+1.9663996237747730j,5.3764253822700994+209.1428322897695864j,
6.350425e+01,1.2104838129153919+1.9886902750033888j,5.4784229436427268+211.5648712367137136j,
6.424034e+01,1.2153359532435566+2.0112219019462545j,5.5827965839671378+214.0149084025764807j,
6.498495e+01,1.2202986352387022+2.0339967012872187j,5.6896016036771471+216.4932656503619910j,
6.573820e+01,1.2253743161468300+2.0570168750914823j,5.7988945878241793+219.0002684801497708j,
6.650018e+01,1.2305655049891548+2.0802846302136317j,5.9107334358195658+221.5362460679663741j,
6.727099e+01,1.2358747635195435+2.1038021776787619j,6.0251773918462277+224.1015313049938698j,
6.805074e+01,1.2413047071932404+2.1275717320358303j,6.1422870759506623+226.6964608371123688j,
6.883952e+01,1.2468580061466987+2.1515955106823723j,6.2621245158879901+229.3213751047781273j,
6.963745e+01,1.2525373861882123+2.1758757331596907j,6.3847531796509429+231.9766183832368824j,
7.044462e+01,1.2583456297991482+2.2004146204176087j,6.5102380087810161+234.6625388230709461j,
7.126115e+01,1.2642855771455181+2.2252143940478417j,6.6386454524272267+237.3794884910795986j,
7.208715e+01,1.2703601270994582+2.2502772754850580j,6.7700435021852172+240.1278234114926420j,
7.292272e+01,1.2765722382704645+2.2756054851746379j,6.9045017277385341+242.9079036075150100j,
7.376798e+01,1.2829249300458621+2.3012012417061540j,7.0420913133057184+245.7200931432017796j,
7.462303e+01,1.2894212836401735+2.3270667609115474j,7.1828850949423213+248.5647601656618519j,
7.548799e+01,1.2960644431529431+2.3532042549269856j,7.3269575986632844+251.4422769475893915j,
7.636298e+01,1.3028576166345758+2.3796159312173319j,7.4743850794820901+254.3530199301194159j,
7.724811e+01,1.3098040771596224+2.4063039915621749j,7.6252455612811900+257.2973697660081598j,
7.814351e+01,1.3169071639070538+2.4332706310023151j,7.7796188776592317+260.2757113631332686j,
7.904928e+01,1.3241702832468860+2.4605180367456057j,7.9375867136550369+263.2884339283129407j,
7.996555e+01,1.3315969098325340+2.4880483870310219j,8.0992326484574733+266.3359310114406071j,
8.089243e+01,1.3391905876982833+2.5158638499498100j,8.2646421990757517+269.4186005499323642j,
8.183007e+01,1.3469549313611040+2.5439665822225619j,8.4339028650065302+272.5368449134839466j,
8.277857e+01,1.3548936269260885+2.5723587279310234j,8.6071041739178327+275.6910709491328930j,
8.373807e+01,1.3630104331947273+2.6010424172034563j,8.7843377283697919+278.8816900266236303j,
8.470868e+01,1.3713091827751072+2.6300197648523276j,8.9656972536176909+282.1091180840693937j,
8.569055e+01,1.3797937831931719+2.6592928689631141j,9.1512786464609235+285.3737756739081988j,
8.668380e+01,1.3884682180040855+2.6888638094329753j,9.3411800252524699+288.6760880091471222j,
8.768856e+01,1.3973365479026612+2.7187346464580417j,9.5355017809961282+292.0164850098900615j,
8.870497e+01,1.4064029118317336+2.7489074189680625j,9.7343466296497354+295.3954013501430609j,
8.973316e+01,1.4156715280874721+2.7793841430071242j,9.9378196655634383+298.8132765048924284j,
