Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
1.273811e-01,1.0000008563696987+0.0040337356749483j,1.0000180270344572+0.4245613132526185j,
1.288576e-01,1.0000008763373067+0.0040804911535496j,1.0000184473628906+0.4294824510623721j,
1.303512e-01,1.0000008967704943+0.0041277885799996j,1.0000188774902199+0.4344606303321122j,
1.318621e-01,1.0000009176801115+0.0041756342360713j,1.0000193176510948+0.4394965122357807j,
1.333906e-01,1.0000009390772711+0.0042240344763503j,1.0000197680710698+0.4445907656110601j,
1.349367e-01,1.0000009609733347+0.0042729957290787j,1.0000202289957087+0.4497440670482045j,
1.365008e-01,1.0000009833799481+0.0043225244970088j,1.0000207006651181+0.4549571009799007j,
1.380830e-01,1.0000010063090023+0.0043726273582671j,1.0000211833357753+0.4602305597721708j,
1.396835e-01,1.0000010297726796+0.0044233109672272j,1.0000216772587009+0.4655651438163285j,
1.413026e-01,1.0000010537834569+0.0044745820553946j,1.0000221826958295+0.4709615616220004j,
1.429405e-01,1.0000010783540780+0.0045264474322999j,1.0000226999236475+0.4764205299112269j,
1.445973e-01,1.0000011034976062+0.0045789139864035j,1.0000232292059081+0.4819427737136533j,
1.462733e-01,1.0000011292273925+0.0046319886860105j,1.0000237708336499+0.4875290264628235j,
1.479688e-01,1.0000011555571078+0.0046856785801962j,1.0000243250869971+0.4931800300935912j,
1.496839e-01,1.0000011825007498+0.0047399907997424j,1.0000248922642641+0.4988965351406586j,
1.514189e-01,1.0000012100726181+0.0047949325580839j,1.0000254726674029+0.5046793008382592j,
1.531740e-01,1.0000012382873678+0.0048505111522674j,1.0000260666038230+0.5105290952209942j,
1.549495e-01,1.0000012671599912+0.0049067339639200j,1.0000266743882094+0.5164466952258391j,
1.567455e-01,1.0000012967058254+0.0049636084602296j,1.0000272963425232+0.5224328867953314j,
1.585624e-01,1.0000013269405628+0.0050211421949371j,1.0000279327996395+0.5284884649819562j,
1.604003e-01,1.0000013578802758+0.0050793428093392j,1.0000285840960714+0.5346142340537389j,
1.622595e-01,1.0000013895413957+0.0051382180333034j,1.0000292505810648+0.5408110076010647j,
1.641403e-01,1.0000014219407447+0.0051977756862945j,1.0000299326038657+0.5470796086447354j,
1.660429e-01,1.0000014550955356+0.0052580236784135j,1.0000306305282720+0.5534208697452768j,
1.679675e-01,1.0000014890233793+0.0053189700114475j,1.0000313447289955+0.5598356331135164j,
1.699144e-01,1.0000015237423057+0.0053806227799333j,1.0000320755807479+0.5663247507224398j,
1.718839e-01,1.0000015592707605+0.0054429901722317j,1.0000328234727931+0.5728890844203457j,
1.738762e-01,1.0000015956276158+0.0055060804716152j,1.0000335888034897+0.5795295060453115j,
1.758917e-01,1.0000016328321877+0.0055699020573686j,1.0000343719802913+0.5862468975409854j,
1.779304e-01,1.0000016709042470+0.0056344634059010j,1.0000351734179276+0.5930421510737214j,
1.799929e-01,1.0000017098640122+0.0056997730918723j,1.0000359935420420+0.5999161691510728j,
1.820792e-01,1.0000017497321885+0.0057658397893320j,1.0000368327873730+0.6068698647416565j,
1.841897e-01,1.0000017905299501+0.0058326722728706j,1.0000376916013920+0.6139041613964091j,
1.863246e-01,1.0000018322789792+0.0059002794187854j,1.0000385704406654+0.6210199933712479j,
1.884843e-01,1.0000018750014483+0.0059686702062597j,1.0000394697708543+0.6282183057511530j,
1.906691e-01,1.0000019187200664+0.0060378537185545j,1.0000403900721722+0.6355000545756877j,
1.928792e-01,1.0000019634580433+0.0061078391442156j,1.0000413318302890+0.6428662069659760j,
1.951148e-01,1.0000020092391644+0.0061786357782937j,1.0000422955454269+0.6503177412531479j,
1.973764e-01,1.0000020560877410+0.0062502530235787j,1.0000432817323599+0.6578556471082772j,
1.996642e-01,1.0000021040286668+0.0063227003918489j,1.0000442909149569+0.6654809256738236j,
2.019786e-01,1.0000021530874115+0.0063959875051337j,1.0000453236280009+0.6731945896965984j,
2.043197e-01,1.0000022032900340+0.0064701240969923j,1.0000463804208266+0.6809976636622721j,
2.066880e-01,1.0000022546632152+0.0065451200138056j,1.0000474618536828+0.6888911839314410j,
2.090838e-01,1.0000023072342366+0.0066209852160845j,1.0000485685013700+0.6968761988772699j,
2.115073e-01,1.0000023610310436+0.0066977297797924j,1.0000497009532410+0.7049537690247316j,
2.139589e-01,1.0000024160821965+0.0067753638976837j,1.0000508598095621+0.7131249671914597j,
2.164389e-01,1.0000024724169592+0.0068538978806574j,1.0000520456851518+0.7213908786302344j,
2.189477e-01,1.0000025300652560+0.0069333421591261j,1.0000532592111995+0.7297526011731184j,
2.214855e-01,1.0000025890577149+0.0070137072844021j,1.0000545010352653+0.7382112453772657j,
2.240528e-01,1.0000026494256709+0.0070950039300980j,1.0000557718121854+0.7467679346724196j,
2.266498e-01,1.0000027112012049+0.0071772428935446j,1.0000570722222619+0.7554238055101193j,
2.292769e-01,1.0000027744171298+0.0072604350972248j,1.0000584029494348+0.7641800075146380j,
2.319345e-01,1.0000028391070366+0.0073445915902242j,1.0000597647049290+0.7730377036356676j,
2.346229e-01,1.0000029053052870+0.0074297235496987j,1.0000611582145211+0.7819980703027776j,
2.373424e-01,1.0000029730470565+0.0075158422823586j,1.0000625842149020+0.7910622975816584j,
2.400935e-01,1.0000030423683270+0.0076029592259707j,1.0000640434645902+0.8002315893321825j,
2.428764e-01,1.0000031133059366+0.0076910859508770j,1.0000655367402942+0.8095071633682916j,
2.456916e-01,1.0000031858975653+0.0077802341615315j,1.0000670648314554+0.8188902516197414j,
2.485395e-01,1.0000032601817850+0.0078704156980545j,1.0000686285529810+0.8283821002957171j,
2.514203e-01,1.0000033361980556+0.0079616425378055j,1.0000702287361491+0.8379839700503503j,
2.543346e-01,1.0000034139867644+0.0080539267969733j,1.0000718662322470+0.8476971361501505j,
2.572826e-01,1.0000034935892401+0.0081472807321856j,1.0000735419052944+0.8575228886433788j,
