Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.893894e+00,2.193501e-07,3.247242e-01,2.177865e-07,4.059937e-01,6.213515e+01,4.059937e-01,2.177865e-07,3.247242e-01,2.193501e-07,2.068908e-09,1.215106e-02,1.426207e-08,3.773014e-05,1.201314e-24,3.773014e-05,1.426207e-08,1.215106e-02,2.068908e-09,
1.912913e+00,2.193279e-07,2.918694e-01,2.181414e-07,4.060098e-01,6.213515e+01,4.060098e-01,2.181414e-07,2.918694e-01,2.193279e-07,2.248196e-09,1.324922e-02,1.141800e-08,3.760133e-05,1.201314e-24,3.760133e-05,1.141800e-08,1.324922e-02,2.248196e-09,
1.931932e+00,2.193024e-07,2.564563e-01,2.184026e-07,4.060258e-01,6.213515e+01,4.060258e-01,2.184026e-07,2.564563e-01,2.193024e-07,2.455481e-09,1.441029e-02,9.324437e-09,3.747470e-05,1.201314e-24,3.747470e-05,9.324437e-09,1.441029e-02,2.455481e-09,
1.950951e+00,2.192726e-07,2.190764e-01,2.185993e-07,4.060417e-01,6.213515e+01,4.060417e-01,2.185993e-07,2.190764e-01,2.192726e-07,2.696793e-09,1.560891e-02,7.746987e-09,3.735024e-05,1.201314e-24,3.735024e-05,7.746987e-09,1.560891e-02,2.696793e-09,
1.969970e+00,2.192377e-07,1.807159e-01,2.187506e-07,4.060576e-01,6.213515e+01,4.060576e-01,2.187506e-07,1.807159e-01,2.192377e-07,2.979873e-09,1.680661e-02,6.533198e-09,3.722791e-05,1.201314e-24,3.722791e-05,6.533198e-09,1.680661e-02,2.979873e-09,
1.988989e+00,2.191964e-07,1.428077e-01,2.188692e-07,4.060734e-01,6.213515e+01,4.060734e-01,2.188692e-07,1.428077e-01,2.191964e-07,3.314791e-09,1.795091e-02,5.581619e-09,3.710769e-05,1.201314e-24,3.710769e-05,5.581619e-09,1.795091e-02,3.314791e-09,
2.008008e+00,2.191470e-07,1.072103e-01,2.189637e-07,4.060891e-01,6.213515e+01,4.060891e-01,2.189637e-07,1.072103e-01,2.191470e-07,3.714836e-09,1.897712e-02,4.823148e-09,3.698957e-05,1.201314e-24,3.698957e-05,4.823148e-09,1.897712e-02,3.714836e-09,
2.027027e+00,2.190875e-07,7.607365e-02,2.190401e-07,4.061048e-01,6.213515e+01,4.061048e-01,2.190401e-07,7.607365e-02,2.190875e-07,4.197815e-09,1.981405e-02,4.209652e-09,3.687351e-05,1.201314e-24,3.687351e-05,4.209652e-09,1.981405e-02,4.197815e-09,
2.046046e+00,2.190148e-07,5.157486e-02,2.191027e-07,4.061205e-01,6.213515e+01,4.061205e-01,2.191027e-07,5.157486e-02,2.190148e-07,4.788027e-09,2.039375e-02,3.706898e-09,3.675950e-05,1.201314e-24,3.675950e-05,3.706898e-09,2.039375e-02,4.788027e-09,
2.065065e+00,2.189247e-07,3.555933e-02,2.191546e-07,4.061360e-01,6.213515e+01,4.061360e-01,2.191546e-07,3.555933e-02,2.189247e-07,5.519280e-09,2.066364e-02,3.290065e-09,3.664750e-05,1.201314e-24,3.664750e-05,3.290065e-09,2.066364e-02,5.519280e-09,
2.084084e+00,2.188113e-07,2.918211e-02,2.191980e-07,4.061515e-01,6.213515e+01,4.061515e-01,2.191980e-07,2.918211e-02,2.188113e-07,6.439680e-09,2.059767e-02,2.940845e-09,3.653751e-05,1.201314e-24,3.653751e-05,2.940845e-09,2.059767e-02,6.439680e-09,
2.103103e+00,2.186659e-07,3.267291e-02,2.192348e-07,4.061670e-01,6.213515e+01,4.061670e-01,2.192348e-07,3.267291e-02,2.186659e-07,7.619442e-09,2.020229e-02,2.645509e-09,3.642950e-05,1.201314e-24,3.642950e-05,2.645509e-09,2.020229e-02,7.619442e-09,
2.122122e+00,2.184757e-07,4.531402e-02,2.192661e-07,4.061824e-01,6.213515e+01,4.061824e-01,2.192661e-07,4.531402e-02,2.184757e-07,9.164049e-09,1.951498e-02,2.393619e-09,3.632345e-05,1.201314e-24,3.632345e-05,2.393619e-09,1.951498e-02,9.164049e-09,
2.141141e+00,2.182204e-07,6.563373e-02,2.192930e-07,4.061977e-01,6.213515e+01,4.061977e-01,2.192930e-07,6.563373e-02,2.182204e-07,1.123733e-08,1.859577e-02,2.177124e-09,3.621934e-05,1.201314e-24,3.621934e-05,2.177124e-09,1.859577e-02,1.123733e-08,
2.160160e+00,2.178676e-07,9.173208e-02,2.193163e-07,4.062130e-01,6.213515e+01,4.062130e-01,2.193163e-07,9.173208e-02,2.178676e-07,1.410360e-08,1.751527e-02,1.989746e-09,3.611715e-05,1.201314e-24,3.611715e-05,1.989746e-09,1.751527e-02,1.410360e-08,
2.179179e+00,2.173623e-07,1.216219e-01,2.193366e-07,4.062282e-01,6.213515e+01,4.062282e-01,2.193366e-07,1.216219e-01,2.173623e-07,1.820841e-08,1.634306e-02,1.826530e-09,3.601686e-05,1.201314e-24,3.601686e-05,1.826530e-09,1.634306e-02,1.820841e-08,
2.198198e+00,2.166076e-07,1.534938e-01,2.193544e-07,4.062434e-01,6.213515e+01,4.062434e-01,2.193544e-07,1.534938e-01,2.166076e-07,2.434051e-08,1.513952e-02,1.683528e-09,3.591845e-05,1.201314e-24,3.591845e-05,1.683528e-09,1.513952e-02,2.434051e-08,
2.217217e+00,2.154227e-07,1.858668e-01,2.193700e-07,4.062585e-01,6.213515e+01,4.062585e-01,2.193700e-07,1.858668e-01,2.154227e-07,3.397081e-08,1.395172e-02,1.557560e-09,3.582191e-05,1.201314e-24,3.582191e-05,1.557560e-09,1.395172e-02,3.397081e-08,
2.236236e+00,2.134551e-07,2.176366e-01,2.193838e-07,4.062736e-01,6.213515e+01,4.062736e-01,2.193838e-07,2.176366e-01,2.134551e-07,4.996538e-08,1.281280e-02,1.446048e-09,3.572721e-05,1.201314e-24,3.572721e-05,1.446048e-09,1.281280e-02,4.996538e-08,
2.255255e+00,2.100232e-07,2.480516e-01,2.193961e-07,4.062886e-01,6.213515e+01,4.062886e-01,2.193961e-07,2.480516e-01,2.100232e-07,7.786912e-08,1.174360e-02,1.346881e-09,3.563434e-05,1.201314e-24,3.563434e-05,1.346881e-09,1.174360e-02,7.786912e-08,
2.274274e+00,2.041174e-07,2.766537e-01,2.194071e-07,4.063036e-01,6.213515e+01,4.063036e-01,2.194071e-07,2.766537e-01,2.041174e-07,1.258996e-07,1.075516e-02,1.258318e-09,3.554328e-05,1.201314e-24,3.554328e-05,1.258318e-09,1.075516e-02,1.258996e-07,
2.293293e+00,1.965351e-07,3.032085e-01,2.194170e-07,4.063185e-01,6.213515e+01,4.063185e-01,2.194170e-07,3.032085e-01,1.965351e-07,1.875944e-07,9.851389e-03,1.178914e-09,3.545402e-05,1.201314e-24,3.545402e-05,1.178914e-09,9.851389e-03,1.875944e-07,
2.312312e+00,1.950822e-07,3.276408e-01,2.194258e-07,4.063334e-01,6.213515e+01,4.063334e-01,2.194258e-07,3.276408e-01,1.950822e-07,1.994725e-07,9.031390e-03,1.107462e-09,3.536654e-05,1.201314e-24,3.536654e-05,1.107462e-09,9.031390e-03,1.994725e-07,
2.331331e+00,2.020269e-07,3.499812e-01,2.194338e-07,4.063482e-01,6.213515e+01,4.063482e-01,2.194338e-07,3.499812e-01,2.020269e-07,1.430311e-07,8.291260e-03,1.042948e-09,3.528082e-05,1.201314e-24,3.528082e-05,1.042948e-09,8.291260e-03,1.430311e-07,
