Frequency,M2a to BHD,M2b to BHD,DARM to BHD,M6 to BHD,M7 to BHD,M9 to BHD,M2a to PDH_A,M2b to PDH_B,DARM to PDH,M6 to PDH_A,M6 to PDH_B,M7 to PDH_A,M7 to PDH_B,M9 to PDH_A,M9 to PDH_B,
1.096579e+01,565366.4836380806518719+157585834.3871490061283112j,-565376.9974005281692371-157586365.4814041852951050j,-565371.7405193044105545-157586099.9342765808105469j,194.0733434167905216+53110.8226260959927458j,178.6764122722212562+48897.9869026789165218j,-0.0003532496345998-0.1029503870684860j,-90634217.5290943682193756+162597.3185653099208139j,-91536495.8741898089647293+164209.2763836799422279j,451139.1725477203726768-805.9789091850107070j,0.0000452403035071-0.0040580633239234j,-0.1029127966586682-57.3867594624873547j,0.0937890046533318+52.3163251145154575j,-0.0000832293381828+0.0074422601136723j,0.0000001586292612+0.0000113721876928j,0.0000002270455931+0.0000091998268278j,
1.106736e+01,575898.7925728765549138+159045395.0833531022071838j,-575901.2065370309865102-159045930.9926027059555054j,-575899.9995549537707120-159045663.0379779040813446j,197.6885107509208410+53602.7353668374635163j,182.0048418085710580+49350.8803361272002803j,-0.0003626060070521-0.1039039297415139j,-90634211.5409372597932816+164097.4950611580279656j,-91536489.6818304061889648+165715.5900681539496873j,451139.0704465731978416-809.0475034979608608j,0.0000261003015543-0.0020634140649213j,-0.1048296635236869-57.9182191143214453j,0.0955373880530060+52.8007708515279077j,-0.0000638291754617+0.0055208210656736j,0.0000346601183713-0.0026843953231509j,0.0000350533676790-0.0027172052938854j,
1.116987e+01,586613.1971096924971789+160518473.5993349850177765j,-586615.2228911955608055-160519014.5138701796531677j,-586614.2100004439707845-160518744.0566025972366333j,201.3638701589754021+54099.2039684054252575j,185.3914063266254288+49807.9682700741541339j,-0.0003764504124124-0.1048664368266122j,-90634205.5132771730422974+165615.5710149147780612j,-91536483.8221579641103745+167263.9894307017966639j,451139.1544403955340385-824.2092078935093014j,0.0000163459536959-0.0018895378408443j,-0.1068098978067065-58.4523907849686992j,0.0973681970559461+53.2857203201391840j,-0.0000152224762446+0.0017557516996602j,-0.0000330844829822+0.0026566626242465j,-0.0000334520303655+0.0026819253353261j,
1.127333e+01,597520.9158611281309277+162005195.1722021996974945j,-597552.0034354840172455-162005741.3658851385116577j,-597536.4596483060158789-162005468.2690436840057373j,205.1146453004297712+54600.2707225410558749j,188.8416256684300834+50269.2895845990205999j,-0.0050320696933667-0.1058864632318219j,-90634199.3474105596542358+167144.1126646575285122j,-91536477.6610299348831177+168813.0721999750530813j,451139.1568096876144409-834.4797676587622846j,-0.0000001561362264-0.0000066697566915j,-0.1087976673229596-58.9937837362807969j,0.0991802863271615+53.7792577123111641j,-0.0000145205587200+0.0017255143489169j,0.0000001407238467+0.0000130762259058j,-0.0000322862043302+0.0026405141940967j,
1.137774e+01,608660.7833407967118546+163505686.4733588695526123j,-608662.9271302226698026-163506237.4530830383300781j,-608661.8552355096908286-163505961.9632209539413452j,208.9318290781118037+55105.9781369251213619j,192.3590669449572204+50734.8834954822450527j,-0.0003949598912788-0.1068179324435476j,-90634193.1534700095653534+168692.2371546010253951j,-91536471.3391017913818359+170371.2860236788401380j,451139.0928158909082413-839.5244345389073715j,-0.0000001805228563-0.0000071201127397j,-0.1108223827987960-59.5401901353482614j,0.1010260139852996+54.2773696771090641j,0.0000001457859749+0.0000046984090166j,0.0000001786095222+0.0000070415439679j,0.0000001683016069+0.0000065370048106j,
1.148312e+01,619971.4384117661975324+165020074.4814090132713318j,-619981.7931250846013427-165020630.6123502254486084j,-619976.6157684253994375-165020352.5468796193599701j,212.8171260776479414+55616.3691921603749506j,195.9335378345857919+51204.7894978456679382j,-0.0003964418639109-0.1078071838551722j,-90634187.0005503147840500+170266.4167736009985674j,-91536465.0554623454809189+171955.2742821456049569j,451139.0274560153484344-844.4287542723031947j,0.0000368123747362-0.0036945119669010j,-0.1128599171999446-60.0937510243424882j,0.1028612124802919+54.7838635525803141j,-0.0000678296550174+0.0067803468267716j,0.0000001803850787+0.0000081484166230j,0.0000002347419650+0.0000052836994292j,
1.158948e+01,631526.0815574444131926+166548488.3461182415485382j,-631519.8270894919987768-166549049.5340982675552368j,-631522.9543234682641923-166548768.9401082396507263j,216.7777336772426793+56131.4872958505147835j,199.5853021930132343+51679.0476366383882123j,-0.0004036394079346-0.1088058113140686j,-90634180.4681654572486877+171831.6386462953232694j,-91536458.5965591371059418+173547.7913500599679537j,451139.0641968399286270-858.0763518823223421j,0.0000353438122798-0.0036253702644710j,-0.1149616190970736-60.6502909784636728j,0.1048212266779312+55.2874735141668339j,0.0000001545282793+0.0000056585459013j,0.0000001709935619+0.0000105876487818j,0.0000001709311771+0.0000107912751875j,
1.169683e+01,643278.8299532743403688+168091057.6626300811767578j,-643307.9374343196395785-168091624.3465442955493927j,-643293.3836937970481813-168091341.0045871734619141j,220.8178383801648579+56651.3762340823741397j,203.2996020969075062+52157.6981212337414036j,-0.0004031052372501-0.1098136196830102j,-90634173.9725927412509918+173423.1674829828261863j,-91536451.9013991355895996+175143.5107499412843026j,451138.9644031971693039-860.1716334792290581j,-0.0000342313522307+0.0035472358884570j,-0.1171487138847041-61.2079476573540262j,0.1067719545542975+55.7995519459307232j,0.0000001854023434+0.0000053543576997j,0.0000034437611091+0.0000091908882497j,0.0000034567992611+0.0000085097918637j,
1.180517e+01,655261.3785448180278763+169647913.7061583399772644j,-655260.6735119456425309-169648485.3331139683723450j,-655261.0260283818934113-169648199.5196361541748047j,224.9271849406181616+57176.0801240488217445j,207.0830165933919034+52640.7816572759038536j,-0.0004161686718464-0.1108306709592418j,-90634167.2713155597448349+175021.7042265615600627j,-91536445.2381260246038437+176765.8915207101090346j,451138.9834052324295044-872.0936470742744859j,-0.0000327450260528+0.0034833707889146j,-0.1193275584344154-61.7749207817045516j,0.1087590011493306+56.3163745020623878j,0.0000001956607978+0.0000055350254446j,0.0000001226324308+0.0000104682425498j,0.0000001319934767+0.0000116285889857j,
1.191451e+01,667444.5664896341040730+171219188.4976879656314850j,-667446.8667444579768926-171219765.4709638953208923j,-667445.7166170460404828-171219476.9843259453773499j,229.1101286147344638+57705.6435821538325399j,210.9368372094046151+53128.3392960709170438j,-0.0004293172310547-0.1118571354851520j,-90634160.6654815971851349+176650.6148169706284534j,-91536438.5278698951005936+178408.8499523503414821j,451138.9311941489577293-879.1175676898565143j,-0.0000124396547493-0.0000347811229201j,-0.1215328797092403-62.3490850200287881j,0.1107829863872047+56.8379836093430555j,0.0000001662233294+0.0000061328548251j,0.0000001089578055+0.0000106154969740j,0.0000001338419291+0.0000104580839424j,
