Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.608609e+00,2.194762e-07,5.915187e-01,2.195256e-07,4.133938e-01,6.213515e+01,4.100192e-01,2.195189e-07,5.329656e-01,2.184743e-07,1.060900e-09,1.279556e-03,2.931854e-10,1.871601e-03,6.010188e-27,7.110801e-05,3.526048e-10,2.666583e-03,9.229801e-09,
1.627628e+00,2.194816e-07,5.923881e-01,2.195254e-07,4.129919e-01,6.213515e+01,4.100427e-01,2.195196e-07,5.373033e-01,2.186659e-07,1.016585e-09,1.267170e-03,2.951384e-10,1.988981e-03,6.010188e-27,7.180496e-05,3.465629e-10,2.548320e-03,7.669081e-09,
1.646647e+00,2.194865e-07,5.932133e-01,2.195251e-07,4.125213e-01,6.213515e+01,4.100663e-01,2.195203e-07,5.413371e-01,2.188121e-07,9.763900e-10,1.256163e-03,2.973060e-10,2.116641e-03,6.010188e-27,7.251514e-05,3.408958e-10,2.439567e-03,6.478022e-09,
1.665666e+00,2.194909e-07,5.939961e-01,2.195247e-07,4.119718e-01,6.213515e+01,4.100902e-01,2.195210e-07,5.450944e-01,2.189261e-07,9.398837e-10,1.246491e-03,2.996944e-10,2.255634e-03,6.010188e-27,7.323888e-05,3.355840e-10,2.339422e-03,5.549480e-09,
1.684685e+00,2.194950e-07,5.947380e-01,2.195244e-07,4.113316e-01,6.213515e+01,4.101142e-01,2.195216e-07,5.485997e-01,2.190165e-07,9.066924e-10,1.238117e-03,3.023103e-10,2.407112e-03,6.010188e-27,7.397650e-05,3.306099e-10,2.247084e-03,4.812220e-09,
1.703704e+00,2.194986e-07,5.954404e-01,2.195240e-07,4.105874e-01,6.213515e+01,4.101384e-01,2.195221e-07,5.518751e-01,2.190895e-07,8.764922e-10,1.231009e-03,3.051610e-10,2.572330e-03,6.010188e-27,7.472834e-05,3.259570e-10,2.161842e-03,4.217482e-09,
1.722723e+00,2.195020e-07,5.961045e-01,2.195236e-07,4.097236e-01,6.213515e+01,4.101628e-01,2.195226e-07,5.549400e-01,2.191491e-07,8.490019e-10,1.225139e-03,3.082547e-10,2.752640e-03,6.010188e-27,7.549476e-05,3.216104e-10,2.083067e-03,3.731031e-09,
1.741742e+00,2.195050e-07,5.967315e-01,2.195232e-07,4.087229e-01,6.213515e+01,4.101874e-01,2.195231e-07,5.578120e-01,2.191985e-07,8.239760e-10,1.220484e-03,3.116006e-10,2.949482e-03,6.010188e-27,7.627611e-05,3.175563e-10,2.010194e-03,3.328280e-09,
1.760761e+00,2.195078e-07,5.973221e-01,2.195227e-07,4.075652e-01,6.213515e+01,4.102122e-01,2.195236e-07,5.605069e-01,2.192398e-07,8.012002e-10,1.217028e-03,3.152085e-10,3.164359e-03,6.010188e-27,7.707278e-05,3.137824e-10,1.942722e-03,2.991221e-09,
1.779780e+00,2.195103e-07,5.978773e-01,2.195222e-07,4.062285e-01,6.213515e+01,4.102372e-01,2.195240e-07,5.630388e-01,2.192748e-07,7.804869e-10,1.214757e-03,3.190893e-10,3.398808e-03,6.010188e-27,7.788514e-05,3.102770e-10,1.880201e-03,2.706427e-09,
1.798799e+00,2.195126e-07,5.983976e-01,2.195217e-07,4.046878e-01,6.213515e+01,4.102625e-01,2.195244e-07,5.654206e-01,2.193045e-07,7.616716e-10,1.213662e-03,3.232549e-10,3.654335e-03,6.010188e-27,7.871359e-05,3.070297e-10,1.822230e-03,2.463726e-09,
1.817818e+00,2.195147e-07,5.988837e-01,2.195211e-07,4.029163e-01,6.213515e+01,4.102879e-01,2.195247e-07,5.676636e-01,2.193300e-07,7.446100e-10,1.213741e-03,3.277182e-10,3.932335e-03,6.010188e-27,7.955854e-05,3.040308e-10,1.768449e-03,2.255303e-09,
1.836837e+00,2.195165e-07,5.993359e-01,2.195205e-07,4.008848e-01,6.213515e+01,4.103135e-01,2.195251e-07,5.697784e-01,2.193521e-07,7.291756e-10,1.214992e-03,3.324934e-10,4.233968e-03,6.010188e-27,8.042041e-05,3.012718e-10,1.718535e-03,2.075074e-09,
1.855856e+00,2.195182e-07,5.997546e-01,2.195198e-07,3.985635e-01,6.213515e+01,4.103394e-01,2.195254e-07,5.717742e-01,2.193713e-07,7.152570e-10,1.217420e-03,3.375960e-10,4.559989e-03,6.010188e-27,8.129965e-05,2.987447e-10,1.672196e-03,1.918250e-09,
1.874875e+00,2.195197e-07,6.001397e-01,2.195191e-07,3.959224e-01,6.213515e+01,4.103654e-01,2.195256e-07,5.736597e-01,2.193881e-07,7.027570e-10,1.221035e-03,3.430429e-10,4.910521e-03,6.010188e-27,8.219670e-05,2.964424e-10,1.629171e-03,1.781015e-09,
1.893894e+00,2.195211e-07,6.004915e-01,2.195183e-07,3.929342e-01,6.213515e+01,4.103917e-01,2.195259e-07,5.754425e-01,2.194029e-07,6.915903e-10,1.225851e-03,3.488525e-10,5.284765e-03,6.010188e-27,8.311203e-05,2.943584e-10,1.589224e-03,1.660306e-09,
