Schnupp length,Tuned PRC carrier,Tuned SRC carrier,Tuned X carrier,Tuned Y carrier,Tuned PRC f_1,Tuned SRC f_1,Tuned X f_1,Tuned Y f_1,Tuned PRC f_2,Tuned SRC f_2,Tuned X f_2,Tuned Y f_2,Detuned PRC carrier,Detuned SRC carrier,Detuned X carrier,Detuned Y carrier,Detuned PRC f_1,Detuned SRC f_1,Detuned X f_1,Detuned Y f_1,Detuned PRC f_2,Detuned SRC f_2,Detuned X f_2,Detuned Y f_2,
1.212121e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.868852e-01,5.415848e-04,7.792099e-03,9.014240e-03,5.831495e-01,3.008120e-03,7.496304e-04,6.821945e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072363e-01,7.589147e-05,8.846618e-03,8.816986e-03,6.457920e-03,1.175985e-02,2.523029e-05,2.638778e-05,
1.262626e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.851915e-01,5.851002e-04,7.733821e-03,9.001429e-03,5.797511e-01,3.246135e-03,7.470677e-04,6.771922e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072240e-01,8.234615e-05,8.847106e-03,8.816312e-03,5.482670e-03,1.103015e-02,2.298551e-05,2.402801e-05,
1.313131e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.834368e-01,6.299792e-04,7.674582e-03,8.987009e-03,5.760767e-01,3.490040e-03,7.441463e-04,6.718935e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072110e-01,8.906403e-05,8.847587e-03,8.815632e-03,4.671436e-03,1.035919e-02,2.102330e-05,2.196497e-05,
1.363636e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.816221e-01,6.761756e-04,7.614415e-03,8.970990e-03,5.721161e-01,3.739210e-03,7.408500e-04,6.662874e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071974e-01,9.604510e-05,8.848063e-03,8.814947e-03,3.993526e-03,9.741837e-03,1.929937e-05,2.015235e-05,
1.414141e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.797485e-01,7.236419e-04,7.553348e-03,8.953382e-03,5.678599e-01,3.992973e-03,7.371636e-04,6.603641e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071833e-01,1.032893e-04,8.848533e-03,8.814256e-03,3.424554e-03,9.173284e-03,1.777753e-05,1.855224e-05,
1.464646e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.778170e-01,7.723295e-04,7.491414e-03,8.934197e-03,5.632997e-01,4.250615e-03,7.330732e-04,6.541152e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071685e-01,1.107966e-04,8.848997e-03,8.813560e-03,2.945037e-03,8.649124e-03,1.642800e-05,1.713345e-05,
1.515152e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.758287e-01,8.221889e-04,7.428643e-03,8.913447e-03,5.584284e-01,4.511384e-03,7.285662e-04,6.475335e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071532e-01,1.185670e-04,8.849455e-03,8.812857e-03,2.539330e-03,8.165332e-03,1.522616e-05,1.587013e-05,
1.565657e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.737846e-01,8.731695e-04,7.365067e-03,8.891148e-03,5.532404e-01,4.774488e-03,7.236318e-04,6.406137e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071373e-01,1.266005e-04,8.849908e-03,8.812149e-03,2.194803e-03,7.718248e-03,1.415154e-05,1.474079e-05,
1.616162e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.716860e-01,9.252198e-04,7.300718e-03,8.867313e-03,5.477316e-01,5.039102e-03,7.182610e-04,6.333520e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071207e-01,1.348969e-04,8.850355e-03,8.811435e-03,1.901208e-03,7.304555e-03,1.318703e-05,1.372744e-05,
1.666667e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.695340e-01,9.782875e-04,7.235630e-03,8.841959e-03,5.418994e-01,5.304375e-03,7.124470e-04,6.257467e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.071036e-01,1.434563e-04,8.850795e-03,8.810715e-03,1.650196e-03,6.921257e-03,1.231824e-05,1.281493e-05,
1.717172e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.673298e-01,1.032320e-03,7.169833e-03,8.815103e-03,5.357431e-01,5.569428e-03,7.061851e-04,6.177982e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.070859e-01,1.522785e-04,8.851230e-03,8.809989e-03,1.434924e-03,6.565650e-03,1.153303e-05,1.199049e-05,
1.767677e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.650747e-01,1.087263e-03,7.103362e-03,8.786762e-03,5.292640e-01,5.833368e-03,6.994730e-04,6.095087e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.070675e-01,1.613637e-04,8.851659e-03,8.809258e-03,1.249768e-03,6.235294e-03,1.082109e-05,1.124326e-05,
1.818182e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.627700e-01,1.143062e-03,7.036248e-03,8.756956e-03,5.224651e-01,6.095289e-03,6.923109e-04,6.008829e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.070486e-01,1.707117e-04,8.852082e-03,8.808520e-03,1.090080e-03,5.927989e-03,1.017363e-05,1.056398e-05,
