DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-9.539540e-11,3.906388e-10,3.374379e-04,1.014027e-08,6.060881e-05,5.033926e-01,6.081776e-05,1.014096e-08,3.374510e-04,3.906493e-10,1.910990e-10,7.595507e-04,6.924744e-10,8.244303e-03,8.834847e+02,8.211972e-03,6.919790e-10,7.591843e-04,1.910438e-10,2.511461e-10,7.133904e-04,1.946972e-10,9.040718e-03,8.833080e+02,9.074850e-03,1.948371e-10,7.137336e-04,2.512186e-10,5.041889e-01,
-9.519520e-11,3.906388e-10,3.374379e-04,1.014028e-08,6.060903e-05,5.050219e-01,6.081754e-05,1.014096e-08,3.374510e-04,3.906493e-10,1.910989e-10,7.595503e-04,6.924739e-10,8.244269e-03,8.873601e+02,8.212005e-03,6.919795e-10,7.591847e-04,1.910439e-10,2.511462e-10,7.133908e-04,1.946973e-10,9.040753e-03,8.871827e+02,9.074814e-03,1.948370e-10,7.137333e-04,2.512185e-10,5.058183e-01,
-9.499499e-11,3.906388e-10,3.374379e-04,1.014028e-08,6.060925e-05,5.066582e-01,6.081732e-05,1.014096e-08,3.374510e-04,3.906493e-10,1.910988e-10,7.595499e-04,6.924734e-10,8.244235e-03,8.912607e+02,8.212039e-03,6.919800e-10,7.591851e-04,1.910439e-10,2.511463e-10,7.133911e-04,1.946974e-10,9.040789e-03,8.910824e+02,9.074778e-03,1.948368e-10,7.137329e-04,2.512184e-10,5.074545e-01,
-9.479479e-11,3.906388e-10,3.374379e-04,1.014028e-08,6.060947e-05,5.083013e-01,6.081710e-05,1.014096e-08,3.374510e-04,3.906493e-10,1.910988e-10,7.595495e-04,6.924729e-10,8.244201e-03,8.951866e+02,8.212073e-03,6.919805e-10,7.591855e-04,1.910440e-10,2.511464e-10,7.133915e-04,1.946976e-10,9.040825e-03,8.950076e+02,9.074742e-03,1.948367e-10,7.137326e-04,2.512184e-10,5.090977e-01,
-9.459459e-11,3.906388e-10,3.374379e-04,1.014028e-08,6.060969e-05,5.099514e-01,6.081688e-05,1.014096e-08,3.374509e-04,3.906493e-10,1.910987e-10,7.595491e-04,6.924724e-10,8.244167e-03,8.991380e+02,8.212107e-03,6.919811e-10,7.591859e-04,1.910441e-10,2.511464e-10,7.133918e-04,1.946977e-10,9.040861e-03,8.989582e+02,9.074706e-03,1.948365e-10,7.137322e-04,2.512183e-10,5.107477e-01,
-9.439439e-11,3.906388e-10,3.374379e-04,1.014028e-08,6.060991e-05,5.116085e-01,6.081666e-05,1.014096e-08,3.374509e-04,3.906493e-10,1.910987e-10,7.595487e-04,6.924718e-10,8.244133e-03,9.031152e+02,8.212141e-03,6.919816e-10,7.591863e-04,1.910441e-10,2.511465e-10,7.133922e-04,1.946979e-10,9.040896e-03,9.029346e+02,9.074670e-03,1.948364e-10,7.137318e-04,2.512182e-10,5.124048e-01,
-9.419419e-11,3.906388e-10,3.374380e-04,1.014028e-08,6.061013e-05,5.132725e-01,6.081644e-05,1.014096e-08,3.374509e-04,3.906493e-10,1.910986e-10,7.595484e-04,6.924713e-10,8.244099e-03,9.071184e+02,8.212175e-03,6.919821e-10,7.591866e-04,1.910442e-10,2.511466e-10,7.133926e-04,1.946980e-10,9.040932e-03,9.069370e+02,9.074635e-03,1.948362e-10,7.137315e-04,2.512181e-10,5.140689e-01,
-9.399399e-11,3.906388e-10,3.374380e-04,1.014028e-08,6.061035e-05,5.149436e-01,6.081622e-05,1.014096e-08,3.374509e-04,3.906493e-10,1.910986e-10,7.595480e-04,6.924708e-10,8.244065e-03,9.111477e+02,8.212209e-03,6.919826e-10,7.591870e-04,1.910442e-10,2.511467e-10,7.133929e-04,1.946982e-10,9.040968e-03,9.109655e+02,9.074599e-03,1.948361e-10,7.137311e-04,2.512181e-10,5.157400e-01,
-9.379379e-11,3.906388e-10,3.374380e-04,1.014028e-08,6.061057e-05,5.166218e-01,6.081600e-05,1.014096e-08,3.374509e-04,3.906492e-10,1.910985e-10,7.595476e-04,6.924703e-10,8.244031e-03,9.152035e+02,8.212242e-03,6.919831e-10,7.591874e-04,1.910443e-10,2.511467e-10,7.133933e-04,1.946983e-10,9.041004e-03,9.150205e+02,9.074563e-03,1.948359e-10,7.137308e-04,2.512180e-10,5.174181e-01,
-9.359359e-11,3.906389e-10,3.374380e-04,1.014028e-08,6.061079e-05,5.183071e-01,6.081578e-05,1.014096e-08,3.374509e-04,3.906492e-10,1.910984e-10,7.595472e-04,6.924697e-10,8.243997e-03,9.192859e+02,8.212276e-03,6.919837e-10,7.591878e-04,1.910443e-10,2.511468e-10,7.133936e-04,1.946985e-10,9.041039e-03,9.191021e+02,9.074527e-03,1.948358e-10,7.137304e-04,2.512179e-10,5.191034e-01,
-9.339339e-11,3.906389e-10,3.374380e-04,1.014028e-08,6.061101e-05,5.199995e-01,6.081556e-05,1.014096e-08,3.374509e-04,3.906492e-10,1.910984e-10,7.595468e-04,6.924692e-10,8.243963e-03,9.233952e+02,8.212310e-03,6.919842e-10,7.591882e-04,1.910444e-10,2.511469e-10,7.133940e-04,1.946986e-10,9.041075e-03,9.232105e+02,9.074491e-03,1.948356e-10,7.137300e-04,2.512178e-10,5.207958e-01,
-9.319319e-11,3.906389e-10,3.374380e-04,1.014028e-08,6.061122e-05,5.216990e-01,6.081534e-05,1.014096e-08,3.374508e-04,3.906492e-10,1.910983e-10,7.595464e-04,6.924687e-10,8.243929e-03,9.275316e+02,8.212344e-03,6.919847e-10,7.591886e-04,1.910445e-10,2.511470e-10,7.133944e-04,1.946988e-10,9.041111e-03,9.273461e+02,9.074455e-03,1.948355e-10,7.137297e-04,2.512178e-10,5.224953e-01,
-9.299299e-11,3.906389e-10,3.374380e-04,1.014028e-08,6.061144e-05,5.234057e-01,6.081513e-05,1.014095e-08,3.374508e-04,3.906492e-10,1.910983e-10,7.595460e-04,6.924682e-10,8.243895e-03,9.316953e+02,8.212378e-03,6.919852e-10,7.591890e-04,1.910445e-10,2.511470e-10,7.133947e-04,1.946989e-10,9.041147e-03,9.315090e+02,9.074419e-03,1.948354e-10,7.137293e-04,2.512177e-10,5.242020e-01,
-9.279279e-11,3.906389e-10,3.374380e-04,1.014028e-08,6.061166e-05,5.251196e-01,6.081491e-05,1.014095e-08,3.374508e-04,3.906492e-10,1.910982e-10,7.595457e-04,6.924677e-10,8.243861e-03,9.358866e+02,8.212412e-03,6.919857e-10,7.591893e-04,1.910446e-10,2.511471e-10,7.133951e-04,1.946991e-10,9.041182e-03,9.356994e+02,9.074383e-03,1.948352e-10,7.137290e-04,2.512176e-10,5.259160e-01,
