PRM transmissivity,Reflected power,
2.862863e-01,1.698676e+00,
2.872873e-01,1.702646e+00,
2.882883e-01,1.706597e+00,
2.892893e-01,1.710530e+00,
2.902903e-01,1.714444e+00,
2.912913e-01,1.718339e+00,
2.922923e-01,1.722217e+00,
2.932933e-01,1.726076e+00,
2.942943e-01,1.729917e+00,
2.952953e-01,1.733740e+00,
2.962963e-01,1.737545e+00,
2.972973e-01,1.741333e+00,
2.982983e-01,1.745103e+00,
2.992993e-01,1.748856e+00,
3.003003e-01,1.752591e+00,
3.013013e-01,1.756309e+00,
3.023023e-01,1.760010e+00,
3.033033e-01,1.763694e+00,
3.043043e-01,1.767362e+00,
3.053053e-01,1.771012e+00,
3.063063e-01,1.774646e+00,
3.073073e-01,1.778263e+00,
3.083083e-01,1.781864e+00,
3.093093e-01,1.785449e+00,
3.103103e-01,1.789017e+00,
3.113113e-01,1.792570e+00,
3.123123e-01,1.796106e+00,
3.133133e-01,1.799627e+00,
3.143143e-01,1.803131e+00,
3.153153e-01,1.806620e+00,
3.163163e-01,1.810094e+00,
3.173173e-01,1.813552e+00,
3.183183e-01,1.816994e+00,
3.193193e-01,1.820422e+00,
3.203203e-01,1.823834e+00,
3.213213e-01,1.827231e+00,
3.223223e-01,1.830613e+00,
3.233233e-01,1.833980e+00,
3.243243e-01,1.837333e+00,
3.253253e-01,1.840671e+00,
3.263263e-01,1.843994e+00,
3.273273e-01,1.847303e+00,
3.283283e-01,1.850597e+00,
3.293293e-01,1.853877e+00,
3.303303e-01,1.857143e+00,
3.313313e-01,1.860394e+00,
3.323323e-01,1.863632e+00,
3.333333e-01,1.866856e+00,
3.343343e-01,1.870066e+00,
3.353353e-01,1.873262e+00,
3.363363e-01,1.876444e+00,
3.373373e-01,1.879613e+00,
3.383383e-01,1.882768e+00,
3.393393e-01,1.885910e+00,
3.403403e-01,1.889039e+00,
3.413413e-01,1.892154e+00,
3.423423e-01,1.895256e+00,
3.433433e-01,1.898345e+00,
3.443443e-01,1.901422e+00,
3.453453e-01,1.904485e+00,
3.463463e-01,1.907535e+00,
3.473473e-01,1.910573e+00,
3.483483e-01,1.913597e+00,
3.493493e-01,1.916610e+00,
3.503504e-01,1.919609e+00,
3.513514e-01,1.922597e+00,
3.523524e-01,1.925572e+00,
3.533534e-01,1.928534e+00,
3.543544e-01,1.931485e+00,
3.553554e-01,1.934423e+00,
3.563564e-01,1.937349e+00,
3.573574e-01,1.940264e+00,
3.583584e-01,1.943166e+00,
3.593594e-01,1.946056e+00,
3.603604e-01,1.948935e+00,
3.613614e-01,1.951802e+00,
3.623624e-01,1.954658e+00,
3.633634e-01,1.957501e+00,
3.643644e-01,1.960334e+00,
3.653654e-01,1.963155e+00,
3.663664e-01,1.965964e+00,
3.673674e-01,1.968763e+00,
3.683684e-01,1.971550e+00,
3.693694e-01,1.974326e+00,
3.703704e-01,1.977091e+00,
3.713714e-01,1.979845e+00,
3.723724e-01,1.982587e+00,
3.733734e-01,1.985320e+00,
3.743744e-01,1.988041e+00,
3.753754e-01,1.990751e+00,
3.763764e-01,1.993451e+00,
3.773774e-01,1.996140e+00,
3.783784e-01,1.998819e+00,
3.793794e-01,2.001487e+00,
3.803804e-01,2.004145e+00,
3.813814e-01,2.006792e+00,
3.823824e-01,2.009429e+00,
3.833834e-01,2.012056e+00,
3.843844e-01,2.014673e+00,
3.853854e-01,2.017279e+00,
3.863864e-01,2.019876e+00,
3.873874e-01,2.022462e+00,
3.883884e-01,2.025039e+00,
3.893894e-01,2.027606e+00,
3.903904e-01,2.030162e+00,
3.913914e-01,2.032709e+00,
3.923924e-01,2.035247e+00,
3.933934e-01,2.037774e+00,
3.943944e-01,2.040292e+00,
3.953954e-01,2.042801e+00,
3.963964e-01,2.045300e+00,
3.973974e-01,2.047789e+00,
3.983984e-01,2.050270e+00,
3.993994e-01,2.052740e+00,
4.004004e-01,2.055202e+00,
4.014014e-01,2.057654e+00,
4.024024e-01,2.060097e+00,
4.034034e-01,2.062532e+00,
4.044044e-01,2.064957e+00,
4.054054e-01,2.067373e+00,
4.064064e-01,2.069780e+00,
4.074074e-01,2.072178e+00,
4.084084e-01,2.074567e+00,
4.094094e-01,2.076947e+00,
4.104104e-01,2.079319e+00,
4.114114e-01,2.081682e+00,
4.124124e-01,2.084036e+00,
4.134134e-01,2.086382e+00,
