Frequency,Horizontal seismic motion,Requirement,
3.931829e+01,7.379150e-16,NaN,
3.949995e+01,8.987151e-16,NaN,
3.968246e+01,7.137248e-16,NaN,
3.986581e+01,5.957501e-16,NaN,
4.005001e+01,5.473635e-16,NaN,
4.023506e+01,4.558573e-16,NaN,
4.042096e+01,4.835904e-16,NaN,
4.060772e+01,3.393333e-16,NaN,
4.079535e+01,2.526845e-16,NaN,
4.098384e+01,2.374965e-16,NaN,
4.117320e+01,2.900086e-16,NaN,
4.136344e+01,2.680389e-16,NaN,
4.155455e+01,2.293398e-16,NaN,
4.174655e+01,2.051499e-16,NaN,
4.193944e+01,2.253794e-16,NaN,
4.213322e+01,2.347534e-16,NaN,
4.232789e+01,2.362835e-16,NaN,
4.252346e+01,1.767435e-16,NaN,
4.271994e+01,1.495514e-16,NaN,
4.291732e+01,1.590086e-16,NaN,
4.311562e+01,1.746743e-16,NaN,
4.331483e+01,1.238797e-16,NaN,
4.351497e+01,1.355629e-16,NaN,
4.371602e+01,1.645609e-16,NaN,
4.391801e+01,1.517869e-16,NaN,
4.412093e+01,1.578510e-16,NaN,
4.432479e+01,1.343069e-16,NaN,
4.452959e+01,8.053231e-16,NaN,
4.473533e+01,4.486426e-16,NaN,
4.494203e+01,1.586091e-16,NaN,
4.514968e+01,1.554494e-16,NaN,
4.535829e+01,1.779157e-16,NaN,
4.556786e+01,1.740248e-16,NaN,
4.577841e+01,2.433832e-16,NaN,
4.598992e+01,1.852422e-16,NaN,
4.620241e+01,1.644298e-16,NaN,
4.641589e+01,1.495537e-16,NaN,
4.663035e+01,1.339305e-16,NaN,
4.684580e+01,1.512365e-16,NaN,
4.706225e+01,1.249604e-16,NaN,
4.727970e+01,1.215944e-16,NaN,
4.749815e+01,1.151302e-16,NaN,
4.771761e+01,2.513636e-16,NaN,
4.793808e+01,9.522093e-17,NaN,
4.815958e+01,1.242726e-16,NaN,
4.838210e+01,1.077896e-16,NaN,
4.860564e+01,1.682199e-15,NaN,
4.883022e+01,9.530922e-17,NaN,
4.905584e+01,3.687527e-16,NaN,
4.928250e+01,8.886650e-16,NaN,
4.951020e+01,1.178486e-15,NaN,
4.973896e+01,4.356451e-16,NaN,
4.996877e+01,5.721214e-16,NaN,
5.019965e+01,8.456332e-17,NaN,
5.043159e+01,6.073030e-17,NaN,
5.066461e+01,7.022662e-17,NaN,
5.089870e+01,5.022983e-17,NaN,
5.113388e+01,4.150514e-17,NaN,
5.137014e+01,4.573294e-17,NaN,
5.160749e+01,4.687232e-17,NaN,
5.184594e+01,3.918356e-17,NaN,
5.208549e+01,3.940608e-17,NaN,
5.232614e+01,3.279284e-17,NaN,
5.256791e+01,2.971372e-17,NaN,
5.281080e+01,2.852454e-17,NaN,
5.305481e+01,2.446917e-17,NaN,
5.329994e+01,2.463180e-17,NaN,
5.354621e+01,2.320588e-17,NaN,
5.379362e+01,2.282170e-17,NaN,
5.404216e+01,2.205436e-17,NaN,
5.429186e+01,1.559856e-17,NaN,
5.454271e+01,2.057092e-17,NaN,
5.479472e+01,1.911384e-17,NaN,
5.504790e+01,1.738623e-17,NaN,
5.530224e+01,2.085603e-17,NaN,
5.555776e+01,2.014787e-17,NaN,
5.581446e+01,2.086295e-17,NaN,
5.607235e+01,2.243473e-17,NaN,
5.633143e+01,3.604942e-17,NaN,
5.659170e+01,2.079745e-17,NaN,
5.685318e+01,2.280162e-17,NaN,
5.711586e+01,2.121985e-17,NaN,
5.737976e+01,2.336789e-17,NaN,
5.764488e+01,2.349522e-17,NaN,
5.791123e+01,2.083058e-17,NaN,
5.817880e+01,2.243680e-17,NaN,
5.844761e+01,2.015533e-17,NaN,
5.871766e+01,2.227407e-17,NaN,
5.898896e+01,2.469015e-17,NaN,
5.926152e+01,2.980519e-17,NaN,
5.953533e+01,2.691801e-17,NaN,
5.981041e+01,3.064102e-17,NaN,
6.008676e+01,3.196627e-17,NaN,
6.036439e+01,3.022278e-17,NaN,
6.064329e+01,2.492095e-17,NaN,
6.092349e+01,2.134258e-17,NaN,
6.120498e+01,2.897495e-17,NaN,
6.148778e+01,2.488021e-17,NaN,
6.177188e+01,2.520383e-17,NaN,
6.205729e+01,2.517376e-17,NaN,
6.234402e+01,2.217532e-17,NaN,
6.263207e+01,1.459740e-17,NaN,
6.292146e+01,2.675131e-17,NaN,
6.321218e+01,1.423242e-17,NaN,
6.350425e+01,1.432558e-17,NaN,
6.379767e+01,1.313120e-17,NaN,
6.409244e+01,1.285386e-17,NaN,
6.438857e+01,1.030953e-17,NaN,
6.468608e+01,9.654194e-18,NaN,
6.498495e+01,1.187707e-17,NaN,
6.528521e+01,1.015077e-17,NaN,
6.558686e+01,9.145333e-18,NaN,
6.588990e+01,6.403905e-18,NaN,
6.619433e+01,7.757884e-18,NaN,
6.650018e+01,5.657878e-18,NaN,
6.680744e+01,6.067900e-18,NaN,
6.711612e+01,5.286620e-18,NaN,
6.742622e+01,5.837989e-18,NaN,
6.773776e+01,6.580346e-18,NaN,
6.805074e+01,5.992776e-18,NaN,
6.836516e+01,4.902591e-18,NaN,
6.868104e+01,5.891238e-18,NaN,
6.899837e+01,7.225000e-18,NaN,
6.931717e+01,4.808941e-18,NaN,
6.963745e+01,3.988905e-18,NaN,
6.995920e+01,3.979582e-18,NaN,
7.028244e+01,4.534820e-18,NaN,
7.060718e+01,4.755654e-18,NaN,
7.093341e+01,3.807835e-18,NaN,
7.126115e+01,3.844469e-18,NaN,
7.159041e+01,3.587387e-18,NaN,
7.192119e+01,3.660105e-18,NaN,
7.225349e+01,3.228690e-18,NaN,
7.258734e+01,4.464589e-18,NaN,
7.292272e+01,8.080740e-18,NaN,
7.325965e+01,3.780741e-18,NaN,
7.359814e+01,3.081330e-18,NaN,
7.393820e+01,2.948356e-18,NaN,
7.427982e+01,2.008775e-18,NaN,
7.462303e+01,2.374318e-18,NaN,
7.496782e+01,2.010211e-18,NaN,
7.531420e+01,2.504854e-18,NaN,
7.566219e+01,2.728888e-18,NaN,
7.601178e+01,2.318861e-18,NaN,
7.636298e+01,2.441545e-18,NaN,
7.671581e+01,2.109477e-18,NaN,
7.707027e+01,2.113760e-18,NaN,
7.742637e+01,2.053284e-18,NaN,
7.778411e+01,2.383181e-18,NaN,
7.814351e+01,1.814531e-18,NaN,
7.850456e+01,1.801975e-18,NaN,
7.886729e+01,2.021300e-18,NaN,
7.923169e+01,1.982070e-18,NaN,
7.959777e+01,1.846091e-18,NaN,
7.996555e+01,1.745869e-18,NaN,
8.033502e+01,1.828981e-18,NaN,
8.070620e+01,1.737772e-18,NaN,
8.107910e+01,1.800389e-18,NaN,
8.145372e+01,2.600525e-18,NaN,
8.183007e+01,2.125416e-18,NaN,
8.220816e+01,1.894119e-18,NaN,
8.258799e+01,1.863176e-18,NaN,
8.296959e+01,1.894057e-18,NaN,
8.335294e+01,2.467139e-18,NaN,
8.373807e+01,1.891655e-18,NaN,
8.412497e+01,2.031018e-18,NaN,
8.451366e+01,2.890222e-18,NaN,
8.490415e+01,1.889182e-18,NaN,
8.529644e+01,1.869263e-18,NaN,
8.569055e+01,2.016852e-18,NaN,
8.608648e+01,4.028331e-18,NaN,
8.648423e+01,7.379351e-18,NaN,
8.688383e+01,5.175721e-18,NaN,
8.728527e+01,5.651670e-18,NaN,
8.768856e+01,3.772859e-18,NaN,
8.809372e+01,8.883733e-18,NaN,
8.850075e+01,4.190840e-18,NaN,
8.890966e+01,4.591070e-18,NaN,
8.932046e+01,7.196519e-18,NaN,
8.973316e+01,1.508346e-17,NaN,
9.014776e+01,4.835412e-17,NaN,
9.056428e+01,2.353832e-17,NaN,
9.098273e+01,1.110554e-17,NaN,
9.140311e+01,5.134053e-18,NaN,
9.182543e+01,3.768586e-18,NaN,
9.224970e+01,3.056909e-18,NaN,
9.267593e+01,2.039211e-18,NaN,
9.310413e+01,1.610643e-18,NaN,
9.353432e+01,1.723266e-18,NaN,
9.396648e+01,1.345616e-18,NaN,
9.440065e+01,1.231412e-18,NaN,
9.483682e+01,4.270573e-18,NaN,
9.527500e+01,1.021053e-18,NaN,
9.571522e+01,8.445350e-19,NaN,
9.615746e+01,6.563166e-19,NaN,
9.660175e+01,6.708742e-19,NaN,
9.704809e+01,7.639691e-19,NaN,
9.749649e+01,6.841993e-19,NaN,
9.794697e+01,6.073393e-19,NaN,
9.839952e+01,6.479097e-19,NaN,
9.885417e+01,3.916128e-19,NaN,
9.931092e+01,4.147669e-19,NaN,
9.976978e+01,5.232744e-19,NaN,
1.002308e+02,3.459544e-18,8.429208e-18,
