DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-4.094094e-11,5.578690e-10,7.559742e-04,7.582420e-11,1.372936e-05,3.448569e-02,8.272057e-06,8.223889e-11,5.139195e-03,1.856592e-10,2.613652e-10,5.566506e-04,3.750448e-10,9.022731e-03,1.733636e+04,8.835296e-03,3.567433e-10,6.528510e-05,2.302108e-10,1.823944e-10,7.214437e-04,3.604905e-10,8.732866e-03,1.842522e+04,8.829398e-03,3.788921e-10,6.835874e-05,2.101925e-10,4.040286e-02,
-4.074074e-11,5.578690e-10,7.559743e-04,7.582421e-11,1.372942e-05,3.415382e-02,8.272027e-06,8.223889e-11,5.139195e-03,1.856592e-10,2.613651e-10,5.566503e-04,3.750446e-10,9.022696e-03,1.734131e+04,8.835331e-03,3.567436e-10,6.528514e-05,2.302109e-10,1.823944e-10,7.214441e-04,3.604908e-10,8.732900e-03,1.842497e+04,8.829364e-03,3.788918e-10,6.835871e-05,2.101925e-10,4.007099e-02,
-4.054054e-11,5.578690e-10,7.559743e-04,7.582421e-11,1.372947e-05,3.382348e-02,8.271996e-06,8.223888e-11,5.139195e-03,1.856592e-10,2.613650e-10,5.566500e-04,3.750443e-10,9.022661e-03,1.734625e+04,8.835366e-03,3.567439e-10,6.528517e-05,2.302109e-10,1.823945e-10,7.214444e-04,3.604910e-10,8.732935e-03,1.842471e+04,8.829329e-03,3.788915e-10,6.835868e-05,2.101924e-10,3.974065e-02,
-4.034034e-11,5.578690e-10,7.559743e-04,7.582422e-11,1.372952e-05,3.349468e-02,8.271966e-06,8.223888e-11,5.139195e-03,1.856592e-10,2.613649e-10,5.566497e-04,3.750440e-10,9.022626e-03,1.735117e+04,8.835401e-03,3.567441e-10,6.528521e-05,2.302110e-10,1.823945e-10,7.214448e-04,3.604913e-10,8.732969e-03,1.842443e+04,8.829294e-03,3.788912e-10,6.835865e-05,2.101923e-10,3.941185e-02,
-4.014014e-11,5.578691e-10,7.559743e-04,7.582423e-11,1.372957e-05,3.316741e-02,8.271935e-06,8.223887e-11,5.139195e-03,1.856592e-10,2.613648e-10,5.566494e-04,3.750437e-10,9.022590e-03,1.735608e+04,8.835436e-03,3.567444e-10,6.528524e-05,2.302111e-10,1.823946e-10,7.214452e-04,3.604916e-10,8.733003e-03,1.842414e+04,8.829259e-03,3.788909e-10,6.835862e-05,2.101923e-10,3.908458e-02,
-3.993994e-11,5.578691e-10,7.559744e-04,7.582423e-11,1.372962e-05,3.284168e-02,8.271904e-06,8.223886e-11,5.139196e-03,1.856592e-10,2.613648e-10,5.566491e-04,3.750434e-10,9.022555e-03,1.736098e+04,8.835471e-03,3.567447e-10,6.528528e-05,2.302111e-10,1.823946e-10,7.214455e-04,3.604919e-10,8.733038e-03,1.842383e+04,8.829224e-03,3.788906e-10,6.835859e-05,2.101922e-10,3.875885e-02,
-3.973974e-11,5.578691e-10,7.559744e-04,7.582424e-11,1.372967e-05,3.251748e-02,8.271874e-06,8.223886e-11,5.139196e-03,1.856592e-10,2.613647e-10,5.566488e-04,3.750431e-10,9.022520e-03,1.736587e+04,8.835506e-03,3.567450e-10,6.528532e-05,2.302112e-10,1.823947e-10,7.214459e-04,3.604922e-10,8.733072e-03,1.842351e+04,8.829189e-03,3.788903e-10,6.835855e-05,2.101921e-10,3.843465e-02,
-3.953954e-11,5.578691e-10,7.559744e-04,7.582424e-11,1.372972e-05,3.219483e-02,8.271843e-06,8.223885e-11,5.139196e-03,1.856592e-10,2.613646e-10,5.566485e-04,3.750428e-10,9.022485e-03,1.737074e+04,8.835540e-03,3.567452e-10,6.528535e-05,2.302113e-10,1.823948e-10,7.214462e-04,3.604924e-10,8.733107e-03,1.842318e+04,8.829154e-03,3.788900e-10,6.835852e-05,2.101921e-10,3.811200e-02,
-3.933934e-11,5.578691e-10,7.559744e-04,7.582425e-11,1.372977e-05,3.187372e-02,8.271813e-06,8.223885e-11,5.139196e-03,1.856592e-10,2.613645e-10,5.566482e-04,3.750425e-10,9.022450e-03,1.737560e+04,8.835575e-03,3.567455e-10,6.528539e-05,2.302113e-10,1.823948e-10,7.214466e-04,3.604927e-10,8.733141e-03,1.842282e+04,8.829120e-03,3.788897e-10,6.835849e-05,2.101920e-10,3.779089e-02,
-3.913914e-11,5.578691e-10,7.559745e-04,7.582425e-11,1.372982e-05,3.155415e-02,8.271782e-06,8.223884e-11,5.139196e-03,1.856592e-10,2.613645e-10,5.566480e-04,3.750422e-10,9.022414e-03,1.738045e+04,8.835610e-03,3.567458e-10,6.528543e-05,2.302114e-10,1.823949e-10,7.214470e-04,3.604930e-10,8.733175e-03,1.842246e+04,8.829085e-03,3.788894e-10,6.835846e-05,2.101919e-10,3.747132e-02,
-3.893894e-11,5.578692e-10,7.559745e-04,7.582426e-11,1.372987e-05,3.123612e-02,8.271752e-06,8.223883e-11,5.139196e-03,1.856592e-10,2.613644e-10,5.566477e-04,3.750420e-10,9.022379e-03,1.738529e+04,8.835645e-03,3.567461e-10,6.528546e-05,2.302115e-10,1.823949e-10,7.214473e-04,3.604933e-10,8.733210e-03,1.842207e+04,8.829050e-03,3.788892e-10,6.835843e-05,2.101919e-10,3.715330e-02,
-3.873874e-11,5.578692e-10,7.559745e-04,7.582426e-11,1.372993e-05,3.091964e-02,8.271721e-06,8.223883e-11,5.139196e-03,1.856592e-10,2.613643e-10,5.566474e-04,3.750417e-10,9.022344e-03,1.739011e+04,8.835680e-03,3.567463e-10,6.528550e-05,2.302115e-10,1.823950e-10,7.214477e-04,3.604935e-10,8.733244e-03,1.842168e+04,8.829015e-03,3.788889e-10,6.835840e-05,2.101918e-10,3.683682e-02,
