Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
1.451451e-02,2.195989e-07,6.095908e-01,2.195617e-07,4.074285e-01,6.213515e+01,4.073606e-01,2.195616e-07,4.938377e-01,2.196051e-07,7.329926e-11,1.164037e-04,9.974113e-12,1.800270e-06,6.010188e-27,1.088351e-06,1.081753e-11,1.058544e-02,2.439314e-11,
1.501502e-02,2.195982e-07,6.094323e-01,2.195616e-07,4.074333e-01,6.213515e+01,4.073606e-01,2.195615e-07,4.868626e-01,2.196049e-07,7.844192e-11,1.245382e-04,1.067387e-11,1.926590e-06,6.010188e-27,1.164704e-06,1.157645e-11,1.117019e-02,2.610456e-11,
1.551552e-02,2.195975e-07,6.092681e-01,2.195615e-07,4.074383e-01,6.213515e+01,4.073606e-01,2.195614e-07,4.798036e-01,2.196047e-07,8.375896e-11,1.329441e-04,1.139734e-11,2.057196e-06,6.010188e-27,1.243645e-06,1.236111e-11,1.175668e-02,2.787401e-11,
1.601602e-02,2.195969e-07,6.090981e-01,2.195614e-07,4.074434e-01,6.213515e+01,4.073606e-01,2.195613e-07,4.726715e-01,2.196044e-07,8.925039e-11,1.416207e-04,1.214454e-11,2.192086e-06,6.010188e-27,1.325175e-06,1.317149e-11,1.234372e-02,2.970150e-11,
1.651652e-02,2.195961e-07,6.089223e-01,2.195613e-07,4.074487e-01,6.213515e+01,4.073606e-01,2.195612e-07,4.654767e-01,2.196042e-07,9.491620e-11,1.505677e-04,1.291547e-11,2.331263e-06,6.010188e-27,1.409293e-06,1.400761e-11,1.293016e-02,3.158702e-11,
1.701702e-02,2.195954e-07,6.087406e-01,2.195612e-07,4.074541e-01,6.213515e+01,4.073606e-01,2.195611e-07,4.582293e-01,2.196039e-07,1.007564e-10,1.597845e-04,1.371012e-11,2.474726e-06,6.010188e-27,1.495999e-06,1.486946e-11,1.351492e-02,3.353058e-11,
1.751752e-02,2.195946e-07,6.085530e-01,2.195611e-07,4.074596e-01,6.213515e+01,4.073606e-01,2.195609e-07,4.509392e-01,2.196037e-07,1.067710e-10,1.692707e-04,1.452850e-11,2.622475e-06,6.010188e-27,1.585293e-06,1.575703e-11,1.409691e-02,3.553218e-11,
1.801802e-02,2.195938e-07,6.083594e-01,2.195610e-07,4.074654e-01,6.213515e+01,4.073606e-01,2.195608e-07,4.436161e-01,2.196034e-07,1.129601e-10,1.790257e-04,1.537060e-11,2.774511e-06,6.010188e-27,1.677176e-06,1.667034e-11,1.467514e-02,3.759183e-11,
1.851852e-02,2.195930e-07,6.081599e-01,2.195609e-07,4.074713e-01,6.213515e+01,4.073606e-01,2.195607e-07,4.362692e-01,2.196032e-07,1.193235e-10,1.890489e-04,1.623642e-11,2.930835e-06,6.010188e-27,1.771647e-06,1.760939e-11,1.524864e-02,3.970951e-11,
1.901902e-02,2.195922e-07,6.079544e-01,2.195607e-07,4.074773e-01,6.213515e+01,4.073606e-01,2.195606e-07,4.289075e-01,2.196029e-07,1.258614e-10,1.993397e-04,1.712598e-11,3.091445e-06,6.010188e-27,1.868706e-06,1.857416e-11,1.581647e-02,4.188524e-11,
1.951952e-02,2.195913e-07,6.077427e-01,2.195606e-07,4.074835e-01,6.213515e+01,4.073605e-01,2.195605e-07,4.215396e-01,2.196026e-07,1.325737e-10,2.098977e-04,1.803925e-11,3.256344e-06,6.010188e-27,1.968353e-06,1.956467e-11,1.637778e-02,4.411902e-11,
2.002002e-02,2.195905e-07,6.075250e-01,2.195605e-07,4.074899e-01,6.213515e+01,4.073605e-01,2.195603e-07,4.141738e-01,2.196023e-07,1.394604e-10,2.207221e-04,1.897626e-11,3.425531e-06,6.010188e-27,2.070589e-06,2.058091e-11,1.693174e-02,4.641085e-11,
2.052052e-02,2.195896e-07,6.073011e-01,2.195604e-07,4.074964e-01,6.213515e+01,4.073605e-01,2.195602e-07,4.068181e-01,2.196020e-07,1.465215e-10,2.318124e-04,1.993700e-11,3.599007e-06,6.010188e-27,2.175412e-06,2.162288e-11,1.747758e-02,4.876074e-11,
2.102102e-02,2.195887e-07,6.070710e-01,2.195603e-07,4.075030e-01,6.213515e+01,4.073604e-01,2.195601e-07,3.994800e-01,2.196017e-07,1.537572e-10,2.431678e-04,2.092146e-11,3.776772e-06,6.010188e-27,2.282824e-06,2.269059e-11,1.801458e-02,5.116868e-11,
2.152152e-02,2.195877e-07,6.068346e-01,2.195601e-07,4.075099e-01,6.213515e+01,4.073604e-01,2.195599e-07,3.921667e-01,2.196014e-07,1.611672e-10,2.547877e-04,2.192965e-11,3.958827e-06,6.010188e-27,2.392825e-06,2.378404e-11,1.854206e-02,5.363467e-11,
2.202202e-02,2.195868e-07,6.065919e-01,2.195600e-07,4.075168e-01,6.213515e+01,4.073603e-01,2.195598e-07,3.848852e-01,2.196011e-07,1.687518e-10,2.666715e-04,2.296157e-11,4.145171e-06,6.010188e-27,2.505413e-06,2.490322e-11,1.905943e-02,5.615873e-11,
2.252252e-02,2.195858e-07,6.063428e-01,2.195599e-07,4.075240e-01,6.213515e+01,4.073603e-01,2.195597e-07,3.776418e-01,2.196007e-07,1.765108e-10,2.788183e-04,2.401721e-11,4.335806e-06,6.010188e-27,2.620590e-06,2.604813e-11,1.956609e-02,5.874085e-11,
2.302302e-02,2.195848e-07,6.060874e-01,2.195597e-07,4.075313e-01,6.213515e+01,4.073602e-01,2.195595e-07,3.704428e-01,2.196004e-07,1.844443e-10,2.912275e-04,2.509659e-11,4.530732e-06,6.010188e-27,2.738355e-06,2.721879e-11,2.006154e-02,6.138104e-11,
2.352352e-02,2.195837e-07,6.058255e-01,2.195596e-07,4.075387e-01,6.213515e+01,4.073601e-01,2.195594e-07,3.632938e-01,2.196001e-07,1.925522e-10,3.038984e-04,2.619970e-11,4.729949e-06,6.010188e-27,2.858708e-06,2.841518e-11,2.054530e-02,6.407929e-11,
2.402402e-02,2.195827e-07,6.055570e-01,2.195594e-07,4.075463e-01,6.213515e+01,4.073601e-01,2.195592e-07,3.562002e-01,2.195997e-07,2.008347e-10,3.168300e-04,2.732654e-11,4.933458e-06,6.010188e-27,2.981650e-06,2.963730e-11,2.101695e-02,6.683561e-11,
2.452452e-02,2.195816e-07,6.052821e-01,2.195593e-07,4.075541e-01,6.213515e+01,4.073600e-01,2.195591e-07,3.491672e-01,2.195994e-07,2.092917e-10,3.300217e-04,2.847711e-11,5.141260e-06,6.010188e-27,3.107180e-06,3.088517e-11,2.147611e-02,6.965001e-11,
2.502503e-02,2.195805e-07,6.050004e-01,2.195591e-07,4.075620e-01,6.213515e+01,4.073599e-01,2.195589e-07,3.421994e-01,2.195990e-07,2.179232e-10,3.434725e-04,2.965141e-11,5.353354e-06,6.010188e-27,3.235298e-06,3.215877e-11,2.192245e-02,7.252249e-11,
2.552553e-02,2.195794e-07,6.047122e-01,2.195590e-07,4.075700e-01,6.213515e+01,4.073598e-01,2.195587e-07,3.353011e-01,2.195986e-07,2.267292e-10,3.571817e-04,3.084945e-11,5.569741e-06,6.010188e-27,3.366004e-06,3.345812e-11,2.235569e-02,7.545304e-11,
2.602603e-02,2.195783e-07,6.044172e-01,2.195588e-07,4.075783e-01,6.213515e+01,4.073597e-01,2.195586e-07,3.284764e-01,2.195982e-07,2.357097e-10,3.711484e-04,3.207121e-11,5.790423e-06,6.010188e-27,3.499298e-06,3.478320e-11,2.277556e-02,7.844168e-11,
2.652653e-02,2.195771e-07,6.041154e-01,2.195587e-07,4.075866e-01,6.213515e+01,4.073596e-01,2.195584e-07,3.217290e-01,2.195978e-07,2.448648e-10,3.853717e-04,3.331671e-11,6.015398e-06,6.010188e-27,3.635181e-06,3.613402e-11,2.318188e-02,8.148840e-11,
2.702703e-02,2.195759e-07,6.038067e-01,2.195585e-07,4.075952e-01,6.213515e+01,4.073595e-01,2.195582e-07,3.150622e-01,2.195975e-07,2.541944e-10,3.998506e-04,3.458595e-11,6.244668e-06,6.010188e-27,3.773652e-06,3.751059e-11,2.357447e-02,8.459321e-11,
2.752753e-02,2.195747e-07,6.034912e-01,2.195583e-07,4.076039e-01,6.213515e+01,4.073593e-01,2.195580e-07,3.084792e-01,2.195971e-07,2.636986e-10,4.145842e-04,3.587892e-11,6.478234e-06,6.010188e-27,3.914711e-06,3.891289e-11,2.395319e-02,8.775611e-11,
2.802803e-02,2.195735e-07,6.031687e-01,2.195582e-07,4.076127e-01,6.213515e+01,4.073592e-01,2.195579e-07,3.019826e-01,2.195966e-07,2.733773e-10,4.295716e-04,3.719562e-11,6.716096e-06,6.010188e-27,4.058358e-06,4.034094e-11,2.431797e-02,9.097711e-11,
2.852853e-02,2.195722e-07,6.028392e-01,2.195580e-07,4.076217e-01,6.213515e+01,4.073591e-01,2.195577e-07,2.955751e-01,2.195962e-07,2.832306e-10,4.448117e-04,3.853606e-11,6.958254e-06,6.010188e-27,4.204593e-06,4.179473e-11,2.466872e-02,9.425621e-11,
2.902903e-02,2.195710e-07,6.025026e-01,2.195578e-07,4.076309e-01,6.213515e+01,4.073590e-01,2.195575e-07,2.892588e-01,2.195958e-07,2.932585e-10,4.603036e-04,3.990024e-11,7.204709e-06,6.010188e-27,4.353417e-06,4.327427e-11,2.500543e-02,9.759340e-11,
2.952953e-02,2.195697e-07,6.021589e-01,2.195577e-07,4.076402e-01,6.213515e+01,4.073588e-01,2.195573e-07,2.830356e-01,2.195954e-07,3.034610e-10,4.760461e-04,4.128815e-11,7.455462e-06,6.010188e-27,4.504829e-06,4.477955e-11,2.532810e-02,1.009887e-10,
3.003003e-02,2.195684e-07,6.018080e-01,2.195575e-07,4.076497e-01,6.213515e+01,4.073587e-01,2.195571e-07,2.769074e-01,2.195949e-07,3.138381e-10,4.920383e-04,4.269980e-11,7.710514e-06,6.010188e-27,4.658829e-06,4.631057e-11,2.563675e-02,1.044421e-10,
3.053053e-02,2.195670e-07,6.014498e-01,2.195573e-07,4.076593e-01,6.213515e+01,4.073585e-01,2.195569e-07,2.708754e-01,2.195945e-07,3.243899e-10,5.082790e-04,4.413519e-11,7.969864e-06,6.010188e-27,4.815417e-06,4.786734e-11,2.593144e-02,1.079536e-10,
3.103103e-02,2.195657e-07,6.010843e-01,2.195571e-07,4.076691e-01,6.213515e+01,4.073584e-01,2.195567e-07,2.649411e-01,2.195940e-07,3.351162e-10,5.247670e-04,4.559432e-11,8.233513e-06,6.010188e-27,4.974594e-06,4.944986e-11,2.621225e-02,1.115233e-10,
3.153153e-02,2.195643e-07,6.007114e-01,2.195569e-07,4.076790e-01,6.213515e+01,4.073582e-01,2.195565e-07,2.591054e-01,2.195936e-07,3.460172e-10,5.415014e-04,4.707719e-11,8.501463e-06,6.010188e-27,5.136358e-06,5.105812e-11,2.647928e-02,1.151510e-10,
3.203203e-02,2.195629e-07,6.003310e-01,2.195567e-07,4.076891e-01,6.213515e+01,4.073580e-01,2.195563e-07,2.533691e-01,2.195931e-07,3.570928e-10,5.584807e-04,4.858379e-11,8.773713e-06,6.010188e-27,5.300711e-06,5.269213e-11,2.673265e-02,1.188369e-10,
3.253253e-02,2.195615e-07,5.999432e-01,2.195565e-07,4.076994e-01,6.213515e+01,4.073579e-01,2.195561e-07,2.477327e-01,2.195926e-07,3.683431e-10,5.757040e-04,5.011414e-11,9.050264e-06,6.010188e-27,5.467652e-06,5.435189e-11,2.697252e-02,1.225809e-10,
3.303303e-02,2.195600e-07,5.995478e-01,2.195563e-07,4.077098e-01,6.213515e+01,4.073577e-01,2.195559e-07,2.421969e-01,2.195921e-07,3.797681e-10,5.931698e-04,5.166823e-11,9.331118e-06,6.010188e-27,5.637181e-06,5.603740e-11,2.719903e-02,1.263831e-10,
3.353353e-02,2.195586e-07,5.991447e-01,2.195561e-07,4.077204e-01,6.213515e+01,4.073575e-01,2.195557e-07,2.367618e-01,2.195917e-07,3.913678e-10,6.108771e-04,5.324606e-11,9.616274e-06,6.010188e-27,5.809298e-06,5.774866e-11,2.741238e-02,1.302433e-10,
3.403403e-02,2.195571e-07,5.987339e-01,2.195559e-07,4.077311e-01,6.213515e+01,4.073573e-01,2.195555e-07,2.314274e-01,2.195912e-07,4.031421e-10,6.288243e-04,5.484764e-11,9.905734e-06,6.010188e-27,5.984004e-06,5.948567e-11,2.761275e-02,1.341617e-10,
3.453453e-02,2.195556e-07,5.983153e-01,2.195557e-07,4.077420e-01,6.213515e+01,4.073571e-01,2.195552e-07,2.261939e-01,2.195907e-07,4.150912e-10,6.470104e-04,5.647296e-11,1.019950e-05,6.010188e-27,6.161297e-06,6.124843e-11,2.780036e-02,1.381383e-10,
3.503504e-02,2.195540e-07,5.978890e-01,2.195555e-07,4.077530e-01,6.213515e+01,4.073569e-01,2.195550e-07,2.210608e-01,2.195901e-07,4.272150e-10,6.654338e-04,5.812202e-11,1.049757e-05,6.010188e-27,6.341179e-06,6.303695e-11,2.797541e-02,1.421730e-10,
3.553554e-02,2.195525e-07,5.974547e-01,2.195553e-07,4.077642e-01,6.213515e+01,4.073567e-01,2.195548e-07,2.160280e-01,2.195896e-07,4.395135e-10,6.840932e-04,5.979483e-11,1.079994e-05,6.010188e-27,6.523649e-06,6.485122e-11,2.813815e-02,1.462658e-10,
3.603604e-02,2.195509e-07,5.970124e-01,2.195551e-07,4.077755e-01,6.213515e+01,4.073565e-01,2.195546e-07,2.110950e-01,2.195891e-07,4.519867e-10,7.029872e-04,6.149138e-11,1.110662e-05,6.010188e-27,6.708707e-06,6.669124e-11,2.828880e-02,1.504168e-10,
3.653654e-02,2.195493e-07,5.965621e-01,2.195549e-07,4.077870e-01,6.213515e+01,4.073562e-01,2.195543e-07,2.062611e-01,2.195886e-07,4.646347e-10,7.221144e-04,6.321169e-11,1.141761e-05,6.010188e-27,6.896353e-06,6.855702e-11,2.842763e-02,1.546260e-10,
3.703704e-02,2.195477e-07,5.961037e-01,2.195546e-07,4.077987e-01,6.213515e+01,4.073560e-01,2.195541e-07,2.015258e-01,2.195880e-07,4.774575e-10,7.414733e-04,6.495573e-11,1.173290e-05,6.010188e-27,7.086587e-06,7.044855e-11,2.855488e-02,1.588933e-10,
3.753754e-02,2.195460e-07,5.956371e-01,2.195544e-07,4.078105e-01,6.213515e+01,4.073558e-01,2.195539e-07,1.968882e-01,2.195875e-07,4.904551e-10,7.610623e-04,6.672353e-11,1.205250e-05,6.010188e-27,7.279409e-06,7.236584e-11,2.867082e-02,1.632188e-10,
3.803804e-02,2.195444e-07,5.951623e-01,2.195542e-07,4.078225e-01,6.213515e+01,4.073556e-01,2.195536e-07,1.923474e-01,2.195869e-07,5.036274e-10,7.808800e-04,6.851508e-11,1.237641e-05,6.010188e-27,7.474820e-06,7.430888e-11,2.877571e-02,1.676025e-10,
3.853854e-02,2.195427e-07,5.946791e-01,2.195540e-07,4.078346e-01,6.213515e+01,4.073553e-01,2.195534e-07,1.879026e-01,2.195863e-07,5.169746e-10,8.009248e-04,7.033037e-11,1.270463e-05,6.010188e-27,7.672818e-06,7.627769e-11,2.886983e-02,1.720443e-10,
3.903904e-02,2.195410e-07,5.941876e-01,2.195537e-07,4.078469e-01,6.213515e+01,4.073551e-01,2.195531e-07,1.835527e-01,2.195858e-07,5.304966e-10,8.211950e-04,7.216942e-11,1.303717e-05,6.010188e-27,7.873405e-06,7.827226e-11,2.895345e-02,1.765444e-10,
3.953954e-02,2.195393e-07,5.936877e-01,2.195535e-07,4.078593e-01,6.213515e+01,4.073548e-01,2.195529e-07,1.792966e-01,2.195852e-07,5.441934e-10,8.416891e-04,7.403222e-11,1.337401e-05,6.010188e-27,8.076580e-06,8.029258e-11,2.902684e-02,1.811026e-10,
4.004004e-02,2.195375e-07,5.931792e-01,2.195532e-07,4.078719e-01,6.213515e+01,4.073545e-01,2.195526e-07,1.751332e-01,2.195846e-07,5.580651e-10,8.624054e-04,7.591877e-11,1.371516e-05,6.010188e-27,8.282343e-06,8.233867e-11,2.909030e-02,1.857190e-10,
4.054054e-02,2.195358e-07,5.926622e-01,2.195530e-07,4.078846e-01,6.213515e+01,4.073543e-01,2.195523e-07,1.710613e-01,2.195840e-07,5.721116e-10,8.833422e-04,7.782907e-11,1.406063e-05,6.010188e-27,8.490693e-06,8.441052e-11,2.914409e-02,1.903936e-10,
4.104104e-02,2.195340e-07,5.921365e-01,2.195528e-07,4.078975e-01,6.213515e+01,4.073540e-01,2.195521e-07,1.670795e-01,2.195834e-07,5.863330e-10,9.044977e-04,7.976313e-11,1.441042e-05,6.010188e-27,8.701632e-06,8.650813e-11,2.918850e-02,1.951264e-10,
4.154154e-02,2.195322e-07,5.916021e-01,2.195525e-07,4.079106e-01,6.213515e+01,4.073537e-01,2.195518e-07,1.631868e-01,2.195828e-07,6.007293e-10,9.258702e-04,8.172094e-11,1.476451e-05,6.010188e-27,8.915159e-06,8.863150e-11,2.922380e-02,1.999174e-10,
4.204204e-02,2.195303e-07,5.910589e-01,2.195523e-07,4.079238e-01,6.213515e+01,4.073534e-01,2.195515e-07,1.593816e-01,2.195822e-07,6.153006e-10,9.474579e-04,8.370251e-11,1.512292e-05,6.010188e-27,9.131275e-06,9.078064e-11,2.925028e-02,2.047666e-10,
4.254254e-02,2.195285e-07,5.905068e-01,2.195520e-07,4.079372e-01,6.213515e+01,4.073532e-01,2.195513e-07,1.556626e-01,2.195816e-07,6.300467e-10,9.692590e-04,8.570784e-11,1.548565e-05,6.010188e-27,9.349978e-06,9.295555e-11,2.926822e-02,2.096740e-10,
4.304304e-02,2.195266e-07,5.899459e-01,2.195517e-07,4.079507e-01,6.213515e+01,4.073529e-01,2.195510e-07,1.520285e-01,2.195809e-07,6.449678e-10,9.912716e-04,8.773692e-11,1.585270e-05,6.010188e-27,9.571269e-06,9.515622e-11,2.927788e-02,2.146396e-10,
4.354354e-02,2.195247e-07,5.893759e-01,2.195515e-07,4.079644e-01,6.213515e+01,4.073526e-01,2.195507e-07,1.484778e-01,2.195803e-07,6.600638e-10,1.013494e-03,8.978976e-11,1.622406e-05,6.010188e-27,9.795148e-06,9.738266e-11,2.927955e-02,2.196635e-10,
