# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-four
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
70.099998    0.155515     0.1423703    0.33505437   0.99996448  
71.099998    0.014611783  0.047778308  0.15047359   0.99997175  
72.099998    0.0031294937 0.021125225  0.10271505   0.99996108  
73.099998    0.09024822   0.041486606  0.10341641   0.99997103  
74.099998    0.015556394  0.22661515   0.29848471   0.99997222  
75.099998    0.077271476  0.15642385   0.005243246  0.99996966  
76.099998    0.17512022   0.055374023  0.085923634  0.99997175  
77.099998    0.090173252  0.06309472   0.0032208215 0.99998134  
78.099998    0.23016471   0.05378329   0.034508858  0.99997735  
79.099998    0.059889432  0.083770402  0.040055625  0.99997067  
80.099998    0.04955931   0.01209638   0.064713992  0.99999177  
81.099998    0.052318688  0.047110718  0.25977343   0.99998474  
82.099998    0.09657681   0.160669     0.11342708   0.99998689  
83.099998    0.065614358  0.14924146   0.099255793  0.99999124  
84.099998    0.015909331  0.12391524   0.38255692   0.99998122  
85.099998    0.026877301  0.073110938  0.4290109    0.99997967  
86.099998    0.067453183  0.0084753325 0.32133752   0.99997765  
87.099998    0.042929105  0.014470484  0.21192218   0.99998963  
88.099998    0.12127624   0.0051811584 0.077227354  0.99998766  
89.099998    0.040280659  0.11953079   0.20247352   0.99998921  
90.099998    0.21968293   0.11078095   0.23853379   0.99998271  
91.099998    0.24386422   0.062615059  0.098189086  0.99998534  
92.099998    0.033468701  0.23569939   0.098576888  0.99998909  
93.099998    0.20936988   0.0034429112 0.030400058  0.99997658  
94.099998    0.0014002074 0.09301091   0.10075381   0.99998534  
95.099998    0.046151195  0.14351696   0.046355363  0.99997991  
96.099998    0.34147611   0.1315401    0.045825016  0.99998015  
97.099998    0.13128096   0.023543665  0.064158417  0.99996859  
98.099998    0.082582884  0.044863567  0.12643552   0.99999201  
99.099998    0.094946496  0.0018312152 0.18277873   0.99998945  
100.1        0.23084916   0.13557377   0.045541592  0.99997067  
101.1        0.57336104   0.3256515    0.10357007   0.99999005  
102.1        0.07593555   0.23118356   0.019573195  0.99998802  
103.1        0.077254534  0.158968     0.11017209   0.99999034  
104.1        0.016919138  0.011319997  0.068836898  0.99999046  
105.1        0.0068700085 0.024280334  0.19095895   0.99998379  
106.1        0.015941756  0.032972697  0.20073809   0.99997455  
107.1        0.055538487  0.0042031081 0.16684982   0.99998832  
108.1        0.17520829   0.15389337   0.10772214   0.99997795  
109.1        0.26910904   0.13689698   0.16224398   0.99997747  
110.1        0.17053348   0.074924879  0.065049216  0.99996805  
111.1        0.10846937   3.7288668e-05 0.014951987  0.99997127  
112.1        0.022633418  0.036003057  0.21184336   0.99998587  
113.1        0.081641249  0.36727768   0.2482572    0.99998933  
114.1        0.095046893  0.083460338  0.26081496   0.99998963  
115.1        0.17845514   0.029076984  0.28452775   0.99998498  
116.1        0.039848588  0.39153138   0.0943131    0.99997592  
117.1        0.029583305  0.072587691  0.16551159   0.99998838  
118.1        0.039550982  0.0054067527 0.082143009  0.99998254  
119.1        0.063441515  0.13245523   0.052898962  0.99998623  
120.1        0.0092873489 0.064561181  0.20889546   0.99999225  
121.1        0.035641532  0.037810083  0.090008199  0.99998677  
122.1        0.012458675  0.0081642726 0.015020011  0.99998742  
123.1        0.059915278  0.17314097   0.010319138  0.99996197  
124.1        0.10525279   0.10925721   0.070082292  0.99996829  
125.1        0.044285808  0.08862444   0.032342784  0.99997139  
126.1        0.058899719  0.058778629  0.092638507  0.9999817   
127.1        0.098565124  0.04536717   0.00044870947 0.99999058  
128.10001    0.058053456  0.1413835    0.0026667574 0.99999112  
129.10001    0.0065028826 0.45223275   0.040257163  0.99998862  
130.10001    0.019124866  0.011342104  0.1026507    0.9999823   
131.10001    0.12134195   0.050555747  0.019544277  0.99998146  
132.10001    0.1047134    0.024318658  0.24266051   0.99998164  
133.10001    0.19690801   0.047533032  0.002201071  0.99998677  
134.10001    0.16792132   0.16658962   0.11992203   0.99999017  
135.10001    0.09126056   0.077432953  1.3275184e-05 0.99998832  
136.10001    0.020476004  0.17507899   0.099970527  0.99999219  
137.10001    0.04754021   0.026591891  0.096279413  0.99998891  
138.10001    0.054109048  0.020379025  0.013586057  0.99998784  
139.10001    0.022529993  0.022013538  0.070119381  0.99999249  
140.10001    0.072696231  0.10892069   0.13039984   0.99998295  
141.10001    0.081557244  0.013563785  0.011670851  0.99998641  
142.10001    0.019470345  0.12547745   0.072293252  0.99997997  
143.10001    0.023798637  0.065060541  0.04234001   0.99998164  
144.10001    0.0036153151 0.3305766    0.015537087  0.99998605  
145.10001    0.078379244  0.1972111    0.046735652  0.99998862  
146.10001    0.269003     0.15011136   0.1129485    0.99999392  
147.10001    0.23254956   0.15433617   0.059909079  0.99998963  
148.10001    0.043181825  0.15091591   0.18572198   0.99998075  
149.10001    0.021837881  0.14136367   0.079499781  0.99998701  
150.10001    0.053259201  0.049248822  0.0033949479 0.99998313  
151.10001    0.11495288   0.13662928   0.013995783  0.99998146  
152.10001    0.29573238   0.0092254812 0.018860608  0.9999845   
153.10001    0.038279291  0.06243664   0.017380418  0.99998939  
154.10001    0.041086882  0.0018462529 0.078025311  0.99999237  
155.10001    0.0055899704 0.029121483  0.12945037   0.9999941   
156.10001    0.039511781  0.08707016   0.32104081   0.99999034  
157.10001    0.023889706  0.11437465   0.24252108   0.99997914  
158.10001    0.2006827    0.22177897   0.012410398  0.99997556  
159.10001    0.10126951   0.23394211   0.23946895   0.99998736  
160.10001    0.13342696   0.015495733  0.26686403   0.99998748  
161.10001    0.022621218  0.059261326  0.091757014  0.99998641  
162.10001    0.18671945   0.057100732  0.15451699   0.99998122  
163.10001    0.004895736  0.19552515   0.0030223175 0.99997926  
164.10001    0.012825348  0.19676821   0.081128553  0.99997932  
165.10001    0.039245006  0.1207133    0.19087656   0.99998754  
166.10001    0.059930086  0.14642695   0.35762334   0.99999177  
167.10001    0.090515338  0.25247383   0.29553977   0.9999879   
168.10001    0.18049924   0.45162484   0.18876666   0.99998528  
169.10001    0.0039644847 0.014161379  0.035818629  0.99999136  
170.10001    0.30922568   0.096439771  0.0080895787 0.99998611  
171.10001    0.14363678   0.028121307  0.22260304   0.99997997  
