"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
1.4815748 1.1885016E-020 1.5025398E-018 1.1884645E-020
1.4861319 1.0735231E-020 1.4783706E-018 1.0734948E-020
1.490703 9.7270515E-021 1.4547813E-018 9.726834E-021
1.4952882 8.7289812E-021 1.4317556E-018 8.728819E-021
1.4998875 7.9134345E-021 1.4092838E-018 7.9133097E-021
1.5045009 7.1935821E-021 1.3873558E-018 7.1934854E-021
1.5091286 6.4812372E-021 1.3659474E-018 6.4811642E-021
1.5137704 5.8937125E-021 1.3450435E-018 5.8936559E-021
1.5184266 5.3723964E-021 1.3246364E-018 5.3723522E-021
1.523097 4.8567552E-021 1.3047188E-018 4.8567215E-021
1.5277819 4.4274523E-021 1.2852693E-018 4.427426E-021
1.5324811 4.0434919E-021 1.2662726E-018 4.0434712E-021
1.5371948 3.6642483E-021 1.2477234E-018 3.6642325E-021
1.541923 3.3468728E-021 1.2296166E-018 3.3468604E-021
1.5466657 3.0631854E-021 1.2119333E-018 3.0631756E-021
1.5514231 2.7831764E-021 1.194658E-018 2.7831688E-021
1.556195 2.547503E-021 1.1777873E-018 2.5474971E-021
1.5609817 2.3362684E-021 1.1613179E-018 2.3362636E-021
1.565783 2.1279491E-021 1.1452338E-018 2.1279455E-021
1.5705991 1.9517516E-021 1.1295184E-018 1.9517487E-021
1.5754301 1.7934858E-021 1.1141702E-018 1.7934835E-021
1.5802759 1.6375709E-021 1.0991875E-018 1.6375691E-021
1.5851366 1.5051442E-021 1.0845572E-018 1.5051428E-021
1.5900122 1.3860051E-021 1.0702614E-018 1.3860039E-021
1.5949029 1.268797E-021 1.0563E-018 1.2687961E-021
1.5998086 1.1696518E-021 1.0426731E-018 1.169651E-021
1.6047294 1.0819543E-021 1.0293702E-018 1.0819537E-021
1.6096653 9.9549897E-022 1.0163719E-018 9.9549849E-022
1.6146164 9.2158906E-022 1.0036796E-018 9.2158867E-022
1.6195827 8.5489402E-022 9.9129469E-019 8.548937E-022
1.6245643 7.8927691E-022 9.7920939E-019 7.8927666E-022
1.6295613 7.330498E-022 9.6740285E-019 7.3304959E-022
1.6345736 6.8230797E-022 9.5587728E-019 6.823078E-022
1.6396013 6.3251734E-022 9.4463588E-019 6.325172E-022
1.6446445 5.897758E-022 9.336733E-019 5.8977568E-022
1.6497031 5.5122196E-022 9.22967E-019 5.5122186E-022
1.6547774 5.135157E-022 9.1252E-019 5.1351562E-022
1.6598673 4.8110394E-022 9.0233712E-019 4.8110387E-022
1.6649728 4.518937E-022 8.9241564E-019 4.5189365E-022
1.670094 4.2343846E-022 8.8273113E-019 4.2343841E-022
