Low frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),Mid frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),High frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),
1.100000e+01,4.034557e-08,8.330087e-08,1.907974e-07,1.760000e+02,9.571036e-09,6.025030e-08,2.116279e-07,5.632000e+03,8.275518e-09,6.542618e-08,1.162999e-07,
1.125000e+01,3.627724e-08,1.033390e-07,1.711273e-07,1.800000e+02,9.685800e-09,5.765115e-08,2.041336e-07,5.760000e+03,8.281553e-09,6.564485e-08,1.168875e-07,
1.150000e+01,3.218745e-08,1.043329e-07,2.145986e-07,1.840000e+02,9.048793e-09,5.882479e-08,1.911513e-07,5.888000e+03,8.151056e-09,6.565530e-08,1.157009e-07,
1.175000e+01,3.166725e-08,9.551866e-08,2.458930e-07,1.880000e+02,8.892019e-09,5.986185e-08,2.017375e-07,6.016000e+03,8.022175e-09,6.491457e-08,1.145470e-07,
1.200000e+01,3.534092e-08,9.479744e-08,2.386133e-07,1.920000e+02,9.101163e-09,7.957574e-08,2.131678e-07,6.144000e+03,8.053132e-09,6.558095e-08,1.195999e-07,
1.225000e+01,3.878145e-08,9.464092e-08,2.241303e-07,1.960000e+02,9.340975e-09,1.860605e-07,2.724935e-07,6.272000e+03,8.219447e-09,6.649627e-08,1.252245e-07,
1.250000e+01,3.563975e-08,8.922502e-08,1.928883e-07,2.000000e+02,9.481337e-09,2.615949e-07,3.282137e-07,6.400000e+03,8.278226e-09,6.636630e-08,1.229531e-07,
1.275000e+01,2.699273e-08,7.538236e-08,1.782774e-07,2.040000e+02,9.300409e-09,1.817809e-07,2.663193e-07,6.528000e+03,8.287484e-09,6.551682e-08,1.194750e-07,
1.300000e+01,2.522827e-08,7.816323e-08,1.828918e-07,2.080000e+02,8.932628e-09,7.926513e-08,2.087962e-07,6.656000e+03,8.217823e-09,6.402475e-08,1.190608e-07,
1.325000e+01,3.176130e-08,7.655744e-08,1.857792e-07,2.120000e+02,9.061778e-09,5.835422e-08,1.880201e-07,6.784000e+03,8.129909e-09,6.409888e-08,1.200427e-07,
1.350000e+01,3.396127e-08,7.813671e-08,1.697746e-07,2.160000e+02,9.252051e-09,5.462788e-08,1.736471e-07,6.912000e+03,8.090124e-09,6.513890e-08,1.196835e-07,
1.375000e+01,2.990024e-08,9.203995e-08,1.463370e-07,2.200000e+02,9.216747e-09,5.798806e-08,1.778221e-07,7.040000e+03,8.060528e-09,6.579327e-08,1.172542e-07,
1.400000e+01,2.826429e-08,1.013901e-07,1.479227e-07,2.240000e+02,9.409614e-09,6.466474e-08,1.861065e-07,7.168000e+03,8.102053e-09,6.504663e-08,1.152560e-07,
1.425000e+01,2.854908e-08,1.035532e-07,1.428423e-07,2.280000e+02,9.549790e-09,6.222622e-08,1.831602e-07,7.296000e+03,8.238891e-09,6.373396e-08,1.140478e-07,
1.450000e+01,2.899882e-08,1.003840e-07,1.465866e-07,2.320000e+02,9.378217e-09,5.554209e-08,1.892240e-07,7.424000e+03,8.308275e-09,6.444593e-08,1.130898e-07,
1.475000e+01,2.939653e-08,9.762951e-08,1.598742e-07,2.360000e+02,9.347562e-09,5.278405e-08,2.133176e-07,7.552000e+03,8.277462e-09,6.596564e-08,1.152836e-07,
1.500000e+01,3.093991e-08,9.240752e-08,1.715639e-07,2.400000e+02,9.176136e-09,5.605056e-08,2.072566e-07,7.680000e+03,8.371750e-09,6.571588e-08,1.156473e-07,
1.525000e+01,2.748492e-08,9.102212e-08,1.733605e-07,2.440000e+02,9.640559e-09,1.023190e-07,2.115819e-07,7.808000e+03,8.382070e-09,6.486405e-08,1.174193e-07,
1.550000e+01,2.585830e-08,9.092254e-08,1.568626e-07,2.480000e+02,1.220955e-08,1.990170e-07,2.639213e-07,7.936000e+03,8.191914e-09,6.459754e-08,1.766933e-07,
1.575000e+01,2.806915e-08,8.899070e-08,1.416560e-07,2.520000e+02,1.204902e-08,1.972304e-07,2.740808e-07,8.064000e+03,8.018881e-09,6.524505e-08,2.770145e-07,
1.600000e+01,3.189119e-08,8.464073e-08,1.879000e-07,2.560000e+02,9.228209e-09,1.019972e-07,2.158413e-07,8.192000e+03,8.053203e-09,6.461917e-08,2.552141e-07,
1.625000e+01,3.564891e-08,7.440205e-08,2.172424e-07,2.600000e+02,7.911367e-09,6.371290e-08,1.908751e-07,8.320000e+03,8.197403e-09,6.390977e-08,1.495251e-07,
1.650000e+01,3.534845e-08,8.123324e-08,2.007130e-07,2.640000e+02,7.331074e-09,6.515735e-08,1.980491e-07,8.448000e+03,8.334314e-09,6.529034e-08,1.127561e-07,
1.675000e+01,3.473053e-08,8.592362e-08,1.806755e-07,2.680000e+02,7.867242e-09,6.517660e-08,1.995412e-07,8.576000e+03,8.426473e-09,6.613570e-08,1.122896e-07,
1.700000e+01,3.618320e-08,7.204883e-08,1.951841e-07,2.720000e+02,8.655480e-09,6.818004e-08,1.938656e-07,8.704000e+03,8.250315e-09,6.627636e-08,1.109437e-07,
1.725000e+01,3.790448e-08,7.820444e-08,1.683113e-07,2.760000e+02,8.770987e-09,6.233399e-08,1.961668e-07,8.832000e+03,8.173622e-09,6.622886e-08,1.095857e-07,
1.750000e+01,3.484340e-08,9.051744e-08,1.098647e-07,2.800000e+02,7.799366e-09,5.636499e-08,1.911662e-07,8.960000e+03,8.229055e-09,6.701571e-08,1.089708e-07,
