Frequency,ESD,Coil,
5.404216e-01,0.001439534622233953507428-0.002074210839003781323142j,0.902302623768093781109201+0.052346022926999836999418j,
5.479472e-01,0.001446391743966226510823-0.002132380864574037054870j,0.903840927388912751538896+0.051868855520287485139086j,
5.555776e-01,0.001452146719143541670621-0.002192211961122219904957j,0.905613204144447236920712+0.051283473197615059291365j,
5.633143e-01,0.001456707672484742815619-0.002253762001005140715171j,0.907634860868558490665237+0.050578804716711174560562j,
5.711586e-01,0.001459974693992843828433-0.002317091737026178224768j,0.909922210960372734867008+0.049742550719296459160734j,
5.791123e-01,0.001461838882383018024466-0.002382264866097318686128j,0.912492522718287180083507+0.048761026414228192393807j,
5.871766e-01,0.001462181260531761860244-0.002449348059306445668515j,0.915364066816169219542587+0.047618981878419439079941j,
5.953533e-01,0.001460871540552801176038-0.002518410935449913283513j,0.918556162356426897375172+0.046299396621319509337322j,
6.036439e-01,0.001457766714476987001889-0.002589525972975030912449j,0.922089218880543515233228+0.044783244367835886579066j,
6.120498e-01,0.001452709466307981756028-0.002662768334856185133835j,0.925984772761203167590338+0.043049223770985974024672j,
6.205729e-01,0.001445526352177233051638-0.002738215571838016615391j,0.930265514330139708931711+0.041073449614562426712716j,
6.292146e-01,0.001436025742374781935529-0.002815947185622522629111j,0.934955302135123345053103+0.038829098871671588466548j,
6.379767e-01,0.001423995484183545852733-0.002896043996618791888098j,0.940079158665232617053675+0.036286004632557024296435j,
6.468608e-01,0.001409200251643508757654-0.002978587266473572362641j,0.945663240742437016805866+0.033410190445159471117620j,
6.558686e-01,0.001391378543232107273253-0.003063657507436585818172j,0.951734775771289842616341+0.030163336443341917658678j,
6.650018e-01,0.001370239298501740128275-0.003151332897003560149646j,0.958321951776924141341851+0.026502167760465367846168j,
6.742622e-01,0.001345458086125330505675-0.003241687185324202639253j,0.965453746750151386990524+0.022377754894807852514838j,
6.836516e-01,0.001316672833445261007676-0.003334786963702364177148j,0.973159677624334529255634+0.017734714999603468088551j,
6.931717e-01,0.001283479067592248334950-0.003430688132371519007829j,0.981469444392037870805723+0.012510302716106857026657j,
7.028244e-01,0.001245424654062948516958-0.003529431347566716701408j,0.990412437868150141717649+0.006633380082136641590906j,
7.126115e-01,0.001202004028799285662368-0.003631036197491398481024j,1.000017074246067005915961+0.000023242380343753151173j,
7.225349e-01,0.001152652003558937319691-0.003735493825450222817736j,1.010309876836689157997284-0.007411642599419835351904j,
7.325965e-01,0.001096737132640525922214-0.003842757500176270657466j,1.021314332259142476644342-0.015775136282555602545985j,
7.427982e-01,0.001033554972516003821886-0.003952730822474844092629j,1.033049287958389017560989-0.025184957592371527701491j,
7.531420e-01,0.000962321364686326199273-0.004065252877766520160641j,1.045526943462355307090661-0.035774385801594990597074j,
7.636298e-01,0.000882166273270401949877-0.004180079736294784430173j,1.058750227685349765138767-0.047694015598340425143853j,
7.742637e-01,0.000792128833044312475643-0.004296861536932178315951j,1.072709445624803192842478-0.061113509050601762251365j,
7.850456e-01,0.000691154601043881362463-0.004415114325801643840874j,1.087378022678277211809927-0.076223222813073379655613j,
7.959777e-01,0.000578096434184444639415-0.004534185811750331487890j,1.102707157506367607879838-0.093235524051364246367335j,
8.070620e-01,0.000451720977220112682952-0.004653214237784776378948j,1.118619181665394091140797-0.112385518242071130723403j,
