Frequency [Hz],Magnitude,Phase [degrees]
11.325,1482.2,0.32666
11.483,1482.3,0.33125
11.643,1482.3,0.33591
11.805,1482.3,0.34064
11.97,1482.4,0.34544
12.136,1482.4,0.3503
12.305,1482.5,0.35524
12.477,1482.5,0.36024
12.65,1482.6,0.36532
12.826,1482.6,0.37047
13.005,1482.7,0.3757
13.186,1482.7,0.381
13.37,1482.8,0.38638
13.556,1482.8,0.39184
13.745,1482.9,0.39737
13.936,1482.9,0.40299
14.13,1483,0.40869
14.327,1483,0.41447
14.527,1483.1,0.42034
14.729,1483.2,0.42629
14.934,1483.2,0.43233
15.142,1483.3,0.43845
15.353,1483.4,0.44467
15.567,1483.4,0.45098
15.783,1483.5,0.45738
16.003,1483.6,0.46387
16.226,1483.6,0.47046
16.452,1483.7,0.47715
16.681,1483.8,0.48394
16.913,1483.9,0.49082
17.149,1484,0.49781
17.388,1484.1,0.50491
17.63,1484.1,0.5121
17.875,1484.2,0.51941
18.124,1484.3,0.52683
18.377,1484.4,0.53435
18.632,1484.5,0.54199
18.892,1484.6,0.54974
19.155,1484.7,0.55762
19.422,1484.8,0.5656
19.692,1485,0.57371
19.966,1485.1,0.58195
20.244,1485.2,0.5903
20.526,1485.3,0.59879
20.812,1485.4,0.6074
21.102,1485.6,0.61615
21.396,1485.7,0.62503
21.694,1485.8,0.63404
21.996,1486,0.6432
22.302,1486.1,0.65249
22.613,1486.3,0.66193
22.928,1486.4,0.67152
23.247,1486.6,0.68125
23.571,1486.7,0.69114
23.899,1486.9,0.70118
24.232,1487,0.71137
24.569,1487.2,0.72173
24.911,1487.4,0.73225
25.258,1487.6,0.74294
25.61,1487.8,0.7538
25.967,1488,0.76483
26.328,1488.2,0.77604
26.695,1488.4,0.78742
27.067,1488.6,0.79899
27.443,1488.8,0.81074
27.826,1489,0.82269
28.213,1489.2,0.83483
28.606,1489.5,0.84717
29.004,1489.7,0.8597
29.408,1490,0.87245
29.818,1490.2,0.8854
30.233,1490.5,0.89857
30.654,1490.7,0.91196
31.081,1491,0.92557
31.514,1491.3,0.9394
31.952,1491.6,0.95347
32.397,1491.9,0.96778
32.849,1492.2,0.98233
33.306,1492.5,0.99713
33.77,1492.8,1.0122
34.24,1493.2,1.0275
34.717,1493.5,1.0431
35.2,1493.9,1.0589
35.69,1494.2,1.075
36.187,1494.6,1.0914
36.691,1495,1.1081
37.202,1495.4,1.1251
37.72,1495.8,1.1424
38.246,1496.2,1.16
38.778,1496.6,1.1779
39.318,1497.1,1.1961
39.866,1497.5,1.2147
40.421,1498,1.2336
40.984,1498.5,1.2528
41.555,1499,1.2724
42.133,1499.5,1.2924
42.72,1500,1.3127
43.315,1500.5,1.3334
43.918,1501.1,1.3545
44.53,1501.6,1.376
45.15,1502.2,1.3979
45.778,1502.8,1.4203
46.416,1503.4,1.443
47.062,1504.1,1.4662
47.718,1504.7,1.4899
48.382,1505.4,1.514
49.056,1506,1.5386
49.739,1506.7,1.5637
50.432,1507.5,1.5893
51.134,1508.2,1.6154
51.846,1509,1.642
52.568,1509.7,1.6691
53.3,1510.5,1.6969
54.042,1511.4,1.7252
54.795,1512.2,1.754
55.558,1513.1,1.7835
56.331,1514,1.8136
57.116,1514.9,1.8443
57.911,1515.8,1.8757
58.718,1516.8,1.9078
59.535,1517.8,1.9405
60.364,1518.8,1.974
61.205,1519.9,2.0082
62.057,1521,2.0431
62.921,1522.1,2.0788
63.798,1523.2,2.1153
64.686,1524.4,2.1526
65.587,1525.6,2.1908
66.5,1526.8,2.2298
67.426,1528.1,2.2697
68.365,1529.4,2.3105
69.317,1530.7,2.3523
70.282,1532.1,2.395
71.261,1533.5,2.4388
72.253,1535,2.4835
73.26,1536.5,2.5294
74.28,1538,2.5763
75.314,1539.6,2.6243
76.363,1541.2,2.6735
77.426,1542.9,2.7239
78.505,1544.6,2.7755
79.598,1546.3,2.8284
80.706,1548.1,2.8826
81.83,1549.9,2.9382
82.97,1551.8,2.9951
84.125,1553.8,3.0535
85.296,1555.8,3.1133
86.484,1557.8,3.1746
87.689,1559.9,3.2376
88.91,1562.1,3.3021
90.148,1564.3,3.3683
91.403,1566.6,3.4362
92.676,1568.9,3.5059
93.966,1571.3,3.5775
95.275,1573.8,3.6509
96.602,1576.3,3.7262
97.947,1578.9,3.8036
99.311,1581.6,3.883
100.69,1584.3,3.9646
102.1,1587.1,4.0483
103.52,1590,4.1344
104.96,1593,4.2228
106.42,1596,4.3136
107.9,1599.1,4.4068
109.41,1602.3,4.5027
110.93,1605.6,4.6012
112.47,1609,4.7025
114.04,1612.4,4.8066
115.63,1615.9,4.9136
117.24,1619.6,5.0236
118.87,1623.3,5.1367
120.53,1627.1,5.253
122.2,1631,5.3726
123.91,1635.1,5.4956
125.63,1639.2,5.6221
127.38,1643.4,5.7522
129.15,1647.7,5.8861
130.95,1652.2,6.0238
132.78,1656.7,6.1655
134.63,1661.4,6.3112
136.5,1666.2,6.4613
138.4,1671.1,6.6156
140.33,1676.1,6.7745
142.28,1681.3,6.938
144.26,1686.5,7.1062
146.27,1691.9,7.2794
148.31,1697.5,7.4576
150.38,1703.2,7.6411
152.47,1709,7.83
154.59,1714.9,8.0244
156.75,1721,8.2245
158.93,1727.3,8.4306
161.14,1733.7,8.6427
163.39,1740.3,8.861
165.66,1747,9.0858
167.97,1753.8,9.3173
170.31,1760.9,9.5556
172.68,1768.1,9.8009
175.08,1775.5,10.054
177.52,1783,10.314
179.99,1790.7,10.581
182.5,1798.6,10.857
185.04,1806.7,11.141
187.62,1815,11.433
190.23,1823.4,11.734
192.88,1832.1,12.044
195.57,1840.9,12.363
198.29,1850,12.691
201.05,1859.2,13.029
203.85,1868.7,13.377
206.69,1878.3,13.735
209.57,1888.2,14.104
212.48,1898.3,14.483
215.44,1908.6,14.874
218.44,1919.1,15.276
221.49,1929.9,15.69
224.57,1940.9,16.117
227.7,1952.1,16.555
230.87,1963.5,17.007
234.08,1975.2,17.472
237.34,1987.1,17.95
240.65,1999.2,18.442
244,2011.6,18.949
247.4,2024.3,19.47
250.84,2037.2,20.006
254.33,2050.3,20.559
257.88,2063.7,21.127
261.47,2077.3,21.711
265.11,2091.2,22.313
268.8,2105.4,22.932
272.54,2119.8,23.569
276.34,2134.4,24.224
280.19,2149.3,24.899
284.09,2164.5,25.593
288.04,2179.9,26.307
292.06,2195.5,27.042
296.12,2211.4,27.798
300.25,2227.6,28.576
304.43,2244,29.376
308.67,2260.6,30.199
312.96,2277.4,31.047
317.32,2294.4,31.919
321.74,2311.7,32.816
326.22,2329.1,33.74
330.76,2346.8,34.69
335.37,2364.6,35.668
340.04,2382.5,36.674
344.78,2400.6,37.71
349.58,2418.8,38.776
354.45,2437.1,39.873
359.38,2455.5,41.002
364.39,2473.9,42.164
369.46,2492.2,43.36
374.61,2510.6,44.591
379.82,2528.8,45.859
385.11,2547,47.163
390.47,2564.9,48.506
395.91,2582.6,49.888
401.42,2600,51.31
407.01,2617.1,52.774
412.68,2633.6,54.28
418.43,2649.6,55.83
424.26,2665,57.425
430.16,2679.6,59.065
436.15,2693.4,60.752
442.23,2706.2,62.487
448.39,2717.9,64.269
454.63,2728.3,66.1
460.96,2737.3,67.981
467.38,2744.8,69.911
473.89,2750.6,71.89
480.49,2754.4,73.92
487.18,2756.2,75.998
493.96,2755.8,78.125
500.84,2753,80.3
507.82,2747.6,82.521
514.89,2739.4,84.786
522.06,2728.4,87.094
529.33,2714.4,89.442
536.7,2697.2,91.828
544.17,2676.7,94.247
551.75,2653,96.696
559.43,2625.9,99.172
567.22,2595.5,101.67
575.12,2561.8,104.18
583.13,2524.9,106.71
591.25,2484.8,109.25
599.48,2441.8,111.78
607.83,2395.9,114.32
616.3,2347.5,116.84
624.88,2296.6,119.35
633.58,2243.7,121.84
642.4,2189,124.31
651.35,2132.7,126.76
660.42,2075.1,129.17
669.62,2016.6,131.54
678.94,1957.4,133.88
688.4,1897.7,136.18
697.98,1838,138.43
707.7,1778.3,140.63
717.56,1718.9,142.79
727.55,1660.1,144.9
737.68,1602,146.96
747.95,1544.8,148.97
758.37,1488.6,150.92
768.93,1433.5,152.83
779.64,1379.7,154.68
790.49,1327.2,156.49
801.5,1276.1,158.24
812.66,1226.5,159.95
823.98,1178.3,161.6
835.45,1131.6,163.21
847.09,1086.4,164.77
858.88,1042.8,166.28
870.84,1000.7,167.75
882.97,960.05,169.18
895.27,920.9,170.56
907.73,883.21,171.91
920.37,846.93,173.21
933.19,812.05,174.47
946.18,778.53,175.7
959.36,746.33,176.88
972.72,715.41,178.03
986.27,685.74,179.15
1000,657.26,-179.77
1013.9,629.95,-178.72
1028,603.77,-177.7
1042.4,578.66,-176.72
1056.9,554.59,-175.76
1071.6,531.53,-174.84
1086.5,509.43,-173.94
1101.6,488.26,-173.08
1117,467.98,-172.23
1132.5,448.55,-171.42
1148.3,429.95,-170.63
1164.3,412.13,-169.87
1180.5,395.06,-169.13
1197,378.72,-168.41
1213.6,363.07,-167.72
1230.5,348.08,-167.05
1247.7,333.73,-166.41
1265,319.99,-165.78
1282.6,306.83,-165.18
1300.5,294.23,-164.6
1318.6,282.16,-164.03
1337,270.61,-163.49
1355.6,259.54,-162.97
1374.5,248.94,-162.47
1393.6,238.79,-161.98
1413,229.07,-161.51
1432.7,219.77,-161.07
1452.7,210.85,-160.63
1472.9,202.31,-160.22
1493.4,194.13,-159.82
1514.2,186.29,-159.44
1535.3,178.78,-159.08
1556.7,171.59,-158.73
1578.3,164.7,-158.4
1600.3,158.1,-158.08
1622.6,151.77,-157.78
1645.2,145.71,-157.5
1668.1,139.9,-157.23
1691.3,134.34,-156.97
1714.9,129,-156.73
1738.8,123.89,-156.5
1763,118.99,-156.29
1787.5,114.3,-156.09
1812.4,109.79,-155.91
1837.7,105.48,-155.73
1863.2,101.34,-155.57
1889.2,97.373,-155.43
1915.5,93.57,-155.3
1942.2,89.923,-155.18
1969.2,86.426,-155.07
1996.6,83.073,-154.97
2024.4,79.857,-154.89
2052.6,76.773,-154.82
2081.2,73.814,-154.76
2110.2,70.977,-154.71
2139.6,68.255,-154.68
2169.4,65.645,-154.66
2199.6,63.14,-154.64
2230.2,60.737,-154.64
2261.3,58.431,-154.65
2292.8,56.219,-154.68
2324.7,54.096,-154.71
2357.1,52.059,-154.75
2389.9,50.104,-154.81
2423.2,48.228,-154.87
2456.9,46.427,-154.95
2491.1,44.699,-155.03
2525.8,43.039,-155.13
2561,41.446,-155.23
2596.7,39.917,-155.35
2632.8,38.449,-155.47
2669.5,37.039,-155.61
2706.7,35.686,-155.75
2744.3,34.386,-155.91
2782.6,33.137,-156.07
2821.3,31.938,-156.24
2860.6,30.787,-156.43
2900.4,29.681,-156.62
2940.8,28.618,-156.82
2981.8,27.597,-157.02
3023.3,26.617,-157.24
3065.4,25.674,-157.47
3108.1,24.769,-157.7
3151.4,23.899,-157.94
