Frequency [Hz],Both dewhiteners magnitude,Both dewhiteners phase [deg],First dewhitener magnitude,First dewhitener phase [deg],Second dewhitener magnitude,Second dewhitener phase [deg],No dewhiteners magnitude,No dewhiteners phase [deg]
181,0.037251014,-25.923168,0.11539285,161.16733,0.11364749,161.08189,0.35184813,-11.672822
182,0.037279889,-25.930708,0.1153504,161.1387,0.11354571,161.00697,0.35194686,-11.746709
183,0.037314445,-25.96315,0.11533581,161.11678,0.11339284,161.04164,0.35199541,-11.78736
184,0.037298817,-26.020325,0.11536716,161.07915,0.11325376,161.12062,0.35201007,-11.8371
185,0.037286274,-25.969902,0.1153505,161.05385,0.11336598,161.11087,0.35198024,-11.947351
186,0.037223868,-26.022104,0.11531314,161.02931,0.1134951,161.04503,0.35191971,-12.020687
187,0.037215747,-26.024616,0.1152976,161.01817,0.11339252,160.99049,0.35197827,-12.072012
188,0.037222497,-25.946484,0.11524364,160.98254,0.11332586,160.93118,0.35198873,-12.116458
189,0.037132613,-25.865656,0.11522053,160.95372,0.11331198,160.8856,0.35196477,-12.175157
190,0.037097003,-25.899534,0.1152062,160.90427,0.11340488,160.87016,0.35188317,-12.251693
191,0.037139505,-25.929863,0.11522032,160.8632,0.11350737,160.77948,0.35191545,-12.327077
192,0.037184544,-25.938864,0.11523716,160.84225,0.11328594,160.86067,0.35191596,-12.405384
193,0.037153501,-25.876245,0.11519513,160.82877,0.11331327,160.80301,0.35188651,-12.44634
194,0.037125558,-25.927435,0.11516192,160.81049,0.11342283,160.66151,0.35188147,-12.503603
195,0.037080888,-25.971251,0.11514664,160.76521,0.11328932,160.78494,0.35195354,-12.578178
196,0.037054449,-25.935663,0.11514525,160.71776,0.11337755,160.72464,0.35198924,-12.64685
197,0.037080623,-25.917145,0.11512595,160.68294,0.11335114,160.64638,0.35192513,-12.699304
198,0.036996141,-25.929838,0.11510967,160.6463,0.11327253,160.67152,0.35187334,-12.771281
199,0.037057161,-25.957733,0.11507908,160.62039,0.1132196,160.58636,0.35191685,-12.829231
200,0.037044607,-26.011448,0.11505645,160.61424,0.11336533,160.55742,0.35191178,-12.915001
201,0.037036654,-25.96002,0.11504012,160.58943,0.11348369,160.61406,0.35183546,-12.974184
202,0.037027907,-25.855576,0.11503462,160.54214,0.11351353,160.5652,0.35182613,-13.030357
203,0.036958147,-25.902634,0.11502292,160.49156,0.11328226,160.51324,0.35183913,-13.102331
204,0.036976494,-25.950352,0.11502936,160.47873,0.11333013,160.43768,0.35190544,-13.161213
205,0.036999382,-26.004049,0.11501228,160.43845,0.11311308,160.38203,0.35180584,-13.218539
206,0.037038118,-25.965113,0.11499997,160.39975,0.11314286,160.30678,0.3518934,-13.284645
207,0.037000012,-25.905022,0.11499526,160.36678,0.11302325,160.24992,0.3519834,-13.357765
208,0.03698514,-26.005249,0.11499098,160.31502,0.11293424,160.3022,0.35193253,-13.417478
209,0.036983479,-25.990503,0.11497489,160.28052,0.11311248,160.26077,0.35192505,-13.48466
210,0.036941249,-25.894365,0.11493557,160.25639,0.11308504,160.26021,0.35182399,-13.538947
211,0.036924344,-25.878021,0.11492033,160.24174,0.11314871,160.22081,0.35192081,-13.616315
212,0.036945865,-25.925398,0.11492753,160.20099,0.11306664,160.13298,0.35202599,-13.676001
213,0.036990725,-25.992802,0.11489355,160.14688,0.11311346,160.08551,0.35194278,-13.728838
214,0.036920022,-26.037554,0.11483143,160.11314,0.1131699,160.01283,0.35180491,-13.812709
215,0.036894623,-26.014877,0.11487091,160.07301,0.11320853,159.91653,0.35186169,-13.869431
216,0.036878802,-26.067862,0.1148579,160.05191,0.11317742,160.06009,0.35189429,-13.934464
217,0.036928624,-26.023239,0.1148219,160.00714,0.11302587,160.09647,0.3519097,-14.008649
218,0.036914691,-25.96104,0.11480667,159.97562,0.11294144,160.03346,0.35188249,-14.056777
219,0.036896206,-25.981838,0.11481433,159.94678,0.11304541,160.01915,0.35188374,-14.11494
220,0.03690359,-26.11692,0.11482609,159.89622,0.1128937,159.87363,0.35181412,-14.216473
221,0.036848426,-26.12689,0.11479593,159.84114,0.11284938,159.84248,0.35183692,-14.267875
222,0.036851823,-26.067005,0.11481702,159.81424,0.11294523,159.75703,0.35183212,-14.329101
223,0.036845759,-26.092842,0.11478564,159.78139,0.11293303,159.74185,0.35188484,-14.394195
224,0.036845319,-26.10886,0.11474908,159.74269,0.11281069,159.77876,0.35195452,-14.449533
225,0.036882203,-26.237513,0.11475983,159.70595,0.11288252,159.66927,0.35185748,-14.505809
226,0.036878772,-26.25219,0.11476675,159.66515,0.11293162,159.58641,0.35193115,-14.571867
227,0.036832038,-26.118116,0.1147181,159.62311,0.11290672,159.60283,0.35187274,-14.64426
228,0.036814302,-26.138756,0.11473262,159.56857,0.11294802,159.49854,0.35181496,-14.701728
229,0.036826417,-26.158422,0.11474016,159.54395,0.11306807,159.44301,0.35187677,-14.767825
230,0.036818925,-26.166636,0.11472394,159.47177,0.11308151,159.442,0.35182104,-14.824759
231,0.036830202,-26.225925,0.11469927,159.42181,0.11285839,159.42398,0.35190704,-14.890805
232,0.036850635,-26.274147,0.11468852,159.39412,0.11274818,159.4118,0.3519434,-14.961671
233,0.036799893,-26.239965,0.11470853,159.37535,0.11286464,159.38698,0.35184363,-15.030685
234,0.036790878,-26.307941,0.11470965,159.34912,0.11304598,159.31439,0.35180828,-15.089736
235,0.036773257,-26.28615,0.11471085,159.30539,0.11287205,159.21729,0.35181743,-15.138538
236,0.036818929,-26.268597,0.11471279,159.25145,0.11272836,159.20448,0.3518393,-15.223503
237,0.036826018,-26.215227,0.11465808,159.21892,0.11293705,159.13538,0.35183477,-15.291904
238,0.036812536,-26.261059,0.11462046,159.1731,0.11285418,159.10506,0.35188645,-15.35269
239,0.036829755,-26.231213,0.11464845,159.11969,0.11294023,158.95903,0.3518185,-15.417952
240,0.036833186,-26.319944,0.11464981,159.06947,0.11279566,158.89969,0.35193726,-15.47385
241,0.036806207,-26.516476,0.11459901,159.03125,0.11282587,158.87325,0.35193804,-15.544723
242,0.036808133,-26.536848,0.11459255,159.00392,0.11286285,158.92247,0.35192063,-15.610765
243,0.036812924,-26.448545,0.11459114,158.96399,0.1128322,158.8961,0.35182926,-15.686008
244,0.036816113,-26.446182,0.11459014,158.90071,0.11274856,158.89774,0.35179234,-15.732462
245,0.036762513,-26.401937,0.11458182,158.86618,0.11274685,158.7937,0.35182285,-15.817025
246,0.036707014,-26.388563,0.1145699,158.82152,0.11293716,158.72134,0.35176983,-15.89312
247,0.036771491,-26.431217,0.11457071,158.77788,0.11289296,158.74481,0.35186726,-15.954704
248,0.036770049,-26.500546,0.1145625,158.72435,0.11275381,158.70816,0.35191312,-15.996528
249,0.036753289,-26.609526,0.11454485,158.69038,0.11270588,158.66182,0.35180652,-16.048958
250,0.03671464,-26.578926,0.11454095,158.63176,0.11279417,158.61235,0.35176775,-16.121103
251,0.036730621,-26.544409,0.11454265,158.59106,0.11267733,158.47571,0.35182524,-16.18775
252,0.036694802,-26.589655,0.11455182,158.55338,0.11264339,158.48112,0.35185289,-16.250849
253,0.036739595,-26.729919,0.11452791,158.5063,0.11282203,158.57451,0.35185835,-16.316536
254,0.036715303,-26.79233,0.11450095,158.47176,0.1127426,158.59012,0.35184777,-16.390293
255,0.036723398,-26.811146,0.11447494,158.41684,0.11250211,158.45526,0.35180178,-16.462107
256,0.036702216,-26.809942,0.11448147,158.35675,0.11243793,158.32579,0.35178956,-16.522415
257,0.036669973,-26.877609,0.11453315,158.33943,0.11257832,158.30719,0.35184395,-16.589483
258,0.03667938,-26.818272,0.11452936,158.29214,0.11261286,158.22464,0.35186836,-16.657166
259,0.03667514,-26.805582,0.11450186,158.24297,0.11248946,158.2641,0.35180822,-16.701344
260,0.036688432,-26.802145,0.1145082,158.19843,0.11249894,158.22342,0.35186166,-16.782972
261,0.03664751,-26.952366,0.11447932,158.15094,0.11247661,158.12863,0.3518562,-16.853689
262,0.036629964,-27.023851,0.11445698,158.10497,0.11262367,158.11597,0.35188287,-16.914354
263,0.03663734,-26.971092,0.11446688,158.06372,0.11279379,158.05728,0.35184845,-16.958502
264,0.036642063,-26.914978,0.11444504,158.00909,0.11265118,157.94067,0.35187784,-17.029463
265,0.036661733,-26.964472,0.11440276,157.9679,0.11244968,157.99619,0.35183203,-17.084698
266,0.036703754,-27.031401,0.11437808,157.9286,0.1124298,157.99295,0.35179183,-17.156431
267,0.036722764,-27.056,0.11439383,157.89149,0.1124045,157.88306,0.35177606,-17.231419
268,0.036725938,-27.119699,0.11440959,157.83026,0.11242093,157.84152,0.35184962,-17.299061
269,0.036673754,-27.105595,0.11441891,157.76848,0.11241402,157.75447,0.35187832,-17.369125
270,0.036649615,-27.093481,0.11441072,157.73553,0.11262771,157.70285,0.35183853,-17.429447
271,0.03656438,-27.165604,0.11440564,157.69817,0.11263909,157.69049,0.35173118,-17.476254
272,0.036577083,-27.146132,0.11437345,157.66733,0.1125074,157.65207,0.35177761,-17.539202
273,0.036631193,-27.223478,0.11439113,157.6223,0.11245865,157.56036,0.35177654,-17.596006
274,0.036610097,-27.230148,0.11438202,157.56075,0.11259607,157.50026,0.35186148,-17.660904
275,0.036697101,-27.246603,0.11436024,157.51515,0.11266252,157.55058,0.35177997,-17.737879
276,0.036647324,-27.266415,0.11436856,157.45282,0.11267214,157.42897,0.35179269,-17.807833
277,0.036621459,-27.217197,0.11435009,157.40948,0.11257496,157.35947,0.35177127,-17.872105
278,0.036567692,-27.390764,0.11434449,157.37082,0.11261395,157.3999,0.35178846,-17.934967
279,0.03658893,-27.411652,0.11433786,157.31628,0.11238962,157.33238,0.35182512,-18.003386
280,0.036656529,-27.472248,0.11434161,157.25264,0.11247169,157.23741,0.35183781,-18.073696
281,0.036653735,-27.461384,0.11433703,157.20874,0.11249353,157.23402,0.351679,-18.14093
282,0.036604408,-27.429218,0.11431977,157.16893,0.11262038,157.17871,0.35164943,-18.190313
