Frequency [Hz],Both dewhiteners magnitude,Both dewhiteners phase [deg],First dewhitener magnitude,First dewhitener phase [deg],Second dewhitener magnitude,Second dewhitener phase [deg],No dewhiteners magnitude,No dewhiteners phase [deg]
6346,0.028214782,-51.89362,0.088648073,128.40419,0.087385833,128.50102,0.27494913,-51.065918
6347,0.028268596,-52.038898,0.088662207,128.33743,0.087261707,128.31543,0.27474007,-51.135155
6348,0.02826665,-52.226269,0.088647589,128.26357,0.087252565,128.31917,0.27467859,-51.164211
6349,0.028243011,-52.236912,0.088670291,128.17255,0.087248988,128.32843,0.27473998,-51.253784
6350,0.028217159,-52.260033,0.088683538,128.13902,0.08721599,128.1895,0.27474132,-51.345268
6351,0.028222224,-52.240311,0.088669181,128.1002,0.087228402,127.9743,0.27448633,-51.402157
6352,0.0281581,-52.370502,0.088662758,128.00665,0.087198094,127.99059,0.27440599,-51.457321
6353,0.028202707,-52.55928,0.088628456,127.92067,0.087274902,128.01797,0.27464724,-51.510647
6354,0.028185843,-52.504642,0.08866173,127.85698,0.087424248,127.8045,0.2746166,-51.576828
6355,0.02815434,-52.582489,0.088660009,127.77651,0.087442145,127.9255,0.27468437,-51.658051
6356,0.028079156,-52.623985,0.088679843,127.7277,0.087174036,127.94353,0.27450037,-51.749958
6357,0.028089043,-52.644852,0.088650294,127.64612,0.08715149,127.71407,0.27442795,-51.815277
6358,0.02818962,-52.835773,0.088634573,127.5935,0.087121658,127.64406,0.27467483,-51.857693
6359,0.02819081,-52.904827,0.088645242,127.52699,0.087087274,127.6293,0.27457085,-51.940029
6360,0.028181279,-52.998112,0.08861801,127.47151,0.087033853,127.45997,0.27448377,-51.990891
6361,0.028201548,-53.04108,0.088661849,127.41003,0.087106533,127.49935,0.27448919,-52.06015
6362,0.028200142,-53.101971,0.088578008,127.3241,0.087176859,127.37535,0.27460098,-52.166466
6363,0.028140608,-53.234097,0.088552557,127.26607,0.087155849,127.203,0.27456805,-52.197697
6364,0.028113905,-53.294201,0.088589884,127.22066,0.087396301,127.09023,0.27449861,-52.254318
6365,0.028099727,-53.26722,0.08857926,127.14636,0.087332591,127.13586,0.27452645,-52.330719
6366,0.028106,-53.279037,0.088599712,127.07932,0.087200478,127.1293,0.27444476,-52.370296
6367,0.028152071,-53.345375,0.088525869,127.00372,0.086970255,127.03661,0.27441213,-52.431541
6368,0.028193416,-53.496342,0.088530205,126.93317,0.087076046,126.92563,0.27435723,-52.542736
6369,0.028138416,-53.491169,0.088543557,126.87025,0.087308265,126.83921,0.27444598,-52.622162
6370,0.028159447,-53.723583,0.088579826,126.74094,0.087090567,126.73177,0.27440003,-52.6702
6371,0.028162314,-53.718842,0.08854568,126.73672,0.087096229,126.67727,0.27431333,-52.739082
6372,0.028164694,-53.71616,0.088553324,126.68813,0.087082535,126.62902,0.27423748,-52.821018
6373,0.028178509,-53.781288,0.088497311,126.59702,0.087116316,126.52792,0.27422661,-52.867249
6374,0.028208844,-53.875069,0.088451408,126.54099,0.087293744,126.51106,0.27424356,-52.911961
6375,0.028181076,-54.089352,0.088520445,126.48351,0.087249443,126.49585,0.27415273,-52.988724
6376,0.028131045,-54.108433,0.088455811,126.37865,0.087147266,126.55611,0.27415124,-53.031647
6377,0.028084181,-54.098438,0.088480569,126.34501,0.087199286,126.49083,0.27410147,-53.132835
6378,0.028148966,-54.154434,0.088496916,126.25966,0.087228894,126.37865,0.27405214,-53.227917
6379,0.028124606,-54.234745,0.088479936,126.15922,0.087131865,126.22268,0.2741282,-53.300671
6380,0.02807478,-54.084995,0.088479638,126.11102,0.087092899,126.14382,0.27403462,-53.354534
6381,0.028062288,-54.226955,0.088447966,126.06415,0.087133288,126.14943,0.27412316,-53.40469
6382,0.028087875,-54.459679,0.088440597,125.97879,0.087118782,126.06015,0.27415922,-53.479172
6383,0.028126845,-54.475224,0.088431202,125.93144,0.087229289,125.97559,0.27400288,-53.544388
6384,0.028119771,-54.62579,0.08849293,125.87334,0.087004051,125.843,0.27380535,-53.574211
6385,0.028059732,-54.660744,0.088494599,125.79774,0.08701317,125.84962,0.27378929,-53.651203
6386,0.0280255,-54.763645,0.088477209,125.76052,0.086907446,125.76028,0.27386951,-53.731724
6387,0.028068818,-54.767071,0.0884417,125.65321,0.086930186,125.62059,0.27379301,-53.805836
6388,0.028027687,-54.850979,0.088410132,125.59753,0.087107718,125.62298,0.27381489,-53.882248
6389,0.027991559,-54.985798,0.088424787,125.51983,0.087019332,125.67759,0.27395207,-53.952301
6390,0.028082801,-55.026192,0.088390976,125.43343,0.086908102,125.60696,0.27395701,-54.041233
6391,0.028143549,-55.225513,0.088369071,125.37837,0.086982578,125.59179,0.27399644,-54.106853
6392,0.028133977,-55.117649,0.088364758,125.37206,0.087009825,125.38454,0.27388075,-54.169273
6393,0.028079771,-55.144783,0.088339634,125.27966,0.08669661,125.354,0.2739169,-54.251431
6394,0.028034544,-55.323208,0.088344395,125.21529,0.086920306,125.26508,0.27387279,-54.294525
6395,0.028024007,-55.345505,0.088353738,125.12217,0.087022871,125.05453,0.27382445,-54.323448
6396,0.028063916,-55.501549,0.08830335,125.05888,0.086981945,125.0758,0.27377176,-54.399284
6397,0.028063336,-55.458973,0.088340886,124.99912,0.087190449,125.00245,0.27367771,-54.516827
6398,0.0280744,-55.608547,0.088344239,124.90788,0.087053865,124.89511,0.27357462,-54.598255
6399,0.028046949,-55.508659,0.088361256,124.85477,0.086895868,124.81123,0.273505,-54.655029
6400,0.028064884,-55.533516,0.088431478,124.80827,0.087011583,124.74518,0.27361411,-54.731453
6401,0.027961478,-55.753338,0.088371769,124.74668,0.087126493,124.82175,0.273581,-54.773926
6402,0.028041573,-55.796318,0.088305004,124.63571,0.087221421,124.75456,0.27358496,-54.82024
6403,0.028111791,-55.810284,0.088315643,124.59596,0.086977996,124.60554,0.27358568,-54.881889
6404,0.028131085,-55.862999,0.088300556,124.54305,0.08695928,124.46156,0.27356851,-54.977276
6405,0.028152449,-55.85215,0.088285252,124.46048,0.086766049,124.36016,0.27358392,-55.069084
6406,0.027976148,-56.081516,0.08829695,124.3863,0.086792998,124.31416,0.2735517,-55.08617
6407,0.028051328,-56.131023,0.088267162,124.31766,0.086860023,124.33556,0.27343035,-55.162285
6408,0.028140333,-56.135017,0.088269047,124.269,0.086708665,124.20711,0.27346355,-55.230057
6409,0.028046429,-56.368862,0.088265121,124.16306,0.086846977,124.17892,0.27320588,-55.253139
6410,0.028067265,-56.356148,0.088265568,124.08437,0.0866981,124.15258,0.27316445,-55.336487
6411,0.028073585,-56.328304,0.088280223,124.04141,0.086693347,124.03938,0.27334133,-55.412464
6412,0.028116748,-56.573563,0.08832033,123.99774,0.08684092,123.83958,0.27341673,-55.473576
6413,0.028162429,-56.594841,0.088291422,123.91149,0.087015025,123.87815,0.27332005,-55.51001
6414,0.028121278,-56.616638,0.088261001,123.80936,0.087018199,123.81725,0.27321339,-55.587807
6415,0.028005512,-56.587589,0.088287093,123.74046,0.086803995,123.68307,0.2731986,-55.641827
6416,0.027986104,-56.71394,0.08827655,123.65147,0.08691375,123.66335,0.27321732,-55.715824
6417,0.028015601,-56.824619,0.088230044,123.61149,0.086967282,123.6726,0.27328444,-55.82782
6418,0.028041936,-56.771488,0.088192232,123.5653,0.086786099,123.69788,0.27340946,-55.895458
6419,0.027970511,-56.808838,0.088220343,123.48481,0.086838245,123.67105,0.27326131,-56.002407
6420,0.028023671,-56.890205,0.088237263,123.41695,0.086825542,123.55348,0.27312073,-56.021008
6421,0.028038375,-57.14286,0.088208206,123.35381,0.086650185,123.483,0.27306327,-56.069519
6422,0.027981004,-57.085636,0.088174999,123.28202,0.086808652,123.25466,0.27307263,-56.167404
6423,0.027951906,-57.135887,0.088152207,123.22147,0.086965472,123.17092,0.27328286,-56.254955
6424,0.027979586,-57.247612,0.08813639,123.16512,0.086979441,123.10316,0.27326122,-56.297035
6425,0.028042598,-57.247616,0.088144422,123.07681,0.086890317,122.96184,0.27311963,-56.361877
6426,0.028054198,-57.325855,0.088123977,123.01904,0.08687894,123.03405,0.27291021,-56.452888
6427,0.028031908,-57.47578,0.088142045,122.93612,0.086678728,122.93539,0.27311558,-56.523052
6428,0.028010225,-57.533306,0.088127106,122.86819,0.086596221,122.84019,0.2730855,-56.588078
6429,0.028022019,-57.547344,0.0880735,122.81834,0.086443633,122.91999,0.27294973,-56.643867
6430,0.028051814,-57.664341,0.088079728,122.77428,0.08656773,122.8168,0.27284834,-56.706036
6431,0.027987897,-57.783962,0.088111714,122.72334,0.086512126,122.75993,0.27294162,-56.757648
6432,0.027886011,-57.891251,0.088123858,122.62783,0.086530201,122.76533,0.27295491,-56.806179
6433,0.02792234,-57.959007,0.088089086,122.55095,0.086662486,122.61842,0.27294582,-56.889217
6434,0.027977152,-57.943333,0.088077053,122.5004,0.086721994,122.4894,0.27289474,-56.978027
6435,0.027996102,-57.844734,0.088086106,122.43023,0.086764626,122.6575,0.27285555,-57.068954
6436,0.028014377,-57.937462,0.08809232,122.39518,0.086572155,122.44396,0.27301478,-57.114479
6437,0.028038312,-58.097492,0.088071071,122.32658,0.086452544,122.3514,0.27298886,-57.175941
6438,0.028033828,-58.127415,0.088036969,122.23557,0.086338535,122.31295,0.27302438,-57.279114
6439,0.027996385,-58.152573,0.088015571,122.16956,0.086438276,122.26595,0.27283996,-57.339329
6440,0.027962834,-58.285938,0.088023566,122.10941,0.086558841,122.16183,0.27254781,-57.363422
6441,0.027963797,-58.401501,0.088038705,122.0276,0.086549595,122.0657,0.27257565,-57.388214
6442,0.027945317,-58.514488,0.088079199,121.98064,0.08667092,122.01338,0.27263701,-57.462898
6443,0.02793896,-58.555553,0.088068515,121.88754,0.086721845,121.88819,0.272672,-57.560356
6444,0.027934471,-58.53347,0.087990828,121.84914,0.086566113,121.88918,0.27275798,-57.620449
6445,0.027930427,-58.653431,0.08800111,121.75671,0.086665519,121.91015,0.27255449,-57.6982
6446,0.027966188,-58.752342,0.088024922,121.67994,0.086642772,121.88635,0.27258661,-57.742878
6447,0.027920786,-58.768581,0.088010147,121.60506,0.086492538,121.68394,0.27258033,-57.810429
6448,0.027950449,-58.862885,0.088017523,121.55698,0.086556487,121.57264,0.27257815,-57.847477
6449,0.027968349,-58.949558,0.087975919,121.47359,0.086511709,121.57806,0.27258223,-57.937359
6450,0.027915014,-59.030449,0.087997645,121.43858,0.086526617,121.36864,0.27249599,-58.059715
6451,0.027954519,-59.072872,0.088038072,121.38598,0.086580135,121.32414,0.2726301,-58.11805
6452,0.027970424,-59.092793,0.087966889,121.28694,0.086681589,121.237,0.27254891,-58.169064
6453,0.027892031,-59.015274,0.087875858,121.18304,0.086547628,121.20549,0.27253175,-58.236111
6454,0.027955407,-59.201393,0.087909482,121.13593,0.086472772,121.10816,0.27254641,-58.323772
6455,0.027972616,-59.365387,0.087941185,121.11617,0.086548358,121.0762,0.27246776,-58.404648
6456,0.02799065,-59.348518,0.087926582,121.00249,0.086930722,121.02068,0.27216664,-58.462368
6457,0.027913706,-59.491787,0.087930679,120.95303,0.087007202,120.92654,0.27233025,-58.524437
6458,0.027921895,-59.585365,0.087929614,120.89936,0.086875372,120.82252,0.27230695,-58.596657
6459,0.027968675,-59.512699,0.087932549,120.81395,0.086576454,120.79068,0.2722201,-58.672924
6460,0.027950495,-59.616661,0.087967664,120.71853,0.086547606,120.70878,0.27230015,-58.727798
6461,0.027972525,-59.887054,0.087851681,120.73185,0.08639548,120.61433,0.27225083,-58.767666
6462,0.027952002,-59.925747,0.08787442,120.64971,0.086382151,120.60589,0.27216879,-58.842575
6463,0.027965609,-59.889957,0.087875023,120.59325,0.08649563,120.61604,0.27222657,-58.936836
6464,0.027943326,-59.965191,0.087849773,120.51057,0.08646372,120.58064,0.27207744,-59.026382
6465,0.027961494,-59.931503,0.087844759,120.42927,0.086386584,120.35519,0.27211574,-59.064266
6466,0.027925378,-60.194649,0.087888882,120.36075,0.086518928,120.2411,0.27223334,-59.08828
6467,0.027902368,-60.292206,0.08787442,120.28828,0.086429887,120.20124,0.27221265,-59.167244
6468,0.027901284,-60.355656,0.087839402,120.22679,0.086496018,120.06814,0.27229607,-59.235245
6469,0.028002853,-60.414356,0.087879546,120.12864,0.08646547,120.22591,0.27207208,-59.326008
6470,0.027941536,-60.493256,0.0878506,120.04028,0.086517803,120.08154,0.27190828,-59.411293
6471,0.027947748,-60.495525,0.087887928,120.01488,0.086571887,120.02558,0.27201667,-59.482944
6472,0.027951522,-60.504375,0.087885275,119.93578,0.086546168,120.00822,0.27210271,-59.51791
6473,0.027943265,-60.614647,0.087827675,119.86349,0.086570904,120.01864,0.27200678,-59.569557
6474,0.027784832,-60.624641,0.087832369,119.80216,0.086489618,119.92039,0.27201641,-59.651768
6475,0.027876114,-60.749977,0.087853439,119.72784,0.086252026,119.891,0.27184251,-59.711525
6476,0.027929386,-60.929043,0.087810032,119.68103,0.08645802,119.84531,0.27213711,-59.807148
6477,0.027948411,-60.900799,0.087794133,119.63753,0.08626736,119.69386,0.27211037,-59.839706
6478,0.027957199,-61.029381,0.08778464,119.57108,0.086365074,119.53581,0.27200517,-59.899963
6479,0.027958665,-61.05323,0.087749764,119.48774,0.086273044,119.46346,0.27210361,-59.978279
6480,0.027880171,-61.039215,0.087773368,119.41359,0.086279765,119.5245,0.27192062,-60.018978
6481,0.027843462,-61.02087,0.087797523,119.39997,0.086310588,119.42762,0.271716,-60.104073
6482,0.027900089,-61.116146,0.08775001,119.3332,0.086036757,119.22469,0.27172509,-60.195126
6483,0.027923709,-61.029785,0.087741308,119.23613,0.086163543,119.16293,0.27169633,-60.253052
6484,0.027875369,-61.129402,0.087792218,119.15354,0.086200707,119.16588,0.27172893,-60.347675
6485,0.027888253,-61.217487,0.087798752,119.102,0.086247534,119.1663,0.27166331,-60.415401
6486,0.027836706,-61.302731,0.087701239,119.01618,0.086261332,119.11254,0.27176139,-60.439007
6487,0.02783508,-61.527046,0.08764369,118.97205,0.086384661,118.84632,0.27178892,-60.52808
6488,0.027882991,-61.607307,0.087661989,118.89912,0.086379074,118.81554,0.27165946,-60.598209
6489,0.027965341,-61.582745,0.087676398,118.82034,0.086336888,118.82976,0.27155799,-60.664799
6490,0.027941652,-61.649662,0.087659858,118.72362,0.086321421,118.76228,0.27142566,-60.725769
6491,0.027876109,-61.651737,0.087693617,118.67861,0.086210437,118.60667,0.27158037,-60.772316
6492,0.027824931,-61.741776,0.087743916,118.60399,0.086133391,118.64309,0.27155218,-60.860626
6493,0.027845031,-61.858391,0.087660618,118.55832,0.086151339,118.57394,0.27151743,-60.924114
6494,0.027825629,-61.884003,0.087664902,118.48658,0.086258397,118.5095,0.27164644,-60.994698
6495,0.027882909,-62.033512,0.087670334,118.3893,0.086402737,118.46195,0.27166122,-61.033409
6496,0.02788966,-62.133396,0.087645419,118.31613,0.086279429,118.27685,0.2714031,-61.105251
6497,0.027851703,-62.131844,0.087636955,118.26074,0.086223088,118.13356,0.27141017,-61.153019
6498,0.027860517,-62.208656,0.087560348,118.16586,0.086376019,118.17465,0.27151424,-61.233597
6499,0.027807897,-62.234348,0.087546445,118.11773,0.086382605,118.13765,0.27133691,-61.324196
6500,0.027825519,-62.304539,0.087606683,118.05009,0.086322814,117.97523,0.27137023,-61.41996
6501,0.027842838,-62.581207,0.087589324,117.96198,0.086380392,118.00072,0.27143392,-61.497456
6502,0.027832033,-62.659122,0.087605521,117.92117,0.086083584,117.99249,0.27126756,-61.578716
6503,0.0278315,-62.542263,0.087616809,117.86471,0.086128809,117.95313,0.2713587,-61.622494
6504,0.027807839,-62.611614,0.087597236,117.791,0.086218439,117.80521,0.27137128,-61.675758
6505,0.027829569,-62.645294,0.087552935,117.74417,0.086220443,117.797,0.27145529,-61.724911
6506,0.027939927,-62.749474,0.087592475,117.69032,0.086253032,117.75123,0.2714279,-61.779736
6507,0.027873354,-62.924603,0.087599471,117.58648,0.086066224,117.72927,0.27145654,-61.860729
6508,0.027801631,-62.927952,0.087516688,117.51527,0.086195953,117.6236,0.27141294,-61.899483
6509,0.027820274,-63.001461,0.087492228,117.4889,0.086315267,117.57792,0.27126333,-61.979694
6510,0.027760208,-62.993416,0.08755444,117.4304,0.086143486,117.52206,0.27108425,-62.03727
6511,0.02778912,-63.006908,0.087579429,117.34612,0.086265102,117.42782,0.27098438,-62.099968
6512,0.027797332,-62.981049,0.08754658,117.26592,0.086075261,117.34547,0.27120188,-62.202419
6513,0.02785005,-63.117439,0.08753556,117.21449,0.085959345,117.29156,0.27113497,-62.253689
6514,0.027834412,-63.229286,0.087547399,117.14939,0.086104907,117.13737,0.27115798,-62.327179
6515,0.027800161,-63.170353,0.087497145,117.05327,0.08602488,117.0778,0.27103552,-62.380081
6516,0.027770348,-63.212666,0.087477781,116.97736,0.086097918,116.91899,0.27118546,-62.420391
6517,0.027815258,-63.447147,0.087446004,116.93626,0.08619874,116.90273,0.27096292,-62.517109
6518,0.027835058,-63.747852,0.087478973,116.86504,0.086047947,116.89305,0.27079472,-62.595627
6519,0.027733982,-63.636757,0.08742924,116.78732,0.08596471,116.85558,0.27091467,-62.662979
6520,0.027739285,-63.67786,0.087390229,116.75274,0.085929796,116.73795,0.27109507,-62.729961
6521,0.027821936,-63.882412,0.08740215,116.69257,0.085761555,116.77135,0.2709986,-62.786312
6522,0.027850017,-63.96701,0.087424934,116.57204,0.085937262,116.62541,0.27095413,-62.879139
6523,0.027795656,-64.055779,0.087483205,116.49652,0.086278796,116.53368,0.27077481,-62.95282
6524,0.027833633,-64.092682,0.087461874,116.46678,0.086178415,116.53503,0.27074274,-63.008862
6525,0.027849946,-64.070374,0.087459594,116.4184,0.086117409,116.33981,0.27098414,-63.050373
6526,0.027801206,-63.902027,0.087427363,116.31991,0.08619716,116.2121,0.27100551,-63.129871
6527,0.027774734,-64.043671,0.087431736,116.28101,0.086059928,116.25386,0.27090576,-63.227776
6528,0.027827373,-64.278496,0.087477982,116.19893,0.086008176,116.13816,0.27084914,-63.289642
6529,0.027800715,-64.157173,0.087446325,116.15405,0.086225249,116.10461,0.27073997,-63.338238
6530,0.027762651,-64.155602,0.08739832,116.06917,0.085981265,116.09686,0.27068037,-63.433807
6531,0.027806105,-64.432877,0.087376215,115.9909,0.086104982,115.99493,0.27056101,-63.482758
6532,0.027747516,-64.556465,0.087405309,115.9373,0.085900649,115.9302,0.2707184,-63.540512
6533,0.02771996,-64.633865,0.087417871,115.85277,0.085805841,115.99445,0.27090448,-63.613472
6534,0.027764812,-64.713371,0.08744891,115.81198,0.085920021,115.92399,0.27094623,-63.63903
6535,0.027748868,-64.778976,0.087349668,115.70922,0.086104088,115.65602,0.27077025,-63.756859
6536,0.027721768,-64.841927,0.087427273,115.66411,0.086035527,115.69724,0.2707313,-63.821659
6537,0.027763873,-64.793732,0.08741352,115.58089,0.085962154,115.73109,0.27068007,-63.878666
6538,0.027698578,-64.900993,0.087350041,115.50962,0.08599972,115.74533,0.27049842,-63.910011
6539,0.027682669,-65.030945,0.087360471,115.48558,0.086046137,115.53422,0.27035567,-64.002121
6540,0.027750071,-65.028809,0.087426923,115.41776,0.085987061,115.31902,0.27049741,-64.092911
6541,0.027785501,-65.179337,0.087394543,115.33929,0.085927904,115.31492,0.27051184,-64.155098
6542,0.027802769,-65.201752,0.087280855,115.26414,0.086111844,115.26525,0.27065685,-64.214661
6543,0.027765017,-65.328705,0.087341584,115.16242,0.086168155,115.18106,0.27046064,-64.289162
6544,0.027709331,-65.439217,0.087372683,115.12338,0.08589188,115.14996,0.27047256,-64.349319
6545,0.027731378,-65.520668,0.087340899,115.05305,0.085840076,115.00233,0.2705839,-64.396721
6546,0.027737409,-65.421402,0.087259069,114.98869,0.085715413,114.98053,0.27049538,-64.468056
6547,0.02782565,-65.523499,0.087247111,114.91601,0.085876606,114.97071,0.27027884,-64.563957
6548,0.027811514,-65.602844,0.087285735,114.82587,0.085821114,114.72746,0.27021903,-64.646965
6549,0.027789703,-65.592476,0.087293856,114.76531,0.085843809,114.76352,0.27020231,-64.700859
6550,0.027783364,-65.858383,0.087295406,114.69276,0.085803494,114.77948,0.27035597,-64.760574
6551,0.027705723,-65.944946,0.087280586,114.60684,0.085666575,114.66131,0.27046502,-64.839485
6552,0.027714249,-65.626556,0.087261721,114.55535,0.085609004,114.55421,0.27043006,-64.909676
6553,0.027735507,-65.687592,0.087225355,114.4853,0.085800543,114.52682,0.27039999,-64.979332
6554,0.02772275,-65.934067,0.087241493,114.40827,0.085828155,114.43787,0.27014989,-65.023575
6555,0.027715677,-66.140251,0.087232225,114.37639,0.085701406,114.34775,0.27006295,-65.062225
6556,0.027748954,-66.328636,0.087200224,114.31158,0.085565105,114.33187,0.27023306,-65.128784
6557,0.027673284,-66.24971,0.087219171,114.2598,0.085709117,114.26315,0.27027026,-65.266121
6558,0.027649175,-66.215332,0.087205864,114.21249,0.085884593,114.22226,0.27008855,-65.297318
6559,0.027684638,-66.318443,0.087214828,114.08277,0.086018294,114.1915,0.26988453,-65.332901
6560,0.027696097,-66.449532,0.087204002,114.00848,0.085910775,114.05604,0.26987734,-65.420334
6561,0.027687792,-66.493118,0.087199457,113.92166,0.08562763,114.00597,0.26999074,-65.50061
6562,0.027653184,-66.334305,0.087225333,113.89347,0.085750692,113.88396,0.26998332,-65.579498
6563,0.027665377,-66.535828,0.087264732,113.83575,0.085600317,113.79113,0.26987875,-65.649132
6564,0.027765574,-66.761139,0.087179944,113.7439,0.085550845,113.64402,0.26992348,-65.67807
6565,0.027719248,-66.660645,0.087110497,113.65913,0.085728265,113.56488,0.27000299,-65.742172
6566,0.027728006,-66.588387,0.087100431,113.63186,0.085790731,113.51675,0.27001724,-65.823883
6567,0.027700093,-66.787918,0.087110616,113.56728,0.085848048,113.50627,0.26975998,-65.907372
6568,0.027660472,-66.924477,0.087144546,113.48675,0.086016841,113.54427,0.26978579,-65.963852
6569,0.027669933,-67.04612,0.087159939,113.39584,0.086005978,113.45936,0.26979619,-66.038521
6570,0.02768423,-67.184372,0.087144807,113.35342,0.08582215,113.40474,0.2698561,-66.118996
6571,0.027733093,-67.121758,0.087111399,113.29836,0.085806668,113.34181,0.26980168,-66.185593
6572,0.027734134,-67.143982,0.087090455,113.22307,0.085646518,113.21089,0.26983938,-66.247948
6573,0.027645782,-67.133095,0.087062992,113.13126,0.085589528,113.06434,0.2701343,-66.289474
6574,0.027643818,-67.095337,0.087088399,113.0724,0.085648365,113.05484,0.26991999,-66.378532
6575,0.027650928,-67.372528,0.087120257,113.03477,0.085583821,113.08282,0.26984793,-66.440804
6576,0.027756432,-67.279907,0.087088451,112.97849,0.085706912,113.06004,0.26985079,-66.517059
6577,0.02772283,-67.505814,0.087085359,112.90141,0.085775919,113.03361,0.26975384,-66.571533
6578,0.027664253,-67.59684,0.087068461,112.79759,0.085852213,112.87818,0.26966241,-66.594063
6579,0.027646257,-67.608788,0.087006561,112.76147,0.085839875,112.75475,0.26975462,-66.663033
6580,0.027691474,-67.66143,0.086978242,112.70493,0.08578568,112.79527,0.26982796,-66.785118
6581,0.027675787,-67.870811,0.087033175,112.61745,0.085742593,112.61068,0.26976439,-66.845757
6582,0.027626993,-67.975578,0.087085299,112.5435,0.085735485,112.54284,0.26940933,-66.903419
6583,0.027657939,-67.970421,0.087012045,112.46446,0.08579471,112.55395,0.26958904,-66.935402
6584,0.027710995,-68.002548,0.086973466,112.42386,0.085551396,112.48067,0.26958433,-66.999352
6585,0.027706521,-68.053688,0.087021895,112.3747,0.085444637,112.29365,0.2694346,-67.08506
6586,0.027671726,-68.203758,0.087044679,112.28141,0.08556734,112.23437,0.26944467,-67.196159
6587,0.027638569,-68.440094,0.087017432,112.19028,0.08574035,112.20414,0.26942962,-67.279869
6588,0.027655689,-68.36763,0.087017395,112.13086,0.085777871,112.2141,0.26942685,-67.35524
6589,0.027707411,-68.383347,0.08700043,112.11842,0.085498571,112.16414,0.26951709,-67.410019
6590,0.027738187,-68.448776,0.086991787,112.00123,0.085642748,112.02663,0.269335,-67.47242
6591,0.027588539,-68.459869,0.086989433,111.91815,0.085658416,111.84143,0.26928121,-67.530243
6592,0.027615974,-68.451294,0.087032571,111.88698,0.085610136,111.92262,0.26934707,-67.596207
6593,0.027642753,-68.571846,0.086928532,111.79242,0.085803494,111.84356,0.26945528,-67.674919
6594,0.027596656,-68.646233,0.086899064,111.70016,0.085883282,111.77858,0.26948753,-67.692329
6595,0.027764447,-68.719223,0.086968251,111.64837,0.085793547,111.68687,0.26933861,-67.810249
6596,0.027718633,-68.819244,0.086901799,111.63746,0.085586272,111.61651,0.26928258,-67.848091
6597,0.027609637,-68.959763,0.086903028,111.55133,0.085517272,111.52322,0.26917785,-67.85997
6598,0.027581897,-68.880867,0.086939521,111.44245,0.085430063,111.39832,0.26910093,-67.996063
6599,0.027620571,-68.926605,0.086924978,111.33353,0.085403904,111.45026,0.26911479,-68.076019
6600,0.027665671,-69.170197,0.086859971,111.28941,0.085617207,111.51449,0.26906151,-68.126884
6601,0.027703037,-69.182594,0.086876333,111.24744,0.085831165,111.40343,0.26903805,-68.229767
6602,0.027633691,-69.142693,0.086957507,111.1864,0.085468307,111.2412,0.26905975,-68.267441
6603,0.027585834,-69.239807,0.086903624,111.12011,0.085387416,111.26917,0.26915771,-68.340431
6604,0.027605779,-69.364441,0.086874247,111.07924,0.085383505,111.25921,0.26908624,-68.400932
6605,0.027612643,-69.422821,0.086860597,111.00978,0.085418642,111.19455,0.26907465,-68.492065
6606,0.027654346,-69.321167,0.086851552,110.94365,0.085525334,111.00883,0.26916909,-68.53968
6607,0.027632348,-69.606232,0.086817071,110.90514,0.085565284,110.75417,0.2692723,-68.59034
6608,0.027574826,-69.588448,0.086786948,110.84342,0.085392721,110.75304,0.26924673,-68.661095
6609,0.027607562,-69.70076,0.086844586,110.70928,0.085374855,110.7336,0.26904288,-68.738853
6610,0.027618131,-69.847893,0.08683905,110.63786,0.085435323,110.70567,0.26895046,-68.814285
6611,0.027612802,-69.834465,0.086822197,110.57613,0.085432403,110.58756,0.26885018,-68.878563
6612,0.027531594,-69.884476,0.08681342,110.52206,0.085399419,110.59207,0.26887816,-68.944664
6613,0.027587481,-69.910027,0.08683984,110.45737,0.085326709,110.47865,0.26883125,-68.983841
6614,0.027580608,-69.995689,0.086851835,110.3914,0.085228711,110.30446,0.26884183,-69.030014
6615,0.027562829,-70.06147,0.0868285,110.34858,0.085556433,110.34776,0.2687794,-69.133621
6616,0.027582977,-70.081757,0.086756326,110.25925,0.085710779,110.2294,0.26883695,-69.223274
6617,0.027620826,-70.242416,0.086765774,110.16132,0.085590363,110.18707,0.26880899,-69.254753
6618,0.027696678,-70.402527,0.08675687,110.10578,0.08558996,110.12801,0.26888379,-69.322418
6619,0.027593067,-70.40332,0.086738504,110.07241,0.085403316,110.16567,0.26897117,-69.439186
6620,0.027538946,-70.573708,0.086760685,110.00039,0.085415542,110.02122,0.26873109,-69.517342
6621,0.027661528,-70.539955,0.086723506,109.94196,0.085209519,109.79592,0.26875728,-69.546021
6622,0.027608184,-70.520226,0.086734653,109.86346,0.085268617,109.7804,0.26855612,-69.585823
6623,0.027566459,-70.61087,0.086720087,109.79503,0.085355088,109.91219,0.26856551,-69.67086
6624,0.027616447,-70.825089,0.086722404,109.69825,0.085331015,109.69087,0.26865599,-69.728058
6625,0.027604062,-70.852219,0.086703554,109.64928,0.08529298,109.51249,0.26862243,-69.812759
6626,0.027524333,-70.831055,0.086689495,109.59174,0.085277952,109.65376,0.26862186,-69.898727
6627,0.027533641,-70.94722,0.086673968,109.5101,0.085286297,109.61343,0.2686688,-69.933044
6628,0.027618494,-71.022896,0.086664654,109.42852,0.085353352,109.54324,0.26859325,-70.038368
