Frequency,Response,
2.947606e-02,-4.0460592486266913-427438.6495429181377403j,
2.995549e-02,-4.9605614215916489-434390.9728829602827318j,
3.044272e-02,-5.0815299206048739-441456.3805809229961596j,
3.093788e-02,-2.5362096269781036-448636.7242531413212419j,
3.144108e-02,-2.8804728741414469-455933.8394251582212746j,
3.195248e-02,-6.5642856448117257-463349.6210857776459306j,
3.247218e-02,-6.5253129386313384-470886.0453014132799581j,
3.300035e-02,-6.9899897524174905-478545.0467547349398956j,
3.353710e-02,-1.0056789478455659-486328.6655053680296987j,
3.408259e-02,-5.4611227258531558-494238.8152732028393075j,
3.463694e-02,-5.6289905350570244-502277.6534580542938784j,
3.520031e-02,-7.8077587018249304-510447.2301200180663727j,
3.577285e-02,-5.1651626061129434-518749.7198678022250533j,
3.635470e-02,-6.1593003327271489-527187.2237387993372977j,
3.694601e-02,-7.4767495296090480-535761.9630827545188367j,
3.754694e-02,-8.7234898357878325-544476.1708100417163223j,
3.815765e-02,-9.6205080871466890-553332.1191573773976415j,
3.877828e-02,-7.6852204652666734-562332.1316851638257504j,
3.940902e-02,-6.1997118005437333-571478.5269989396911114j,
4.005001e-02,-4.6788209412078361-580773.6898571624187753j,
4.070142e-02,-6.7844060613914099-590220.0099582595285028j,
4.136344e-02,-10.3583662842495308-599819.9632961505558342j,
4.203622e-02,-7.2954795079083183-609576.1160960381384939j,
4.271994e-02,-9.6009097252073481-619490.9080103712622076j,
4.341478e-02,-6.5946386514520245-629567.0109569672495127j,
4.412093e-02,-8.0490885961764853-639806.9634269305970520j,
4.483856e-02,-11.9551005594988347-650213.4479525296483189j,
4.556786e-02,-8.2708076803791535-660789.2634451769990847j,
4.630903e-02,-10.2495265114321708-671537.0437098362017423j,
4.706225e-02,-11.1228381707160242-682459.6479426175355911j,
4.782772e-02,-10.7593930773845905-693559.9211575108347461j,
4.860564e-02,-11.1127919818255485-704840.7342851870926097j,
4.939622e-02,-7.9098224894246503-716305.0658830925822258j,
5.019965e-02,-14.3005419390024215-727955.7703149991575629j,
5.101615e-02,-9.3300703260985696-739796.0896308012306690j,
5.184594e-02,-12.6273234892396324-751828.9082339663291350j,
5.268921e-02,-13.0401870763804411-764057.4716033702716231j,
5.354621e-02,-13.4482334015355089-776484.9332692846655846j,
5.441714e-02,-10.8346603380010187-789114.5622372571378946j,
5.530224e-02,-15.7152520321415654-801949.5310796960256994j,
5.620174e-02,-18.0560094824673243-814993.2898749061860144j,
5.711586e-02,-13.9400399270512452-828249.2790619009174407j,
5.804486e-02,-11.6258445428699630-841720.8582406677305698j,
5.898896e-02,-19.6526840180192508-855411.4333053141599521j,
5.994843e-02,-24.5719192537034985-869324.7226516475202516j,
6.092349e-02,-13.0378905456946246-883464.5122167631052434j,
6.191442e-02,-16.4696325726446631-897834.1038836208172143j,
6.292146e-02,-18.5469994319172571-912437.4350628436077386j,
6.394488e-02,-22.8132501870402464-927278.2631927088368684j,
6.498495e-02,-19.8536494058602315-942360.5718526996206492j,
6.604194e-02,-20.4521213410046414-957688.1484764546621591j,
6.711612e-02,-21.0969951577354955-973265.0292309073265642j,
6.820777e-02,-17.9745955866440994-989095.3220886028138921j,
6.931717e-02,-23.9094221516731409-1005182.9705898405518383j,
7.044462e-02,-17.3171223710006785-1021532.4623716535279527j,
7.159041e-02,-20.0015510585064646-1038147.7485183277167380j,
7.275484e-02,-19.6369859593123692-1055033.3288062191568315j,
7.393820e-02,-26.4806128010446891-1072193.4472715430893004j,
7.514081e-02,-30.7531966129010357-1089632.7143443564418703j,
7.636298e-02,-17.5123443991727719-1107355.8996546939015388j,
7.760503e-02,-27.4423694414995936-1125366.9977655832190067j,
7.886729e-02,-32.7059958220248959-1143671.1203381023369730j,
8.015007e-02,-32.9709804168286311-1162273.0411316715180874j,
8.145372e-02,-33.1027227834016244-1181177.5252513797022402j,
