Frequency,Response,
3.058338e-01,45115.5388019559904933+32.5422216561983646j,
3.108082e-01,45115.0418540658429265+24.7281664527704947j,
3.158635e-01,45111.7370483493432403-23.3398048347212352j,
3.210011e-01,45113.2080488400533795-2.2862285616361362j,
3.262222e-01,45113.2006229227408767-2.3696436092338047j,
3.315282e-01,45113.2003833316266537-2.4075805697553960j,
3.369206e-01,45113.1956652337685227-2.4455288032858107j,
3.424006e-01,45113.2059436775743961-2.2551009355433109j,
3.479698e-01,45114.8097065016627312+18.1221668471200132j,
3.536296e-01,45113.1689180396497250-2.7265759840872761j,
3.593814e-01,45114.8636852968484163+17.9930150812153897j,
3.652267e-01,45113.1787959719076753-2.6694725928937828j,
3.711672e-01,45115.5745430812239647+25.4507667055373759j,
3.772042e-01,45113.1867611408233643-2.5656718253320037j,
3.833395e-01,45113.1628977376967669-2.7744914655597199j,
3.895746e-01,45113.1641868362203240-2.7250315210238227j,
3.959110e-01,45113.1327351350337267-3.0535892319703066j,
4.023506e-01,45115.2912160046398640+19.6665170932873821j,
4.088948e-01,45110.9367174375802279-25.6456242370871905j,
4.155455e-01,45115.3277334431186318+19.0635582544065869j,
4.223044e-01,45113.1301426710560918-3.0705149888719347j,
4.291732e-01,45110.8246831474825740-25.1247828799516242j,
4.361538e-01,45115.4686028324067593+18.9183273429780456j,
4.432479e-01,45115.5579292774200439+19.2533159676432888j,
4.504573e-01,45119.2554795071482658+51.7754282271410489j,
4.577841e-01,45107.0895519945770502-55.6919574652135907j,
4.652300e-01,45110.2771971011534333-27.2870602984212951j,
4.727970e-01,45113.0811901194974780-3.3741294405335793j,
4.804870e-01,45113.0756841609254479-3.3799803000074462j,
4.883022e-01,45109.9100254047662020-28.4067660627821965j,
4.962445e-01,45116.1485743122175336+20.2275351278611879j,
5.043159e-01,45113.0509314294904470-3.5888507911666352j,
5.125187e-01,45113.0348731800913811-3.6923287185956042j,
5.208549e-01,45116.6706851730123162+22.1301848487377129j,
5.293266e-01,45111.1427223971113563-16.6499322473288771j,
5.379362e-01,45113.0399129381403327-3.6384707981831639j,
5.466857e-01,45112.9853378534317017-3.8731864443074642j,
5.555776e-01,45112.9747028257697821-3.9785091651054358j,
5.646141e-01,45117.4627637723460793+23.4796669043466864j,
5.737976e-01,45112.9488475425168872-4.0502931192091296j,
5.831305e-01,45112.9573017749935389-3.8962533903270469j,
5.926152e-01,45108.0301187820732594-31.3283786329525924j,
6.022541e-01,45118.0338958837091923+23.2918997775304319j,
6.120498e-01,45110.0765396691858768-18.8474193487001003j,
6.220049e-01,45118.4895233316347003+23.8619289225675857j,
6.321218e-01,45106.8324574595317245-33.3286286317677423j,
6.424034e-01,45119.4129673577845097+26.1478664924086956j,
6.528521e-01,45112.7917176885530353-4.5393908549635853j,
6.634708e-01,45112.7833849191665649-4.5322657344951836j,
6.742622e-01,45104.6843465529382229-37.7870083611842915j,
