Frequency,R = 0.990000,R = 0.999000,R = 0.999900,
2.961225e-01,0.0002451044062908+0.0000035170894808j,0.0000612164026547+0.0000034966119356j,0.0000400958767956+0.0000038183384976j,
3.009390e-01,0.0002444610373564+0.0000033312915818j,0.0000605047904524+0.0000034605047361j,0.0000393598484248+0.0000040538425744j,
3.058338e-01,0.0002437764819980+0.0000033811176934j,0.0000598235104426+0.0000032663240890j,0.0000386351624366+0.0000042295860691j,
3.108082e-01,0.0002431076928149+0.0000034691605089j,0.0000590619152246+0.0000041596849997j,0.0000379368599097+0.0000042077046314j,
3.158635e-01,0.0002425136035584+0.0000038678836752j,0.0000583772819231+0.0000041240269481j,0.0000372480600861+0.0000042054827577j,
3.210011e-01,0.0002418782236436+0.0000039425995055j,0.0000576939221174+0.0000042444189283j,0.0000365860937848+0.0000040100609566j,
3.262222e-01,0.0002412211355992+0.0000035209752685j,0.0000570567563757+0.0000037745707416j,0.0000359050784079+0.0000041112098430j,
3.315282e-01,0.0002405644679047+0.0000038839645377j,0.0000563865323520+0.0000038885474170j,0.0000352246474323+0.0000042814143189j,
3.369206e-01,0.0002399975021475+0.0000039811119438j,0.0000557194102039+0.0000041533026384j,0.0000345831762797+0.0000041652356948j,
3.424006e-01,0.0002394654567570+0.0000042689420753j,0.0000550807437821+0.0000041065298364j,0.0000339685376166+0.0000038912711425j,
3.479698e-01,0.0002387758851400+0.0000040268722682j,0.0000544318744168+0.0000043157363220j,0.0000333220546195+0.0000039924314213j,
3.536296e-01,0.0002382908922395+0.0000043846310382j,0.0000538060008244+0.0000043265646696j,0.0000326374045055+0.0000044953916087j,
3.593814e-01,0.0002376420654572+0.0000041339750662j,0.0000531928811395+0.0000042560701343j,0.0000319382580602+0.0000051538026510j,
3.652267e-01,0.0002370344973134+0.0000040675259545j,0.0000526040090472+0.0000040465453118j,0.0000314072984118+0.0000044680114516j,
3.711672e-01,0.0002365467587788+0.0000044006334430j,0.0000519281035612+0.0000049006431887j,0.0000307874948787+0.0000045942689326j,
3.772042e-01,0.0002359275325043+0.0000045463694855j,0.0000513677958857+0.0000045058554070j,0.0000301818971378+0.0000046595595667j,
3.833395e-01,0.0002353639146630+0.0000041452635147j,0.0000507975439484+0.0000043449759965j,0.0000296629708595+0.0000041600197703j,
3.895746e-01,0.0002347840648383+0.0000042235602560j,0.0000501857550256+0.0000046238456699j,0.0000289355046078+0.0000051892335929j,
3.959110e-01,0.0002342457430134+0.0000043551559869j,0.0000496008432533+0.0000047423203579j,0.0000283983265683+0.0000049160695221j,
4.023506e-01,0.0002337843137551+0.0000046583097186j,0.0000490328284256+0.0000047670570064j,0.0000278547430646+0.0000047705265408j,
4.088948e-01,0.0002333937666490+0.0000049060156109j,0.0000484727921274+0.0000047762638164j,0.0000272023968186+0.0000053435414154j,
4.155455e-01,0.0002327543622432+0.0000046073065288j,0.0000478917234169+0.0000050617386137j,0.0000267139995429+0.0000049501752406j,
4.223044e-01,0.0002321597567387+0.0000046157232304j,0.0000473507910957+0.0000049938445610j,0.0000261138063643+0.0000052587570558j,
4.291732e-01,0.0002316410426888+0.0000044473171314j,0.0000468407615642+0.0000047839761319j,0.0000256373980508+0.0000048985661299j,
4.361538e-01,0.0002312206502254+0.0000047937301537j,0.0000462564292803+0.0000051636155629j,0.0000250191976400+0.0000053569162975j,
4.432479e-01,0.0002307029750780+0.0000050861326579j,0.0000456757394863+0.0000055759234249j,0.0000244849642373+0.0000053846430690j,
4.504573e-01,0.0002301569468211+0.0000050081967847j,0.0000452976213766+0.0000046896827113j,0.0000239218320954+0.0000055938239260j,
4.577841e-01,0.0002298424433305+0.0000053550684910j,0.0000446430956013+0.0000055340645101j,0.0000234746838305+0.0000052732778902j,
4.652300e-01,0.0002292608784490+0.0000052574102369j,0.0000441303491068+0.0000055286663769j,0.0000229476470010+0.0000053640259121j,
4.727970e-01,0.0002287168920720+0.0000051051046983j,0.0000436692088906+0.0000053141956920j,0.0000224306024338+0.0000054373503241j,
4.804870e-01,0.0002282490725427+0.0000050290329522j,0.0000430735764159+0.0000058896387082j,0.0000218813950020+0.0000056628056240j,
4.883022e-01,0.0002277922617569+0.0000053560510370j,0.0000426769769192+0.0000053991910543j,0.0000213991187319+0.0000056311889988j,
4.962445e-01,0.0002273036048492+0.0000052715802800j,0.0000421426240813+0.0000056229995362j,0.0000208744784323+0.0000057905782690j,
5.043159e-01,0.0002268730710393+0.0000055382785438j,0.0000416477492490+0.0000056915753045j,0.0000204481884094+0.0000056085775580j,
5.125187e-01,0.0002264000069005+0.0000056101995308j,0.0000411520493468+0.0000058344062684j,0.0000199134722427+0.0000058334711998j,
5.208549e-01,0.0002259435224126+0.0000057594038857j,0.0000406599393233+0.0000059135223817j,0.0000193894053750+0.0000060280496067j,
5.293266e-01,0.0002255130577572+0.0000057159367205j,0.0000401861430016+0.0000059731654088j,0.0000189828107119+0.0000058563958903j,
5.379362e-01,0.0002250940276368+0.0000058423503906j,0.0000397085404200+0.0000060607162528j,0.0000184455848158+0.0000061167622349j,
5.466857e-01,0.0002246784858597+0.0000058299007906j,0.0000392529466062+0.0000060809155525j,0.0000179832150835+0.0000061509009071j,
5.555776e-01,0.0002242532868064+0.0000060227203971j,0.0000387471462236+0.0000063067449031j,0.0000175403956226+0.0000061578030502j,
5.646141e-01,0.0002237966812930+0.0000060405300783j,0.0000383376154669+0.0000061814383653j,0.0000170117626263+0.0000064062204895j,
5.737976e-01,0.0002233303099141+0.0000061160421883j,0.0000378018282279+0.0000065225959810j,0.0000165684591888+0.0000064325243378j,
5.831305e-01,0.0002228827488131+0.0000062127850217j,0.0000374053414390+0.0000064087352760j,0.0000162111082473+0.0000062716669258j,
5.926152e-01,0.0002225109180480+0.0000064008369992j,0.0000369167275610+0.0000065972055132j,0.0000156416175103+0.0000066226199902j,
6.022541e-01,0.0002221736337354+0.0000068361732838j,0.0000364617202555+0.0000067051903965j,0.0000152483880293+0.0000065797276980j,
6.120498e-01,0.0002219190767417+0.0000066801304271j,0.0000360452968678+0.0000067032434586j,0.0000147955741630+0.0000066775445148j,
6.220049e-01,0.0002214922399446+0.0000065104436930j,0.0000355638431206+0.0000069022384510j,0.0000143770072040+0.0000067198301318j,
6.321218e-01,0.0002207736170661+0.0000067508960034j,0.0000351329836182+0.0000069422006286j,0.0000138375395459+0.0000069912133550j,
6.424034e-01,0.0002205534232578+0.0000067980731860j,0.0000347443849963+0.0000069429349946j,0.0000134624111882+0.0000069613331548j,
6.528521e-01,0.0002201007229995+0.0000070249859725j,0.0000342922250749+0.0000070827988804j,0.0000128916672612+0.0000072816917411j,
6.634708e-01,0.0002195672469978+0.0000071657403266j,0.0000339258254290+0.0000070359924780j,0.0000125364462804+0.0000072467253655j,
6.742622e-01,0.0002191685319996+0.0000065220099013j,0.0000335214226040+0.0000070830802370j,0.0000121895751444+0.0000072136951328j,
6.852292e-01,0.0002187063951541+0.0000070190879218j,0.0000328620240556+0.0000076620294275j,0.0000117243664731+0.0000073681015653j,
6.963745e-01,0.0002184568732956+0.0000071371351926j,0.0000325409733977+0.0000075419260240j,0.0000112291222525+0.0000075597466512j,
7.077011e-01,0.0002179452140927+0.0000074268584861j,0.0000321018760878+0.0000076703422959j,0.0000109678428169+0.0000074573031529j,
7.192119e-01,0.0002175845646372+0.0000074379221099j,0.0000316961261352+0.0000077525050102j,0.0000104704239463+0.0000076535302495j,
7.309099e-01,0.0002172350693408+0.0000071442798768j,0.0000312932223967+0.0000078366663139j,0.0000100604583910+0.0000077517398478j,
7.427982e-01,0.0002170461179534+0.0000076778381356j,0.0000308303353596+0.0000079944412416j,0.0000095453594923+0.0000079645016051j,
7.548799e-01,0.0002165260903550+0.0000073018011417j,0.0000305433885448+0.0000079567159825j,0.0000092226760765+0.0000079781701228j,
7.671581e-01,0.0002159998879750+0.0000078197373555j,0.0000300465770822+0.0000081513956249j,0.0000086347811199+0.0000082459149436j,
7.796360e-01,0.0002158318899909+0.0000080190720281j,0.0000296424923333+0.0000082530870505j,0.0000083661358591+0.0000082310382873j,
7.923169e-01,0.0002155392160555+0.0000085575136737j,0.0000294515274528+0.0000081988221803j,0.0000078231831357+0.0000084470113744j,
8.052040e-01,0.0002148882751692+0.0000079092257738j,0.0000288385230394+0.0000084768036667j,0.0000074063386034+0.0000085640964103j,
8.183007e-01,0.0002144475945101+0.0000077469264570j,0.0000284442846717+0.0000085750057258j,0.0000070448325773+0.0000086443383659j,
8.316104e-01,0.0002143544980373+0.0000080763147608j,0.0000280653541583+0.0000086856039658j,0.0000066543614828+0.0000087514110369j,
8.451366e-01,0.0002136258560963+0.0000077925884156j,0.0000277131774785+0.0000087896505825j,0.0000061200626191+0.0000089368018534j,
8.588829e-01,0.0002135421901053+0.0000083861776298j,0.0000272555847501+0.0000089346522441j,0.0000057357322781+0.0000090399719137j,
8.728527e-01,0.0002130696341408+0.0000082342900609j,0.0000268406488677+0.0000090731725613j,0.0000054286769408+0.0000091253721299j,
8.870497e-01,0.0002126451314417+0.0000090087455985j,0.0000263949014927+0.0000092433616295j,0.0000049459382609+0.0000092739753201j,
9.014776e-01,0.0002122239419530+0.0000082526600946j,0.0000260845025382+0.0000093130209093j,0.0000046675574008+0.0000093654879155j,
9.161402e-01,0.0002117145338909+0.0000092612476011j,0.0000260866877356+0.0000093259832612j,0.0000044802559643+0.0000094456022789j,
9.310413e-01,0.0002115291351346+0.0000090707493214j,0.0000254484488048+0.0000095651595004j,0.0000039441206929+0.0000096198574623j,
9.461848e-01,0.0002112405051547+0.0000089314188390j,0.0000249492134341+0.0000097342583322j,0.0000035245021730+0.0000097620427472j,
9.615746e-01,0.0002108312066612+0.0000094261117780j,0.0000246838723931+0.0000098670324845j,0.0000031563011646+0.0000099095718821j,
9.772147e-01,0.0002100224349439+0.0000096642263788j,0.0000241406677426+0.0000100357601180j,0.0000028443444746+0.0000100454777185j,
9.931092e-01,0.0002098842617796+0.0000098472637228j,0.0000237915494035+0.0000101819776310j,0.0000023731252638+0.0000102069430146j,
1.009262e+00,0.0002089016425673+0.0000099727499942j,0.0000232207960524+0.0000103282817814j,0.0000020251200941+0.0000103531925190j,
1.025678e+00,0.0002090550025474+0.0000100280166819j,0.0000229984091983+0.0000104998144752j,0.0000015063050835+0.0000105052090142j,
1.042361e+00,0.0002091320605657+0.0000098673315697j,0.0000223295021345+0.0000106258569701j,0.0000008623758484+0.0000106484122537j,
1.059315e+00,0.0002082925564496+0.0000102673814430j,0.0000224384300829+0.0000108191357392j,0.0000007211317244+0.0000108279304967j,
1.076545e+00,0.0002084842884765+0.0000101071983299j,0.0000215190813026+0.0000109318313462j,0.0000002818811647+0.0000109793088246j,
1.094055e+00,0.0002079376374638+0.0000104768434554j,0.0000212934636138+0.0000111315945580j,-0.0000002869478417+0.0000111112732777j,
1.111850e+00,0.0002076072399305+0.0000112389182283j,0.0000209054122008+0.0000113262965378j,-0.0000008050377532+0.0000112443333214j,
1.129934e+00,0.0002072771858668+0.0000109725938201j,0.0000202277755086+0.0000113842108484j,-0.0000011426762681+0.0000114231619700j,
1.148312e+00,0.0002071006142790+0.0000114172653133j,0.0000198688636405+0.0000115653129876j,-0.0000015268923463+0.0000115932613125j,
1.166990e+00,0.0002068679934293+0.0000112081608938j,0.0000193222650321+0.0000116780045767j,-0.0000020011252443+0.0000117425711992j,
1.185971e+00,0.0002064492796330+0.0000116059532491j,0.0000188221558613+0.0000118194815668j,-0.0000023629803695+0.0000119258253456j,
1.205261e+00,0.0002059099098467+0.0000115006473062j,0.0000184122115519+0.0000119643495849j,-0.0000029080758576+0.0000120520753452j,
1.224865e+00,0.0002056831346036+0.0000116207319731j,0.0000182032344906+0.0000122399822650j,-0.0000033401154463+0.0000122190839211j,
1.244787e+00,0.0002050799448193+0.0000118146092878j,0.0000176845749623+0.0000123699501181j,-0.0000037740900799+0.0000123860444760j,
1.265034e+00,0.0002048436825402+0.0000119544128331j,0.0000173035966640+0.0000125592799759j,-0.0000044599668320+0.0000124436779816j,
1.285610e+00,0.0002046372543854+0.0000118076656545j,0.0000169965130470+0.0000128161665183j,-0.0000046731498503+0.0000127169368275j,
1.306520e+00,0.0002040140252974+0.0000123614314235j,0.0000163630442001+0.0000128648145739j,-0.0000049648020956+0.0000129631068309j,
1.327771e+00,0.0002039308586423+0.0000126526304747j,0.0000158173512078+0.0000129477471073j,-0.0000056356536604+0.0000130255456783j,
1.349367e+00,0.0002035659176952+0.0000125617053467j,0.0000156152161279+0.0000132979945030j,-0.0000059608617122+0.0000132649818766j,
1.371315e+00,0.0002030065994084+0.0000129112379181j,0.0000150629054129+0.0000134135106604j,-0.0000064619404029+0.0000134199921096j,
1.393619e+00,0.0002028392124474+0.0000128314439575j,0.0000145114967872+0.0000134938545883j,-0.0000070079109432+0.0000135453878988j,
1.416287e+00,0.0002023932736822+0.0000132282743082j,0.0000139639930462+0.0000136040200451j,-0.0000073837690328+0.0000137770856260j,
1.439323e+00,0.0002017756658985+0.0000135773151975j,0.0000136973200008+0.0000139385287878j,-0.0000078820540555+0.0000139391810362j,
1.462733e+00,0.0002014891641911+0.0000135186814869j,0.0000133011505269+0.0000141787175014j,-0.0000083977554528+0.0000140930876401j,
1.486525e+00,0.0002011968830253+0.0000137147379878j,0.0000128443715376+0.0000143652630780j,-0.0000087490410725+0.0000143587057008j,
1.510703e+00,0.0002008091476721+0.0000138884746365j,0.0000122994646430+0.0000144889196607j,-0.0000092585020536+0.0000145255891074j,
1.535275e+00,0.0002004909134002+0.0000141518147063j,0.0000118356518672+0.0000146841755835j,-0.0000097725351057+0.0000146931881756j,
1.560246e+00,0.0002000247150456+0.0000144228640381j,0.0000113948514686+0.0000149118590841j,-0.0000101796471726+0.0000149405617044j,
1.585624e+00,0.0001994066009336+0.0000147159402279j,0.0000109041289216+0.0000150956414964j,-0.0000106789740482+0.0000151305195300j,
1.611414e+00,0.0001992418940929+0.0000146872363096j,0.0000104743068872+0.0000153430234874j,-0.0000112691917370+0.0000152557398210j,
1.637624e+00,0.0001988643496475+0.0000149072119263j,0.0000099388322053+0.0000154973578786j,-0.0000117127670158+0.0000154955632575j,
1.664260e+00,0.0001986236686032+0.0000148972952195j,0.0000093929735897+0.0000156430802156j,-0.0000122661998162+0.0000156588671969j,
1.691330e+00,0.0001980877225680+0.0000152440953791j,0.0000089646317597+0.0000159205326112j,-0.0000126133220010+0.0000159895102240j,
1.718839e+00,0.0001977210893775+0.0000153799752445j,0.0000085290348866+0.0000161974134979j,-0.0000132405461826+0.0000161063906179j,
1.746796e+00,0.0001973268663301+0.0000155734184004j,0.0000079304301745+0.0000163051090395j,-0.0000138824454294+0.0000162146282130j,
1.775208e+00,0.0001968784488061+0.0000158168488068j,0.0000073911662849+0.0000164859137285j,-0.0000142821404280+0.0000165273290760j,
1.804082e+00,0.0001964874784383+0.0000160426748256j,0.0000068903924736+0.0000167175521880j,-0.0000148248261116+0.0000167301112575j,
1.833425e+00,0.0001960299997463+0.0000162992971982j,0.0000063912158756+0.0000169622826912j,-0.0000152070113144+0.0000170758886775j,
1.863246e+00,0.0001956484311153+0.0000164742919096j,0.0000058671103065+0.0000171868952168j,-0.0000158759465088+0.0000171854645721j,
1.893552e+00,0.0001952266648794+0.0000166767437538j,0.0000053277237361+0.0000174027418561j,-0.0000163641549313+0.0000174591076149j,
1.924351e+00,0.0001949029973357+0.0000168619336139j,0.0000047228154859+0.0000175460687145j,-0.0000170972990539+0.0000175241659242j,
1.955651e+00,0.0001943348148050+0.0000171280846701j,0.0000042667901749+0.0000178844106769j,-0.0000174528264332+0.0000179322819234j,
1.987460e+00,0.0001939585601997+0.0000173274753559j,0.0000036917297588+0.0000180853833169j,-0.0000182193258630+0.0000179808929466j,
2.019786e+00,0.0001935354386475+0.0000175930481224j,0.0000030829891820+0.0000182543152464j,-0.0000187254896616+0.0000182735806464j,
2.052638e+00,0.0001930479057840+0.0000178115973368j,0.0000025407609754+0.0000185185566152j,-0.0000192809918514+0.0000185294456016j,
2.086024e+00,0.0001925810890195+0.0000180825784884j,0.0000020032769545+0.0000188036812040j,-0.0000198690775576+0.0000187658158719j,
2.119953e+00,0.0001922683030906+0.0000181641417840j,0.0000013923906032+0.0000190019884799j,-0.0000205459315762+0.0000189279718930j,
2.154435e+00,0.0001916717483127+0.0000184953477519j,0.0000008405649573+0.0000192918675516j,-0.0000210315276336+0.0000192803616142j,
2.189477e+00,0.0001911143910694+0.0000188424066884j,0.0000002370900403+0.0000195271478094j,-0.0000218279463941+0.0000193460525357j,
2.225089e+00,0.0001907948794680+0.0000189577604496j,-0.0000004110358317+0.0000197121185762j,-0.0000222948509214+0.0000197395752723j,
2.261280e+00,0.0001905272158405+0.0000190283811963j,-0.0000010189060081+0.0000199672825839j,-0.0000229270187044+0.0000199845652894j,
2.298060e+00,0.0001898253743704+0.0000194355855586j,-0.0000016170350449+0.0000202473406638j,-0.0000235684369863+0.0000202305437119j,
2.335438e+00,0.0001893988288896+0.0000196714280613j,-0.0000022981184638+0.0000204291718454j,-0.0000242548571508+0.0000204435881516j,
2.373424e+00,0.0001890385825419+0.0000198278145639j,-0.0000029350319138+0.0000206854871417j,-0.0000248702874945+0.0000207385034627j,
2.412028e+00,0.0001884879905165+0.0000201409637571j,-0.0000035555604445+0.0000209804963866j,-0.0000255167282799+0.0000210146200218j,
2.451260e+00,0.0001880572557315+0.0000202993031522j,-0.0000042630941429+0.0000211684933236j,-0.0000262508702011+0.0000212145490127j,
2.491130e+00,0.0001875157055903+0.0000205987265733j,-0.0000049111405951+0.0000214556007966j,-0.0000269486491980+0.0000214626545100j,
2.531648e+00,0.0001870903253846+0.0000208267357917j,-0.0000055852489852+0.0000217224199994j,-0.0000276561702124+0.0000217138446309j,
2.572826e+00,0.0001865593127613+0.0000210849184618j,-0.0000062617202454+0.0000220025928497j,-0.0000283715581631+0.0000219699004172j,
2.614673e+00,0.0001860603398333+0.0000213256343245j,-0.0000069931479333+0.0000222200828132j,-0.0000290430091379+0.0000222845095407j,
2.657201e+00,0.0001854851331515+0.0000216062556250j,-0.0000076908362708+0.0000225035952129j,-0.0000298326468796+0.0000224902125759j,
2.700421e+00,0.0001850317705427+0.0000218359973023j,-0.0000084508507888+0.0000227148789633j,-0.0000305485066854+0.0000227866096118j,
2.744343e+00,0.0001845202138958+0.0000220795578755j,-0.0000091652793314+0.0000230100545137j,-0.0000313426487707+0.0000230149907182j,
2.788980e+00,0.0001839580768644+0.0000223534326631j,-0.0000099199035317+0.0000232652513496j,-0.0000320837483703+0.0000233139041710j,
2.834343e+00,0.0001835103965440+0.0000225866981112j,-0.0000106910105566+0.0000235156038277j,-0.0000328869390221+0.0000235616308396j,
2.880444e+00,0.0001829008259824+0.0000228575974051j,-0.0000114562686595+0.0000237928647674j,-0.0000337212159235+0.0000237912516203j,
2.927295e+00,0.0001823616482947+0.0000231356797076j,-0.0000122340051167+0.0000240720771462j,-0.0000344924340510+0.0000241040886241j,
2.974908e+00,0.0001818484860253+0.0000233648346705j,-0.0000130104980269+0.0000243735737789j,-0.0000353154042099+0.0000243773417709j,
3.023295e+00,0.0001813307246639+0.0000236074633059j,-0.0000138513550448+0.0000246010957889j,-0.0000362115713273+0.0000245879167726j,
3.072469e+00,0.0001807742198962+0.0000238681333657j,-0.0000146697366270+0.0000248829803094j,-0.0000370342038095+0.0000248939000147j,
3.122443e+00,0.0001801966352973+0.0000241236451435j,-0.0000155157859473+0.0000251450414028j,-0.0000379131490514+0.0000251559204191j,
3.173230e+00,0.0001796210047537+0.0000243742256188j,-0.0000163833246052+0.0000253965020157j,-0.0000388101277832+0.0000254158044557j,
3.224842e+00,0.0001790288895282+0.0000246622194479j,-0.0000172318015124+0.0000256999951454j,-0.0000397209454648+0.0000256776548176j,
3.277295e+00,0.0001783828041620+0.0000249707698297j,-0.0000181254715848+0.0000259585755623j,-0.0000406158217142+0.0000259750592858j,
3.330600e+00,0.0001778871673534+0.0000251655828635j,-0.0000190442381537+0.0000262018056104j,-0.0000415892548818+0.0000262045198633j,
3.384773e+00,0.0001772570599651+0.0000254444851127j,-0.0000199460724960+0.0000264959177702j,-0.0000425138437815+0.0000265066290843j,
3.439826e+00,0.0001766665914545+0.0000256935473979j,-0.0000208784370515+0.0000267684829474j,-0.0000434904539180+0.0000267701619705j,
3.495776e+00,0.0001760436606098+0.0000259742990059j,-0.0000218329461093+0.0000270313577049j,-0.0000444735313656+0.0000270461490099j,
3.552635e+00,0.0001754114913166+0.0000262262810247j,-0.0000227929907039+0.0000273122332668j,-0.0000454897324702+0.0000273050114458j,
3.610419e+00,0.0001748203347980+0.0000264734038495j,-0.0000237888336453+0.0000275641640089j,-0.0000465107305115+0.0000275788981290j,
3.669142e+00,0.0001741588296937+0.0000267488477701j,-0.0000247868723485+0.0000278402498264j,-0.0000475701217978+0.0000278303134434j,
3.728821e+00,0.0001735419442399+0.0000269883765508j,-0.0000258043491078+0.0000281135938939j,-0.0000486232281746+0.0000281100540695j,
3.789471e+00,0.0001728653519960+0.0000272589593752j,-0.0000268504720157+0.0000283707046277j,-0.0000497246599003+0.0000283568987349j,
3.851107e+00,0.0001722052985300+0.0000275257782066j,-0.0000279173863866+0.0000286240203895j,-0.0000508019725310+0.0000286530931603j,
3.913746e+00,0.0001715726003169+0.0000277586132901j,-0.0000289906612320+0.0000288973144634j,-0.0000519484300889+0.0000288932317581j,
3.977403e+00,0.0001709127414092+0.0000280028012957j,-0.0000300976710985+0.0000291472817354j,-0.0000531126473871+0.0000291363022839j,
4.042096e+00,0.0001701884401942+0.0000282729848244j,-0.0000312092343469+0.0000294213215531j,-0.0000542742308401+0.0000294055322768j,
4.107841e+00,0.0001695648695334+0.0000284835079953j,-0.0000323802947803+0.0000296329289374j,-0.0000554846264959+0.0000296428094127j,
4.174655e+00,0.0001688247601143+0.0000287566597103j,-0.0000335323455665+0.0000299063856284j,-0.0000566999715906+0.0000298987302769j,
4.242556e+00,0.0001681424856246+0.0000289811483045j,-0.0000347227901805+0.0000301520000681j,-0.0000579421290646+0.0000301487434620j,
4.311562e+00,0.0001674179781794+0.0000292353243630j,-0.0000359360234443+0.0000303947499375j,-0.0000592078528657+0.0000303968269377j,
4.381690e+00,0.0001667406232701+0.0000294430897850j,-0.0000371662063986+0.0000306447869344j,-0.0000605215393669+0.0000306155377912j,
4.452959e+00,0.0001659839884424+0.0000296929592450j,-0.0000384284373605+0.0000308784673913j,-0.0000618535012649+0.0000308390969428j,
4.525386e+00,0.0001652782190363+0.0000299092528186j,-0.0000397299133833+0.0000310852366951j,-0.0000631805123395+0.0000310951869978j,
4.598992e+00,0.0001645306476175+0.0000301267869776j,-0.0000410336631319+0.0000313245417675j,-0.0000645655441966+0.0000313114518863j,
4.673795e+00,0.0001637566307482+0.0000303579306118j,-0.0000423590525945+0.0000315663519592j,-0.0000659767683734+0.0000315249389916j,
4.749815e+00,0.0001629943836403+0.0000305665181246j,-0.0000437338511495+0.0000317665701434j,-0.0000674105241744+0.0000317405973529j,
4.827071e+00,0.0001622069919336+0.0000307815988889j,-0.0000451284960642+0.0000319736313419j,-0.0000688759090941+0.0000319482416208j,
4.905584e+00,0.0001614501413344+0.0000309748901673j,-0.0000465418840628+0.0000321894015403j,-0.0000703559253393+0.0000321679820450j,
4.985373e+00,0.0001606639236114+0.0000311745931455j,-0.0000479791327313+0.0000324072297576j,-0.0000718864948425+0.0000323587900953j,
5.066461e+00,0.0001598697245861+0.0000313629905793j,-0.0000494743318137+0.0000325725287741j,-0.0000734367564543+0.0000325569645852j,
5.148867e+00,0.0001590590906735+0.0000315415030924j,-0.0000509767553471+0.0000327677201677j,-0.0000750253818315+0.0000327413282850j,
5.232614e+00,0.0001582597940160+0.0000317046681679j,-0.0000525202506535+0.0000329391316374j,-0.0000766585429031+0.0000329049887693j,
5.317723e+00,0.0001574273434079+0.0000318817369695j,-0.0000540932446116+0.0000331063147932j,-0.0000783223350648+0.0000330649118782j,
5.404216e+00,0.0001565976376096+0.0000320344672117j,-0.0000557026321844+0.0000332586332610j,-0.0000800384458795+0.0000331959957799j,
5.492116e+00,0.0001557613621377+0.0000321787436857j,-0.0000573320109968+0.0000334235950212j,-0.0000817351476999+0.0000333832238503j,
5.581446e+00,0.0001549075647170+0.0000323185682208j,-0.0000590076121883+0.0000335597085668j,-0.0000835159305229+0.0000335055212252j,
5.672229e+00,0.0001540386231563+0.0000324540936669j,-0.0000607178934890+0.0000336862869322j,-0.0000853130217039+0.0000336431561904j,
5.764488e+00,0.0001531538115481+0.0000325790077185j,-0.0000624608601504+0.0000338076096297j,-0.0000871541528006+0.0000337640035401j,
5.858248e+00,0.0001523016677465+0.0000326702186332j,-0.0000642470647401+0.0000339073020938j,-0.0000890391072041+0.0000338688912264j,
5.953533e+00,0.0001514288249910+0.0000327522013577j,-0.0000660628594593+0.0000340084289589j,-0.0000909817974905+0.0000339419356590j,
6.050368e+00,0.0001504907991859+0.0000328628186866j,-0.0000679215993800+0.0000340903417187j,-0.0000929430771123+0.0000340301446566j,
6.148778e+00,0.0001495761180477+0.0000329355566799j,-0.0000698306036577+0.0000341419675289j,-0.0000949614255167+0.0000340885134812j,
6.248788e+00,0.0001486383132413+0.0000330040142855j,-0.0000717568004967+0.0000342180743827j,-0.0000970185245039+0.0000341395990570j,
6.350425e+00,0.0001477346303356+0.0000330280133422j,-0.0000737450913898+0.0000342465641221j,-0.0000991231708691+0.0000341730797632j,
6.453715e+00,0.0001467776601097+0.0000330679629826j,-0.0000757710376510+0.0000342681371813j,-0.0001012679412122+0.0000341988018780j,
6.558686e+00,0.0001458169270372+0.0000330859505480j,-0.0000778426180248+0.0000342709739581j,-0.0001034790421243+0.0000341863696200j,
6.665363e+00,0.0001448900401144+0.0000330585250920j,-0.0000799649657060+0.0000342476786771j,-0.0001057273589442+0.0000341710081379j,
6.773776e+00,0.0001439111839689+0.0000330426063799j,-0.0000821224075538+0.0000342248325898j,-0.0001080290638129+0.0000341339362765j,
6.883952e+00,0.0001429293415892+0.0000329985233045j,-0.0000843319878910+0.0000341757571283j,-0.0001103853602626+0.0000340745912962j,
6.995920e+00,0.0001419112915782+0.0000329589818127j,-0.0000865897605803+0.0000341078265404j,-0.0001127851039986+0.0000340071937873j,
7.109709e+00,0.0001409133646529+0.0000328753136134j,-0.0000889124641258+0.0000339949198019j,-0.0001152402481600+0.0000339176520331j,
7.225349e+00,0.0001399118271747+0.0000327683185062j,-0.0000912633368332+0.0000338984147520j,-0.0001177725175910+0.0000337812881580j,
7.342870e+00,0.0001388751759422+0.0000326556450910j,-0.0000936815281146+0.0000337551593135j,-0.0001203457230337+0.0000336418078586j,
7.462303e+00,0.0001378503412805+0.0000325043618643j,-0.0000961474512715+0.0000335987139166j,-0.0001229734224664+0.0000334839292976j,
7.583678e+00,0.0001367909283649+0.0000323435093803j,-0.0000986749846555+0.0000334072579513j,-0.0001256791628364+0.0000332801152089j,
7.707027e+00,0.0001357451663141+0.0000321426072748j,-0.0001012538519706+0.0000331990589643j,-0.0001284355092652+0.0000330640212776j,
7.832383e+00,0.0001346914951101+0.0000319141817581j,-0.0001038966260669+0.0000329547337628j,-0.0001312589004821+0.0000328168629778j,
7.959777e+00,0.0001336083046310+0.0000316663060647j,-0.0001065947026404+0.0000326897434180j,-0.0001341489637658+0.0000325398119525j,
8.089243e+00,0.0001325326607587+0.0000313853271931j,-0.0001093603740579+0.0000323850261086j,-0.0001371136137717+0.0000322242893980j,
8.220816e+00,0.0001314229121622+0.0000310867174202j,-0.0001121894060370+0.0000320490622162j,-0.0001401485354069+0.0000318761600024j,
8.354528e+00,0.0001303236781303+0.0000307411116428j,-0.0001150861377978+0.0000316760655555j,-0.0001432455332443+0.0000315062916707j,
