Frequency,R = 0.990000,R = 0.999000,R = 0.999900,
4.070142e-02,0.0004898377905175+0.0000007481904816j,0.0003221053030791+0.0000011967705893j,0.0003026112542180+0.0000016220814280j,
4.136344e-02,0.0004853467335097+0.0000001556355420j,0.0003173017694266+0.0000048084263054j,0.0002977853149434+0.0000023474858734j,
4.203622e-02,0.0004809288439258-0.0000010848560589j,0.0003125977497098-0.0000002888410097j,0.0002930493280159-0.0000001601673795j,
4.271994e-02,0.0004765700269870+0.0000000563992569j,0.0003079604553085+0.0000024855531960j,0.0002883841877068+0.0000009617910806j,
4.341478e-02,0.0004722898621646+0.0000009446303524j,0.0003033992530585+0.0000031139868255j,0.0002838005172914-0.0000025230296490j,
4.412093e-02,0.0004681031337858-0.0000018311648381j,0.0002989226955445-0.0000012289517026j,0.0002792719724395+0.0000014254905824j,
4.483856e-02,0.0004639298276545+0.0000010385406690j,0.0002944899226251+0.0000005733954456j,0.0002748313644524-0.0000001079564102j,
4.556786e-02,0.0004598430816696-0.0000000250994064j,0.0002901474149210+0.0000034370091227j,0.0002704504295820+0.0000003142455353j,
4.630903e-02,0.0004558334103221+0.0000011323377892j,0.0002858575837612+0.0000007279351178j,0.0002661519322996+0.0000011332299959j,
4.706225e-02,0.0004519077868333+0.0000027786961526j,0.0002816446132513+0.0000023759824590j,0.0002619025535483+0.0000013303564266j,
4.782772e-02,0.0004480122728202+0.0000001468800791j,0.0002774934544207+0.0000027061381829j,0.0002577456758180-0.0000015365618506j,
4.860564e-02,0.0004441630455583-0.0000008474446010j,0.0002734195721380-0.0000004090783711j,0.0002536339734134+0.0000012429644072j,
4.939622e-02,0.0004404114062897-0.0000005905556925j,0.0002694053838563+0.0000022349203276j,0.0002495970634104-0.0000004561125686j,
5.019965e-02,0.0004367036552606+0.0000002247233142j,0.0002654617734502+0.0000015550467540j,0.0002456134323901+0.0000041783325406j,
5.101615e-02,0.0004331180351064-0.0000033924644663j,0.0002615646644962+0.0000030800277772j,0.0002417110119217-0.0000008357368851j,
5.184594e-02,0.0004294513947836+0.0000020624340711j,0.0002577443942659+0.0000011775177512j,0.0002378546212645+0.0000012597169490j,
5.268921e-02,0.0004259274873745+0.0000005518270182j,0.0002539841643870+0.0000021130770121j,0.0002340688296737+0.0000016442738335j,
5.354621e-02,0.0004224448537223+0.0000009486754789j,0.0002502646341031+0.0000021097339232j,0.0002303477793331+0.0000008608589493j,
5.441714e-02,0.0004190132557822-0.0000003150877443j,0.0002466370056372-0.0000007047038867j,0.0002266727405774+0.0000012282057204j,
5.530224e-02,0.0004156521806065+0.0000001281799140j,0.0002430454302419-0.0000001674849379j,0.0002230672241210-0.0000002760399179j,
5.620174e-02,0.0004123595515264+0.0000019404047621j,0.0002395110529342+0.0000008905431665j,0.0002195071014038-0.0000015669100951j,
5.711586e-02,0.0004090987456827+0.0000000767084284j,0.0002360373610288+0.0000031372639943j,0.0002160149533797+0.0000010095683313j,
5.804486e-02,0.0004058891765817+0.0000024647656885j,0.0002326181122223+0.0000002406930477j,0.0002125707665984+0.0000007543294318j,
5.898896e-02,0.0004027279889406+0.0000013408750396j,0.0002292504958384+0.0000014959223473j,0.0002091876004150+0.0000015327882182j,
5.994843e-02,0.0003996129461384+0.0000005195666965j,0.0002259403194760+0.0000017652315662j,0.0002058541728581+0.0000018417593586j,
6.092349e-02,0.0003965639380538+0.0000009427371599j,0.0002226867142027+0.0000026028723720j,0.0002025831940962+0.0000011183172551j,
6.191442e-02,0.0003935725676075+0.0000028428408037j,0.0002194791489759+0.0000006962812852j,0.0001993500888076+0.0000024630157198j,
6.292146e-02,0.0003905965074076+0.0000017060072932j,0.0002163237798337+0.0000024254648822j,0.0001961769331438+0.0000026935864840j,
6.394488e-02,0.0003876802387429+0.0000003429606355j,0.0002132061809225+0.0000010168159025j,0.0001930551395434+0.0000001703056173j,
6.498495e-02,0.0003848088557999+0.0000015415630771j,0.0002101624373271+0.0000012347767190j,0.0001899758621961+0.0000011913130860j,
6.604194e-02,0.0003819977696839+0.0000026657350653j,0.0002071427749493+0.0000010629211647j,0.0001869367996371+0.0000015891603615j,
6.711612e-02,0.0003792192571685+0.0000019023549364j,0.0002041889867385+0.0000001531653653j,0.0001839749790342+0.0000005433320302j,
6.820777e-02,0.0003764547876768+0.0000015878457832j,0.0002012657270083+0.0000015394964542j,0.0001810353261528+0.0000016335083798j,
6.931717e-02,0.0003738424203287-0.0000016243859692j,0.0001984124270287+0.0000001055309829j,0.0001781548829676-0.0000000210588434j,
7.044462e-02,0.0003711396718858+0.0000013086295817j,0.0001955804148619+0.0000006946323856j,0.0001753158662603+0.0000012875665237j,
7.159041e-02,0.0003685282086722+0.0000012928865176j,0.0001928137721331-0.0000004604157361j,0.0001725266308891+0.0000001349555819j,
7.275484e-02,0.0003659748593771+0.0000018593982147j,0.0001900729343750+0.0000032577086768j,0.0001697645507966+0.0000025937161859j,
7.393820e-02,0.0003634494390534+0.0000008787866249j,0.0001873862865687+0.0000006319562954j,0.0001670594357174+0.0000014874739338j,
7.514081e-02,0.0003609665008874+0.0000022749649816j,0.0001847307128745+0.0000013469244067j,0.0001643941407845+0.0000024317853034j,
7.636298e-02,0.0003585188525615+0.0000016479695677j,0.0001821295394542+0.0000020151602576j,0.0001617652677331+0.0000036080856667j,
7.760503e-02,0.0003561064083591+0.0000018370511873j,0.0001795594983865+0.0000019496201976j,0.0001592098789484-0.0000020703257814j,
7.886729e-02,0.0003537437715455+0.0000009008508050j,0.0001770370554569+0.0000014919723499j,0.0001566464259968+0.0000021168728061j,
8.015007e-02,0.0003513968518951+0.0000016004536547j,0.0001745508773795+0.0000034758084570j,0.0001541631840264+0.0000007955449385j,
8.145372e-02,0.0003491194682374+0.0000008853635202j,0.0001720971301086+0.0000036685497913j,0.0001516864863274+0.0000019856115424j,
8.277857e-02,0.0003468478556499+0.0000013845943037j,0.0001696972203336+0.0000037041541228j,0.0001492794570069+0.0000007280663848j,
8.412497e-02,0.0003446603755677+0.0000022838176778j,0.0001673329410726+0.0000018076677261j,0.0001468932489584+0.0000011951969102j,
