Frequency,Sum,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Op-amp,ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
1.14831241454351106943e-05,1.72745835641001551469e-14,4.55413210679313765949e-17,0.00000000000000000000e+00,4.55389115706297183979e-17,3.31253358305534608540e-19,0.00000000000000000000e+00,3.31253358305318326608e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.72745145336868817692e-14,1.76331107661910553238e-17,0.00000000000000000000e+00,1.76313477195670240531e-17,1.76313477195669530826e-19,0.00000000000000000000e+00,1.76313477195670734532e-19,0.00000000000000000000e+00,1.77544262445357570724e-16,1.75350454372813175607e-16,1.96746445776533928096e-17,1.96746445776533157724e-17,1.72736021260602157448e-14,1.70601625743443037902e-14,1.91418172418059160050e-15,1.91418172418057740101e-15,
1.16430313292087552835e-05,1.70373463643119015888e-14,4.55413211379609072451e-17,0.00000000000000000000e+00,4.55389116406555389367e-17,3.31253358815082419862e-19,0.00000000000000000000e+00,3.31253358814866186078e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.70372763726777872470e-14,1.76331107933150052513e-17,0.00000000000000000000e+00,1.76313477466882591898e-17,1.76313477466881922638e-19,0.00000000000000000000e+00,1.76313477466883078196e-19,0.00000000000000000000e+00,1.76320837467451693348e-16,1.74142146524324618411e-16,1.95390702072050344656e-17,1.95390702072050344656e-17,1.70363639653911928480e-14,1.68258558234816194587e-14,1.88789207433704052346e-15,1.88789207433704052346e-15,
1.18051652856880561165e-05,1.68033674074142240089e-14,4.55413211116986615155e-17,0.00000000000000000000e+00,4.55389116143946798766e-17,3.31253358624195221575e-19,0.00000000000000000000e+00,3.31253358623978987791e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.68032964411756470671e-14,1.76331107831537156646e-17,0.00000000000000000000e+00,1.76313477365279864941e-17,1.76313477365279295828e-19,0.00000000000000000000e+00,1.76313477365280355090e-19,0.00000000000000000000e+00,1.75105842517464624806e-16,1.72942164538950821341e-16,1.94044300139630280578e-17,1.94044300139631081765e-17,1.68023840342358075231e-14,1.65947670421426899889e-14,1.86196348661259394966e-15,1.86196348661259394966e-15,
1.19695570235904270558e-05,1.65726019749463937224e-14,4.55413210700111898825e-17,0.00000000000000000000e+00,4.55389115727094207520e-17,3.31253358320475636011e-19,0.00000000000000000000e+00,3.31253358320257765186e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.65725300205332836920e-14,1.76331107669861808939e-17,0.00000000000000000000e+00,1.76313477203620664231e-17,1.76313477203620010378e-19,0.00000000000000000000e+00,1.76313477203621190010e-19,0.00000000000000000000e+00,1.73899219819196549617e-16,1.71750451354397874722e-16,1.92707175954329196423e-17,1.92707175954328395236e-17,1.65716176139453329097e-14,1.63668520642403444206e-14,1.83639100549077725353e-15,1.83639100549076344846e-15,
1.21362379834424182086e-05,1.63450059730847893491e-14,4.55413211260574091047e-17,0.00000000000000000000e+00,4.55389116287526694198e-17,3.31253358728494342900e-19,0.00000000000000000000e+00,3.31253358728277290595e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.63449330167379826271e-14,1.76331107887057187155e-17,0.00000000000000000000e+00,1.76313477420794348772e-17,1.76313477420793793141e-19,0.00000000000000000000e+00,1.76313477420794852403e-19,0.00000000000000000000e+00,1.72700912111692300458e-16,1.70566950417249990448e-16,1.91379266062164021397e-17,1.91379266062164021397e-17,1.63440206105048457028e-14,1.61420673406029781644e-14,1.81116974467413482324e-15,1.81116974467412535691e-15,
1.23052400435926164726e-05,1.61205358280331187128e-14,4.55413211564314752063e-17,0.00000000000000000000e+00,4.55389116591251331477e-17,3.31253358949020591917e-19,0.00000000000000000000e+00,3.31253358948801902572e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.61204618558020929733e-14,1.76331108004445791198e-17,0.00000000000000000000e+00,1.76313477538171212346e-17,1.76313477538170580641e-19,0.00000000000000000000e+00,1.76313477538171615828e-19,0.00000000000000000000e+00,1.71510861627147464728e-16,1.69391604673504852557e-16,1.90060506447496710147e-17,1.90060506447495908960e-17,1.61195494499292446015e-14,1.59203698356631105770e-14,1.78629487549262114471e-15,1.78629487549259905661e-15,
1.24765955263086852515e-05,1.58991485815954544848e-14,4.55413210811481432532e-17,0.00000000000000000000e+00,4.55389115838457763140e-17,3.31253358402064721062e-19,0.00000000000000000000e+00,3.31253358401846031717e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.58990735793356055309e-14,1.76331107713292576891e-17,0.00000000000000000000e+00,1.76313477247047118100e-17,1.76313477247046528765e-19,0.00000000000000000000e+00,1.76313477247047612101e-19,0.00000000000000000000e+00,1.70329011169660684082e-16,1.68224357633996558705e-16,1.88750833728440501122e-17,1.88750833728438991193e-17,1.58981611738301801698e-14,1.57017171218434657774e-14,1.76176163749373876831e-15,1.76176163749372161059e-15,
1.26503372039590380099e-05,1.56808019622799468191e-14,4.55413210982953477420e-17,0.00000000000000000000e+00,4.55389116009920871713e-17,3.31253358526376661921e-19,0.00000000000000000000e+00,3.31253358526156142942e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.56807259156494268288e-14,1.76331107779464848886e-17,0.00000000000000000000e+00,1.76313477313212795710e-17,1.76313477313212189042e-19,0.00000000000000000000e+00,1.76313477313213272378e-19,0.00000000000000000000e+00,1.69155304974481536739e-16,1.67065154223026346803e-16,1.87450186109041437533e-17,1.87450186109039927604e-17,1.56798135105146777408e-14,1.54860674497770474722e-14,1.73756534632147119320e-15,1.73756534632145383826e-15,
1.28264983052805991732e-05,1.54654541824066100297e-14,4.55413211288435240735e-17,0.00000000000000000000e+00,4.55389116315386364772e-17,3.31253358748827637177e-19,0.00000000000000000000e+00,3.31253358748609670056e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.54653770768640430146e-14,1.76331107897879218624e-17,0.00000000000000000000e+00,1.76313477431615301720e-17,1.76313477431614726830e-19,0.00000000000000000000e+00,1.76313477431615786092e-19,0.00000000000000000000e+00,1.67989686625588190952e-16,1.65913938721671338155e-16,1.86158501071642512459e-17,1.86158501071641803717e-17,1.54644646721048611371e-14,1.52733795479337490370e-14,1.71370137123397130227e-15,1.71370137123396755518e-15,
1.30051125217340991075e-05,1.52530640442697872128e-14,4.55413211387617613013e-17,0.00000000000000000000e+00,4.55389116414563560150e-17,3.31253358820528323818e-19,0.00000000000000000000e+00,3.31253358820308671508e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.52529858650714164968e-14,1.76331107936045172036e-17,0.00000000000000000000e+00,1.76313477469777434087e-17,1.76313477469776812011e-19,0.00000000000000000000e+00,1.76313477469777847199e-19,0.00000000000000000000e+00,1.66832100265067551624e-16,1.64770655962221242632e-16,1.84875716717054346598e-17,1.84875716717052836669e-17,1.52520734606934532295e-14,1.50636127274641519381e-14,1.69016514686726344002e-15,1.69016514686724667673e-15,
