# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-three
# Plot type:     Coherence
# Output Format: XY  
# Channels:             A                         B                Conversion
# Column 1   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
28.1         0.11330278   0.06953235   0.9997682    0.096260987 
29.1         0.0015924856 0.12435602   0.99974132   0.012110006 
30.1         0.0061521633 0.38467169   0.99942553   0.044340916 
31.1         0.20229025   0.14059953   0.99957544   0.13661711  
32.099998    0.10060628   0.21624374   0.99954617   0.045869634 
33.099998    0.024318971  0.20035732   0.99976504   0.1547652   
34.099998    0.083590046  0.16637105   0.99956405   0.11532298  
35.099998    0.035399083  0.13879621   0.99987632   0.081954457 
36.099998    0.35347533   0.26203004   0.99988699   0.22802463  
37.099998    0.013399128  0.043839525  0.99951082   0.10620331  
38.099998    0.24306293   0.11383577   0.99983966   0.01264131  
39.099998    0.18245575   0.014876871  0.99972129   0.15668067  
40.099998    0.16919424   0.020954203  0.99950409   0.11989516  
41.099998    0.13837008   0.13810904   0.99968588   0.048500713 
42.099998    0.2331856    0.22067171   0.99954617   0.43900526  
43.099998    0.10872412   0.13803846   0.99981076   0.081996389 
44.099998    0.093844838  0.076396935  0.99973774   0.27709055  
45.099998    0.085398123  0.097127475  0.9999001    0.15392382  
46.099998    0.040781304  0.17551057   0.99960458   0.035086095 
47.099998    0.048149277  0.011859114  0.99982721   0.030653602 
48.099998    0.036362544  0.14229752   0.99985212   0.022196552 
49.099998    0.18197317   0.032772124  0.99990171   0.082067199 
50.099998    0.16895984   0.10946882   0.9998337    0.090430275 
51.099998    0.029718088  0.010468398  0.99976718   0.19450577  
52.099998    0.12071813   0.01853333   0.99977714   0.0074122166
53.099998    0.072925381  0.029592022  0.99985456   0.053119197 
54.099998    0.023910241  0.31277278   0.99986237   0.12078242  
55.099998    0.033290993  0.11618733   0.99991161   0.094221398 
56.099998    0.18970409   0.040897906  0.99928665   0.0029434562
57.099998    0.36529091   0.17103657   0.99982226   0.14454529  
58.099998    0.12465886   0.20371129   0.99988985   0.23759267  
59.099998    0.030483689  0.18566871   0.99981147   0.47335032  
60.099998    0.047064427  0.066322885  0.99988645   0.58765543  
61.099998    0.032668535  0.17287721   0.99986792   0.091832176 
62.099998    0.064497799  0.059095617  0.9998616    0.074239485 
63.099998    0.043869879  0.055858299  0.99983531   0.10705171  
64.099998    0.028107855  0.015502319  0.99964476   0.16174147  
65.099998    0.055155464  0.23199637   0.99974936   0.16162872  
66.099998    0.055966984  0.082177207  0.99982816   0.031915803 
67.099998    0.15089907   0.014754553  0.99993098   0.15478946  
68.099998    0.11419577   0.11116479   0.99995768   0.083290122 
69.099998    0.12098874   0.0092644989 0.99985385   0.2812233   
70.099998    0.07905744   0.17051479   0.99969703   0.10731107  
71.099998    0.026984883  0.083314508  0.99948812   0.14136343  
72.099998    0.12823951   0.20105925   0.99986893   0.011447274 
73.099998    0.058211923  0.040504184  0.99989039   0.20106608  
74.099998    0.029016342  0.035757016  0.999915     0.36024439  
75.099998    0.060146775  0.13706744   0.9998914    0.15566543  
76.099998    0.023394048  0.10018644   0.99988061   0.11423428  
77.099998    0.053008579  0.32968864   0.99990135   0.27865267  
78.099998    0.091798402  0.16841236   0.99983138   0.074237168 
