# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-one
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
164.10001    0.99971193   0.1800181    0.23755299   0.12693958  
165.10001    0.99985081   0.15034676   0.54129332   0.048283365 
166.10001    0.99990982   0.034074191  0.20400502   0.14617948  
167.10001    0.99991411   0.020036308  0.16259639   0.0836576   
168.10001    0.99987155   0.016875029  0.014442187  0.058141228 
169.10001    0.99967283   0.0074065914 0.2050574    0.1808926   
170.10001    0.99976236   0.063220449  0.60384309   0.12834482  
171.10001    0.99989003   0.26173669   0.057774905  0.0084549841
172.10001    0.99988866   0.012302116  0.15499531   0.20251165  
173.10001    0.99983722   0.12489708   0.10146903   0.23392062  
174.10001    0.99986094   0.000338677  0.2036622    0.1160025   
175.10001    0.99975544   0.12275223   0.055257961  0.12785028  
176.10001    0.99992961   0.00077047863 0.39074308   0.2211846   
177.10001    0.99994785   0.030703923  0.27508482   0.49665585  
178.10001    0.99994081   0.18736383   0.1368739    0.42758256  
179.10001    0.99990612   0.10534      0.066973045  0.002047525 
180.10001    0.99992239   0.12977096   0.003016097  0.088869184 
181.10001    0.99993122   0.23146984   0.01394556   0.085611962 
182.10001    0.99992216   0.078267366  0.11061852   0.19362707  
183.10001    0.99989438   0.096545711  0.03354729   0.14690575  
184.10001    0.99987864   0.0033807459 0.054238327  0.047263023 
185.10001    0.99985284   0.124005     0.21878238   0.089391746 
186.10001    0.99983597   0.070182703  0.091449291  0.10448338  
187.10001    0.99988556   0.17768863   0.081306919  0.0047948249
188.10001    0.99993682   0.37200686   0.13266701   0.038686808 
189.10001    0.99991924   0.094601415  0.053773601  0.34550494  
190.10001    0.99987274   0.046283759  0.26941377   0.31569198  
191.10001    0.999906     0.088921845  0.034853626  0.18894647  
192.10001    0.99991429   0.069793038  0.093201086  0.19075124  
193.10001    0.99986506   0.13258485   0.14247517   0.042198308 
194.10001    0.99990427   0.30509713   0.099423952  0.073854767 
