# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-two
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
103.1        0.20371526   0.99998552   0.32389805   0.0028396815
104.1        0.03421979   0.99997646   0.061249681  0.0074134218
105.1        0.030370433  0.99998105   0.08787892   0.023823425 
106.1        0.076487318  0.99998093   0.20296846   0.071051806 
107.1        0.015624971  0.99998742   0.22600371   0.049540393 
108.1        0.0097273178 0.99998432   0.14042623   0.00035381355
109.1        0.10555322   0.99998945   0.040723875  0.015819982 
110.1        0.095120236  0.99998891   0.10447463   0.10808297  
111.1        0.020528095  0.99999273   0.17742836   0.15652274  
112.1        0.013286706  0.99999148   0.081657872  0.083878197 
113.1        0.060315497  0.99998486   0.11879885   0.11835907  
114.1        0.0081362817 0.99999231   0.13802582   0.058749616 
115.1        0.017524512  0.99999398   0.016834965  0.29565093  
116.1        0.025645953  0.99999076   0.01751565   0.083572879 
117.1        0.052764326  0.99998862   0.016303826  0.1759882   
118.1        0.25389495   0.99996531   0.076083146  0.19206059  
119.1        0.13089155   0.99996823   0.083037101  0.032010239 
120.1        0.08632239   0.99998999   0.010024564  0.013289291 
121.1        0.07881695   0.99998373   0.012428877  0.31636497  
122.1        0.022348229  0.99998879   0.14896786   0.082208842 
123.1        0.12317403   0.99998951   0.050060872  0.15751608  
124.1        0.27479449   0.99998999   0.12919337   0.097278982 
125.1        0.067557976  0.99998212   0.0043292036 0.033515092 
126.1        0.057188947  0.99998522   0.063121282  0.16934502  
127.1        0.15500811   0.99999094   0.32369158   0.1542265   
128.10001    0.13735475   0.99998587   0.15294115   0.22136661  
129.10001    0.34419039   0.99997842   0.063491367  0.18721689  
